dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.076689,7.889723,0.000213,0.021333,1.066667,53.333333,6.257657
0.020000,0.076765,7.889721,0.000289,0.003789,-0.877229,-97.194767,6.257389
0.020000,0.076917,7.889717,0.000441,0.007575,0.189314,53.327131,6.256852
0.020000,0.077514,7.889701,0.001038,0.029880,1.115249,46.296748,6.256049
0.020000,0.081229,7.889598,0.004754,0.185805,7.796262,334.050677,6.254977
0.020000,0.085872,7.889464,0.009399,0.232239,2.321679,-273.729159,6.253640
0.020000,0.091442,7.889295,0.014972,0.278663,2.321225,-0.022725,6.252035
0.020000,0.097940,7.889087,0.021474,0.325075,2.320593,-0.031584,6.250166
0.020000,0.105366,7.888833,0.028904,0.371488,2.320625,0.001598,6.248032
0.020000,0.113718,7.888530,0.037261,0.417872,2.319223,-0.070127,6.245634
0.020000,0.122996,7.888169,0.046546,0.464248,2.318771,-0.022591,6.242975
0.020000,0.133199,7.887743,0.056758,0.510593,2.317264,-0.075323,6.240054
0.020000,0.144326,7.887245,0.067896,0.556920,2.316360,-0.045197,6.236875
0.020000,0.156376,7.886666,0.079961,0.603217,2.314850,-0.075492,6.233439
0.020000,0.169349,7.885996,0.092950,0.649486,2.313471,-0.068982,6.229747
0.020000,0.183242,7.885226,0.106865,0.695729,2.312118,-0.067631,6.225803
0.020000,0.198054,7.884344,0.121703,0.741928,2.309954,-0.108226,6.221609
0.020000,0.213784,7.883339,0.137465,0.788083,2.307734,-0.110960,6.217167
0.020000,0.230429,7.882199,0.154149,0.834194,2.305558,-0.108827,6.212482
0.020000,0.247987,7.880912,0.171754,0.880249,2.302750,-0.140411,6.207557
0.020000,0.266455,7.879465,0.190279,0.926265,2.300833,-0.095841,6.202395
0.020000,0.285832,7.877843,0.209723,0.972196,2.296508,-0.216252,6.197002
0.020000,0.306113,7.876034,0.230085,1.018083,2.294376,-0.106596,6.191381
0.020000,0.327295,7.874021,0.251363,1.063883,2.290015,-0.218043,6.185538
0.020000,0.349375,7.871790,0.273555,1.109607,2.286191,-0.191203,6.179479
0.020000,0.372348,7.869326,0.296660,1.155253,2.282275,-0.195797,6.173209
0.020000,0.396210,7.866613,0.320675,1.200785,2.276637,-0.281907,6.166735
0.020000,0.420956,7.863635,0.345600,1.246245,2.272989,-0.182385,6.160065
0.020000,0.446581,7.860374,0.371432,1.291580,2.266718,-0.313582,6.153206
0.020000,0.473079,7.856815,0.398168,1.336802,2.261144,-0.278658,6.146165
0.020000,0.500445,7.852941,0.425806,1.381902,2.254964,-0.309045,6.138952
0.020000,0.528671,7.848735,0.454344,1.426884,2.249108,-0.292767,6.131576
0.020000,0.557750,7.844180,0.483778,1.471710,2.241286,-0.391085,6.124047
0.020000,0.587676,7.839259,0.514106,1.516401,2.234569,-0.335898,6.116374
