dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.069477,7.607240,0.000213,0.021333,1.066667,53.333333,6.257657
0.020000,0.069477,7.607240,0.001067,0.064000,2.133333,53.333333,6.257389
0.020000,0.069477,7.607240,0.002773,0.106667,2.133333,0.000000,6.256852
0.020000,0.069847,7.607230,0.005333,0.149333,2.133333,0.000000,6.256049
0.020000,0.073259,7.607136,0.008747,0.192000,2.133333,-0.000000,6.254977
0.020000,0.077524,7.607013,0.013013,0.234667,2.133333,0.000000,6.253640
0.020000,0.082642,7.606857,0.018133,0.277333,2.133333,0.000000,6.252035
0.020000,0.088612,7.606666,0.024107,0.320000,2.133333,0.000000,6.250166
0.020000,0.095434,7.606433,0.030933,0.362667,2.133333,-0.000000,6.248032
0.020000,0.103109,7.606154,0.038613,0.405333,2.133333,0.000000,6.245634
0.020000,0.111636,7.605822,0.047147,0.448000,2.133333,0.000000,6.242975
0.020000,0.121015,7.605431,0.056533,0.490667,2.133333,-0.000000,6.240054
0.020000,0.131245,7.604973,0.066773,0.533333,2.133333,0.000000,6.236875
0.020000,0.142325,7.604441,0.077867,0.576000,2.133333,-0.000000,6.233439
0.020000,0.154256,7.603825,0.089813,0.618667,2.133333,0.000000,6.229747
0.020000,0.167036,7.603116,0.102613,0.661333,2.133333,-0.000000,6.225803
0.020000,0.180665,7.602304,0.116267,0.704000,2.133333,0.000000,6.221609
0.020000,0.195142,7.601379,0.130773,0.746667,2.133333,-0.000000,6.217167
0.020000,0.210467,7.600330,0.146133,0.789333,2.133333,0.000000,6.212482
0.020000,0.226636,7.599145,0.162347,0.832000,2.133333,-0.000000,6.207557
0.020000,0.243651,7.597811,0.179413,0.874667,2.133333,0.000000,6.202395
0.020000,0.261508,7.596317,0.197333,0.917333,2.133333,0.000000,6.197002
0.020000,0.280207,7.594648,0.216107,0.960000,2.133333,-0.000000,6.191381
0.020000,0.299746,7.592792,0.235733,1.002667,2.133333,0.000000,6.185538
0.020000,0.320122,7.590734,0.256213,1.045333,2.133333,-0.000000,6.179479
0.020000,0.341334,7.588459,0.277547,1.088000,2.133333,0.000000,6.173209
0.020000,0.363378,7.585952,0.299733,1.130667,2.133333,0.000000,6.166735
0.020000,0.386253,7.583199,0.322773,1.173333,2.133333,0.000000,6.160065
0.020000,0.409956,7.580183,0.346667,1.216000,2.133333,0.000000,6.153206
0.020000,0.434482,7.576889,0.371413,1.258667,2.133333,-0.000000,6.146165
0.020000,0.459829,7.573301,0.397013,1.301333,2.133333,0.000000,6.138952
0.020000,0.485994,7.569402,0.423467,1.344000,2.133333,-0.000000,6.131576
0.020000,0.512971,7.565176,0.450773,1.386667,2.133333,0.000000,6.124047
0.020000,0.540758,7.560607,0.478933,1.429333,2.133333,0.000000,6.116374
0.020000,0.569349,7.555677,0.507947,1.472000,2.133333,0.000000,6.108569
0.020000,0.598741,7.550372,0.537813,1.514667,2.133333,-0.000000,6.100643
0.020000,0.628928,7.544674,0.568533,1.557333,2.133333,0.000000,6.092609
0.020000,0.659905,7.538567,0.600107,1.600000,2.133333,0.000000,6.084478
0.020000,0.691667,7.532035,0.632533,1.642667,2.133333,0.000000,6.076264
0.020000,0.724208,7.525062,0.665813,1.685333,2.133333,0.000000,6.067981
0.020000,0.757523,7.517634,0.699947,1.728000,2.133333,0.000000,6.059642
0.020000,0.791606,7.509734,0.734933,1.770667,2.133333,-0.000000,6.051263
0.020000,0.826451,7.501349,0.770773,1.813333,2.133333,0.000000,6.042857
0.020000,0.862053,7.492465,0.807467,1.856000,2.133333,-0.000000,6.034441
0.020000,0.898404,7.483068,0.845013,1.898667,2.133333,0.000000,6.026031
0.020000,0.935500,7.473146,0.883413,1.941333,2.133333,-0.000000,6.017642
0.020000,0.973334,7.462685,0.922667,1.984000,2.133333,-0.000000,6.009291
0.020000,1.011900,7.451676,0.962773,2.026667,2.133333,0.000000,6.000995
0.020000,1.051192,7.440108,1.003733,2.069333,2.133333,-0.000000,5.992770
0.020000,1.091205,7.427971,1.045547,2.112000,2.133333,0.000000,5.984635
0.020000,1.131933,7.415257,1.088213,2.154667,2.133333,0.000000,5.976605
0.020000,1.173371,7.401958,1.131733,2.197333,2.133333,-0.000000,5.968700
0.020000,1.215514,7.388067,1.176107,2.240000,2.133333,0.000000,5.960937
0.020000,1.258358,7.373580,1.221333,2.282667,2.133333,0.000000,5.953332
0.020000,1.301897,7.358491,1.267413,2.325333,2.133333,-0.000000,5.945905
0.020000,1.346130,7.342799,1.314347,2.368000,2.133333,0.000000,5.938673
0.020000,1.391051,7.326501,1.362133,2.410667,2.133333,0.000000,5.931654
0.020000,1.436659,7.309596,1.410773,2.453333,2.133333,0.000000,5.924866
0.020000,1.482951,7.292086,1.460267,2.496000,2.133333,0.000000,5.918327
0.020000,1.529926,7.273972,1.510613,2.538667,2.133333,-0.000000,5.912054
0.020000,1.577584,7.255259,1.561813,2.581333,2.133333,0.000000,5.906067
0.020000,1.625924,7.235952,1.613867,2.624000,2.133333,0.000000,5.900382
0.020000,1.674947,7.216057,1.666773,2.666667,2.133333,0.000000,5.895019
0.020000,1.724656,7.195582,1.720533,2.709333,2.133333,-0.000000,5.889995
0.020000,1.775052,7.174539,1.775147,2.752000,2.133333,0.000000,5.885329
0.020000,1.826139,7.152937,1.830613,2.794667,2.133333,-0.000000,5.881039
0.020000,1.877922,7.130791,1.886933,2.837333,2.133333,0.000000,5.877144
0.020000,1.930407,7.108115,1.944107,2.880000,2.133333,0.000000,5.873663
0.020000,1.983599,7.084927,2.002133,2.922667,2.133333,-0.000000,5.870615
0.020000,2.037507,7.061246,2.061013,2.965333,2.133333,0.000000,5.868020
0.020000,2.092139,7.037093,2.120747,3.008000,2.133333,-0.000000,5.865898
0.020000,2.147506,7.012491,2.181333,3.050667,2.133333,0.000000,5.864269
0.020000,2.203618,6.987465,2.242773,3.093333,2.133333,0.000000,5.863155
0.020000,2.260488,6.962043,2.305067,3.136000,2.133333,-0.000000,5.862577
0.020000,2.318130,6.936256,2.368213,3.178667,2.133333,0.000000,5.862558
0.020000,2.376362,6.910224,2.432000,3.200000,1.066667,-53.333333,5.863117
0.020000,2.434812,6.884154,2.496000,3.200000,0.000000,-53.333333,5.864263
0.020000,2.493299,6.858168,2.560000,3.200000,0.000000,0.000000,5.865997
0.020000,2.551838,6.832301,2.624000,3.200000,0.000000,0.000000,5.868319
0.020000,2.610446,6.806587,2.688000,3.200000,0.000000,0.000000,5.871232
0.020000,2.669135,6.781061,2.752000,3.200000,0.000000,0.000000,5.874737
0.020000,2.727921,6.755759,2.816000,3.200000,0.000000,0.000000,5.878838
0.020000,2.786818,6.730715,2.880000,3.200000,0.000000,0.000000,5.883537
0.020000,2.845839,6.705967,2.944000,3.200000,0.000000,0.000000,5.888838
0.020000,2.904998,6.681549,3.008000,3.200000,0.000000,0.000000,5.894743
0.020000,2.964307,6.657499,3.072000,3.200000,0.000000,0.000000,5.901257
0.020000,3.023779,6.633855,3.136000,3.200000,0.000000,0.000000,5.908383
0.020000,3.083425,6.610653,3.200000,3.200000,0.000000,0.000000,5.916123
0.020000,3.143256,6.587931,3.264000,3.200000,0.000000,0.000000,5.924482
0.020000,3.203281,6.565730,3.328000,3.200000,0.000000,0.000000,5.933461
0.020000,3.263510,6.544087,3.392000,3.200000,0.000000,0.000000,5.943062
0.020000,3.323951,6.523042,3.456000,3.200000,0.000000,0.000000,5.953287
0.020000,3.384610,6.502635,3.520000,3.200000,0.000000,0.000000,5.964137
0.020000,3.445493,6.482906,3.584000,3.200000,0.000000,0.000000,5.975610
0.020000,3.506604,6.463897,3.648000,3.200000,0.000000,0.000000,5.987705
0.020000,3.567946,6.445647,3.712000,3.200000,0.000000,0.000000,6.000418
0.020000,3.629521,6.428196,3.776000,3.200000,0.000000,0.000000,6.013743
0.020000,3.691328,6.411587,3.840000,3.200000,0.000000,0.000000,6.027674
0.020000,3.753364,6.395859,3.904000,3.200000,0.000000,0.000000,6.042201
0.020000,3.815627,6.381052,3.968000,3.200000,0.000000,0.000000,6.057312
0.020000,3.878111,6.367205,4.032000,3.200000,0.000000,0.000000,6.072993
0.020000,3.940807,6.354358,4.096000,3.200000,0.000000,0.000000,6.089227
0.020000,4.003707,6.342546,4.160000,3.200000,0.000000,0.000000,6.105993
0.020000,4.066799,6.331808,4.224000,3.200000,0.000000,0.000000,6.123270
0.020000,4.130069,6.322176,4.288000,3.200000,0.000000,0.000000,6.141032
0.020000,4.193502,6.313684,4.352000,3.200000,0.000000,0.000000,6.159249
0.020000,4.257081,6.306362,4.416000,3.200000,0.000000,0.000000,6.177889
0.020000,4.320787,6.300240,4.480000,3.200000,0.000000,0.000000,6.196920
0.020000,4.384598,6.295342,4.544000,3.200000,0.000000,0.000000,6.216302
0.020000,4.448493,6.291692,4.608000,3.200000,0.000000,0.000000,6.235997
0.020000,4.512447,6.289310,4.672000,3.200000,0.000000,0.000000,6.255963
0.020000,4.576437,6.288213,4.736000,3.200000,0.000000,0.000000,6.276157
0.020000,4.640435,6.288415,4.800000,3.200000,0.000000,0.000000,0.013349
0.020000,4.702323,6.289807,4.864000,3.200000,0.000000,0.000000,0.022561
0.020000,4.766315,6.289546,4.928000,3.200000,0.000000,0.000000,6.253174
0.020000,4.830214,6.286061,4.992000,3.200000,0.000000,0.000000,6.205002
0.020000,4.893887,6.279653,5.056000,3.200000,0.000000,0.000000,6.161576
0.020000,4.957246,6.270642,5.120000,3.200000,0.000000,0.000000,6.123058
0.020000,5.020239,6.259353,5.184000,3.200000,0.000000,0.000000,6.089471
0.020000,5.082851,6.246107,5.248000,3.200000,0.000000,0.000000,6.060743
0.020000,5.145093,6.231216,5.312000,3.200000,0.000000,0.000000,6.036748
0.020000,5.206998,6.214979,5.376000,3.200000,0.000000,0.000000,6.017335
0.020000,5.268615,6.197680,5.440000,3.200000,0.000000,0.000000,6.002357
0.020000,5.330006,6.179592,5.504000,3.200000,0.000000,0.000000,5.991683
0.020000,5.391240,6.160980,5.568000,3.200000,0.000000,0.000000,5.985213
0.020000,5.452391,6.142098,5.632000,3.200000,0.000000,0.000000,5.982885
0.020000,5.513537,6.123200,5.696000,3.200000,0.000000,0.000000,5.984673
0.020000,5.574756,6.104538,5.760000,3.200000,0.000000,0.000000,5.990596
0.020000,5.636122,6.086367,5.824000,3.200000,0.000000,0.000000,6.000714
0.020000,5.697706,6.068949,5.888000,3.200000,0.000000,0.000000,6.015121
