dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.062264,7.324757,0.000213,0.021333,1.066667,53.333333,6.257657
0.020000,0.062188,7.324759,0.000289,0.003789,-0.877229,-97.194767,6.257389
0.020000,0.062036,7.324763,0.000441,0.007575,0.189314,53.327131,6.256852
0.020000,0.062180,7.324759,0.000584,0.007167,-0.020418,-10.486585,6.256049
0.020000,0.065289,7.324673,0.003695,0.155539,7.418615,371.951615,6.254977
0.020000,0.069176,7.324561,0.007583,0.194433,1.944691,-273.696179,6.253640
0.020000,0.073841,7.324419,0.012250,0.233335,1.945130,0.021951,6.252035
0.020000,0.079283,7.324245,0.017695,0.272248,1.945607,0.023836,6.250166
0.020000,0.085503,7.324033,0.023919,0.311184,1.946837,0.061537,6.248032
0.020000,0.092501,7.323778,0.030921,0.350126,1.947079,0.012064,6.245634
0.020000,0.100277,7.323476,0.038703,0.389093,1.948344,0.063276,6.242975
0.020000,0.108831,7.323119,0.047265,0.428072,1.948971,0.031354,6.240054
0.020000,0.118163,7.322701,0.056606,0.467080,1.950368,0.069835,6.236875
0.020000,0.128274,7.322215,0.066728,0.506110,1.951542,0.058714,6.233439
0.020000,0.139163,7.321653,0.077632,0.545173,1.953134,0.079575,6.229747
0.020000,0.150830,7.321006,0.089317,0.584275,1.955080,0.097323,6.225803
0.020000,0.163276,7.320265,0.101785,0.623409,1.956702,0.081097,6.221609
0.020000,0.176501,7.319420,0.115037,0.662582,1.958661,0.097950,6.217167
0.020000,0.190504,7.318461,0.129073,0.701803,1.961067,0.120270,6.212482
0.020000,0.205286,7.317378,0.143895,0.741071,1.963379,0.115621,6.207557
0.020000,0.220846,7.316158,0.159503,0.780409,1.966909,0.176512,6.202395
0.020000,0.237185,7.314791,0.175899,0.819787,1.968906,0.099852,6.197002
0.020000,0.254302,7.313263,0.193084,0.859253,1.973276,0.218483,6.191381
0.020000,0.272197,7.311563,0.211059,0.898779,1.976318,0.152123,6.185538
0.020000,0.290870,7.309677,0.229827,0.938387,1.980393,0.203741,6.179479
0.020000,0.310320,7.307591,0.249389,0.978087,1.984998,0.230232,6.173209
0.020000,0.330547,7.305291,0.269746,1.017862,1.988776,0.188895,6.166735
0.020000,0.351551,7.302763,0.290901,1.057760,1.994896,0.306003,6.160065
0.020000,0.373330,7.299992,0.312856,1.097750,1.999468,0.228596,6.153206
0.020000,0.395885,7.296962,0.335613,1.137856,2.005327,0.292943,6.146165
0.020000,0.419214,7.293660,0.359175,1.178084,2.011380,0.302674,6.138952
0.020000,0.443317,7.290068,0.383544,1.218453,2.018437,0.352825,6.131576
0.020000,0.468192,7.286171,0.408723,1.258943,2.024548,0.305564,6.124047
0.020000,0.493839,7.281954,0.434715,1.299590,2.032340,0.389609,6.116374
0.020000,0.520257,7.277399,0.461522,1.340389,2.039939,0.379952,6.108569
0.020000,0.547445,7.272492,0.489149,1.381350,2.048026,0.404325,6.100643
0.020000,0.575401,7.267215,0.517599,1.422481,2.056562,0.426840,6.092609
0.020000,0.604124,7.261552,0.546875,1.463783,2.065129,0.428320,6.084478
0.020000,0.633612,7.255487,0.576980,1.505280,2.074831,0.485118,6.076264
0.020000,0.663865,7.249005,0.607919,1.546963,2.084130,0.464961,6.067981
0.020000,0.694880,7.242090,0.639696,1.588845,2.094139,0.500433,6.059642
0.020000,0.726656,7.234725,0.672315,1.630934,2.104415,0.513780,6.051263
0.020000,0.759192,7.226896,0.705780,1.673237,2.115184,0.538484,6.042857
0.020000,0.792487,7.218587,0.740095,1.715754,2.125853,0.533429,6.034441
0.020000,0.826537,7.209785,0.775265,1.758498,2.137167,0.565702,6.026031
0.020000,0.861343,7.200475,0.811294,1.801468,2.148533,0.568276,6.017642
0.020000,0.896902,7.190643,0.848188,1.844672,2.160173,0.582014,6.009291
0.020000,0.933214,7.180278,0.885950,1.888112,2.172015,0.592089,6.000995
0.020000,0.970277,7.169366,0.924586,1.931793,2.184033,0.600939,5.992770
0.020000,1.008090,7.157896,0.964100,1.975716,2.196170,0.606855,5.984635
0.020000,1.046652,7.145858,1.004498,2.019886,2.208491,0.616022,5.976605
0.020000,1.085963,7.133241,1.045784,2.064304,2.220878,0.619353,5.968700
0.020000,1.126023,7.120038,1.087963,2.108971,2.233369,0.624542,5.960937
0.020000,1.166831,7.106238,1.131041,2.153889,2.245913,0.627230,5.953332
0.020000,1.208387,7.091837,1.175022,2.199058,2.258455,0.627068,5.945905
0.020000,1.250693,7.076828,1.219912,2.244481,2.271146,0.634558,5.938673
