dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.447285,5.539135,0.000213,0.021333,1.066667,53.333333,0.018286
0.020000,0.447330,5.539136,0.000259,0.002259,-0.953724,-101.019529,0.018126
0.020000,0.448413,5.539155,0.001342,0.054172,2.595677,177.470056,0.017808
0.020000,0.451107,5.539202,0.004036,0.134722,4.027463,71.589291,0.017332
0.020000,0.454698,5.539263,0.007628,0.179564,2.242118,-89.267253,0.016702
0.020000,0.459184,5.539337,0.012115,0.224351,2.239371,-0.137357,0.015922
0.020000,0.464565,5.539420,0.017496,0.269070,2.235935,-0.171768,0.014997
0.020000,0.470839,5.539511,0.023770,0.313706,2.231781,-0.207717,0.013933
0.020000,0.478003,5.539606,0.030935,0.358245,2.226974,-0.240357,0.012736
0.020000,0.486056,5.539703,0.038989,0.402675,2.221464,-0.275500,0.011414
0.020000,0.494995,5.539799,0.047928,0.446980,2.215275,-0.309448,0.009976
0.020000,0.504817,5.539889,0.057751,0.491148,2.208419,-0.342820,0.008432
0.020000,0.515520,5.539971,0.068454,0.535166,2.200867,-0.377565,0.006793
0.020000,0.527101,5.540039,0.080035,0.579019,2.192667,-0.409994,0.005069
0.020000,0.539554,5.540091,0.092489,0.622695,2.183776,-0.444573,0.003274
0.020000,0.552878,5.540122,0.105812,0.666179,2.174238,-0.476895,0.001421
0.020000,0.567067,5.540129,0.120002,0.709460,2.164030,-0.510381,6.282710
0.020000,0.582118,5.540107,0.135052,0.752523,2.153162,-0.543414,6.280786
0.020000,0.598025,5.540054,0.150959,0.795356,2.141662,-0.574998,6.278849
0.020000,0.614783,5.539965,0.167718,0.837946,2.129473,-0.609482,6.276919
0.020000,0.632388,5.539837,0.185324,0.880279,2.116675,-0.639866,6.275011
0.020000,0.650834,5.539669,0.203771,0.922344,2.103229,-0.672290,6.273147
0.020000,0.670116,5.539458,0.223053,0.964127,2.089131,-0.704944,6.271345
0.020000,0.690227,5.539202,0.243165,1.005615,2.074399,-0.736592,6.269626
0.020000,0.711160,5.538901,0.264101,1.046795,2.059026,-0.768616,6.268013
0.020000,0.732911,5.538555,0.285854,1.087655,2.043012,-0.800710,6.266527
0.020000,0.755471,5.538163,0.308418,1.128183,2.026356,-0.832815,6.265193
0.020000,0.778834,5.537729,0.331785,1.168363,2.009039,-0.865843,6.264035
0.020000,0.802993,5.537254,0.355949,1.208185,1.991063,-0.898790,6.263078
0.020000,0.827941,5.536743,0.380902,1.247633,1.972430,-0.931671,6.262349
0.020000,0.853669,5.536200,0.406636,1.286695,1.953095,-0.966733,6.261875
0.020000,0.880170,5.535632,0.433143,1.325356,1.933066,-1.001451,6.261685
0.020000,0.907436,5.535047,0.460415,1.363603,1.912313,-1.037644,6.261807
0.020000,0.935458,5.534453,0.488443,1.401419,1.890818,-1.074769,6.262273
0.020000,0.964227,5.533863,0.517219,1.438790,1.868553,-1.113258,6.263114
0.020000,0.993736,5.533288,0.546733,1.475700,1.845496,-1.152862,6.264362
0.020000,1.023974,5.532743,0.576976,1.512132,1.821612,-1.194159,6.266051
0.020000,1.054931,5.532245,0.607937,1.548070,1.796881,-1.236545,6.268217
0.020000,1.086598,5.531812,0.639607,1.583495,1.771275,-1.280296,6.270895
0.020000,1.118964,5.531465,0.671975,1.618391,1.744761,-1.325708,6.274123
0.020000,1.152018,5.531227,0.705029,1.652738,1.717352,-1.370469,6.277940
0.020000,1.185748,5.531124,0.738760,1.686517,1.688989,-1.418141,6.282386
0.020000,1.220142,5.531182,0.773154,1.719712,1.659732,-1.462846,0.004317
