dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.457619,4.974079,0.000213,0.021333,1.066667,53.333333,0.018286
0.020000,0.457573,4.974078,0.000259,0.002259,-0.953724,-101.019529,0.018126
0.020000,0.458477,4.974095,0.001162,0.045165,2.145283,154.950362,0.017808
0.020000,0.460902,4.974137,0.003587,0.121279,3.805715,83.021572,0.017332
0.020000,0.464137,4.974192,0.006823,0.161769,2.024517,-89.059881,0.016702
0.020000,0.468182,4.974258,0.010869,0.202315,2.027290,0.138623,0.015922
0.020000,0.473040,4.974333,0.015728,0.242930,2.030750,0.173041,0.014997
0.020000,0.478712,4.974415,0.021400,0.283627,2.034869,0.205945,0.013933
0.020000,0.485200,4.974502,0.027889,0.324421,2.039703,0.241685,0.012736
0.020000,0.492506,4.974590,0.035195,0.365325,2.045203,0.274980,0.011414
0.020000,0.500633,4.974677,0.043322,0.406353,2.051385,0.309137,0.009976
0.020000,0.509583,4.974759,0.052273,0.447518,2.058257,0.343569,0.008432
0.020000,0.519359,4.974834,0.062049,0.488834,2.065786,0.376467,0.006793
0.020000,0.529965,4.974897,0.072656,0.530314,2.074009,0.411161,0.005069
0.020000,0.541405,4.974944,0.084095,0.571972,2.082880,0.443547,0.003274
0.020000,0.553681,4.974973,0.096371,0.613820,2.092433,0.477629,0.001421
0.020000,0.566798,4.974979,0.109489,0.655873,2.102638,0.510260,6.282710
0.020000,0.580761,4.974959,0.123452,0.698143,2.113496,0.542910,6.280786
0.020000,0.595574,4.974909,0.138265,0.740644,2.125027,0.576517,6.278849
0.020000,0.611242,4.974826,0.153932,0.783387,2.137168,0.607056,6.276919
0.020000,0.627769,4.974706,0.170460,0.826387,2.149989,0.641080,6.275011
0.020000,0.645161,4.974548,0.187853,0.869656,2.163448,0.672935,6.273147
0.020000,0.663424,4.974348,0.206117,0.913206,2.177535,0.704369,6.271345
0.020000,0.682564,4.974104,0.225258,0.957052,2.192268,0.736654,6.269626
