dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.540405,3.241588,0.000213,0.021333,1.066667,53.333333,6.227481
0.020000,0.540359,3.241591,0.000259,0.002293,-0.952035,-100.935081,6.227643
0.020000,0.541744,3.241514,0.001646,0.069350,3.352856,215.244550,6.227967
0.020000,0.544163,3.241381,0.004069,0.121160,2.590494,-38.118078,6.228451
0.020000,0.547390,3.241205,0.007301,0.161590,2.021519,-28.448799,6.229094
0.020000,0.551426,3.240988,0.011342,0.202058,2.023393,0.093717,6.229892
0.020000,0.556270,3.240732,0.016194,0.242573,2.025747,0.117711,6.230842
0.020000,0.561926,3.240439,0.021857,0.283144,2.028572,0.141242,6.231941
0.020000,0.568393,3.240112,0.028332,0.323781,2.031861,0.164459,6.233183
0.020000,0.575674,3.239752,0.035622,0.364494,2.035640,0.188955,6.234564
0.020000,0.583771,3.239364,0.043728,0.405292,2.039888,0.212386,6.236077
0.020000,0.592685,3.238951,0.052652,0.446184,2.044614,0.236312,6.237715
0.020000,0.602419,3.238517,0.062395,0.487181,2.049824,0.260470,6.239472
0.020000,0.612975,3.238065,0.072961,0.528291,2.055511,0.284368,6.241338
0.020000,0.624356,3.237600,0.084352,0.569525,2.061685,0.308694,6.243307
0.020000,0.636564,3.237126,0.096569,0.610891,2.068336,0.332561,6.245367
0.020000,0.649604,3.236646,0.109617,0.652401,2.075475,0.356934,6.247509
0.020000,0.663477,3.236167,0.123499,0.694063,2.083096,0.381060,6.249722
0.020000,0.678187,3.235691,0.138216,0.735887,2.091202,0.405311,6.251995
0.020000,0.693737,3.235224,0.153774,0.777883,2.099790,0.429390,6.254316
0.020000,0.710132,3.234770,0.170175,0.820060,2.108860,0.453511,6.256671
0.020000,0.727375,3.234333,0.187424,0.862428,2.118413,0.477652,6.259047
0.020000,0.745470,3.233918,0.205524,0.904997,2.128445,0.501609,6.261430
0.020000,0.764422,3.233529,0.224479,0.947776,2.138957,0.525567,6.263805
0.020000,0.784234,3.233168,0.244295,0.990775,2.149944,0.549347,6.266156
0.020000,0.804912,3.232840,0.264975,1.034003,2.161405,0.573091,6.268468
0.020000,0.826459,3.232547,0.286524,1.077470,2.173340,0.596744,6.270723
0.020000,0.848881,3.232293,0.308948,1.121185,2.185746,0.620268,6.272904
0.020000,0.872183,3.232078,0.332251,1.165157,2.198621,0.643746,6.274993
0.020000,0.896371,3.231904,0.356439,1.209397,2.211963,0.667117,6.276970
0.020000,0.921449,3.231772,0.381517,1.253912,2.225772,0.690457,6.278817
0.020000,0.947423,3.231681,0.407492,1.298713,2.240050,0.713868,6.280512
0.020000,0.974299,3.231630,0.434368,1.343809,2.254793,0.737167,6.282036
0.020000,1.002083,3.231617,0.462152,1.389209,2.270005,0.760624,0.000180
0.020000,1.030782,3.231639,0.490850,1.434923,2.285687,0.784077,0.001295
0.020000,1.060401,3.231691,0.520470,1.480960,2.301843,0.807809,0.002170
0.020000,1.090947,3.231767,0.551016,1.527329,2.318475,0.831578,0.002784
0.020000,1.122428,3.231861,0.582497,1.574041,2.335587,0.855616,0.003111
0.020000,1.154850,3.231963,0.614919,1.621104,2.353184,0.879867,0.003128
0.020000,1.188220,3.232063,0.648290,1.668530,2.371271,0.904343,0.002807
0.020000,1.222547,3.232148,0.682616,1.716327,2.389851,0.929012,0.002123
0.020000,1.257837,3.232206,0.717906,1.764506,2.408929,0.953868,0.001049
0.020000,1.294098,3.232218,0.754168,1.813076,2.428504,0.978774,6.282743
0.020000,1.331339,3.232166,0.791409,1.862047,2.448575,1.003547,6.280805
0.020000,1.369567,3.232031,0.829637,1.911430,2.469139,1.028191,6.278392
0.020000,1.408791,3.231787,0.868862,1.961234,2.490182,1.052147,6.275473
0.020000,1.449019,3.231409,0.909091,2.011467,2.511685,1.075159,6.272019
0.020000,1.490258,3.230867,0.950334,2.062140,2.533624,1.096928,6.267999
0.020000,1.532517,3.230129,0.992599,2.113259,2.555953,1.116486,6.263380
0.020000,1.575803,3.229160,1.035896,2.164831,2.578621,1.133362,6.258130
0.020000,1.620123,3.227920,1.080233,2.216862,2.601550,1.146461,6.252218
0.020000,1.665483,3.226367,1.125620,2.269355,2.624644,1.154686,6.245610
0.020000,1.711890,3.224454,1.172067,2.322311,2.647781,1.156895,6.238274
0.020000,1.759348,3.222131,1.219581,2.375727,2.670799,1.150877,6.230177
0.020000,1.807860,3.219344,1.268173,2.429597,2.693512,1.135647,6.221287
0.020000,1.850707,3.216615,1.311107,2.146701,-14.144784,-841.914792,6.228724
0.020000,1.888668,3.215220,1.349094,1.899367,-12.366706,88.903897,6.263396
0.020000,1.928360,3.215077,1.388786,1.984575,4.260374,831.353995,0.011873
0.020000,1.969777,3.216175,1.430217,2.071567,4.349646,4.463611,0.040398
0.020000,2.012910,3.218481,1.473412,2.159730,4.408121,2.923732,0.065704
0.020000,2.057749,3.221944,1.518385,2.248646,4.445804,1.884159,0.087738
