dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.524672,2.959452,0.000213,0.021333,1.066667,53.333333,6.227481
0.020000,0.524672,2.959452,0.001067,0.064000,2.133333,53.333333,6.227643
0.020000,0.526149,2.959370,0.002773,0.106667,2.133333,0.000000,6.227967
0.020000,0.528705,2.959229,0.005333,0.149333,2.133333,0.000000,6.228451
0.020000,0.532113,2.959044,0.008747,0.192000,2.133333,-0.000000,6.229094
0.020000,0.536373,2.958815,0.013013,0.234667,2.133333,0.000000,6.229892
0.020000,0.541486,2.958544,0.018133,0.277333,2.133333,0.000000,6.230842
0.020000,0.547452,2.958235,0.024107,0.320000,2.133333,0.000000,6.231941
0.020000,0.554270,2.957890,0.030933,0.362667,2.133333,-0.000000,6.233183
0.020000,0.561940,2.957511,0.038613,0.405333,2.133333,0.000000,6.234564
0.020000,0.570464,2.957103,0.047147,0.448000,2.133333,0.000000,6.236077
0.020000,0.579840,2.956669,0.056533,0.490667,2.133333,-0.000000,6.237715
0.020000,0.590070,2.956212,0.066773,0.533333,2.133333,0.000000,6.239472
0.020000,0.601153,2.955738,0.077867,0.576000,2.133333,-0.000000,6.241338
0.020000,0.613090,2.955250,0.089813,0.618667,2.133333,0.000000,6.243307
0.020000,0.625880,2.954753,0.102613,0.661333,2.133333,-0.000000,6.245367
0.020000,0.639525,2.954251,0.116267,0.704000,2.133333,0.000000,6.247509
0.020000,0.654023,2.953750,0.130773,0.746667,2.133333,-0.000000,6.249722
0.020000,0.669375,2.953253,0.146133,0.789333,2.133333,0.000000,6.251995
0.020000,0.685581,2.952767,0.162347,0.832000,2.133333,-0.000000,6.254316
0.020000,0.702641,2.952294,0.179413,0.874667,2.133333,0.000000,6.256671
0.020000,0.720555,2.951841,0.197333,0.917333,2.133333,0.000000,6.259047
0.020000,0.739323,2.951410,0.216107,0.960000,2.133333,-0.000000,6.261430
0.020000,0.758946,2.951007,0.235733,1.002667,2.133333,0.000000,6.263805
0.020000,0.779422,2.950634,0.256213,1.045333,2.133333,-0.000000,6.266156
0.020000,0.800753,2.950296,0.277547,1.088000,2.133333,0.000000,6.268468
0.020000,0.822938,2.949994,0.299733,1.130667,2.133333,0.000000,6.270723
0.020000,0.845976,2.949733,0.322773,1.173333,2.133333,0.000000,6.272904
0.020000,0.869869,2.949512,0.346667,1.216000,2.133333,0.000000,6.274993
