dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.508940,2.677315,0.000213,0.021333,1.066667,53.333333,6.227481
0.020000,0.508986,2.677312,0.000259,0.002293,-0.952035,-100.935081,6.227643
0.020000,0.510553,2.677226,0.001829,0.078501,3.810443,238.123901,6.227967
0.020000,0.513246,2.677077,0.004526,0.134840,2.816942,-49.675042,6.228451
0.020000,0.516836,2.676882,0.008121,0.179743,2.245151,-28.589577,6.229094
0.020000,0.521321,2.676641,0.012613,0.224609,2.243267,-0.094162,6.229892
0.020000,0.526702,2.676356,0.018002,0.269427,2.240922,-0.117279,6.230842
0.020000,0.532978,2.676031,0.024285,0.314189,2.238101,-0.141037,6.231941
0.020000,0.540146,2.675668,0.031463,0.358885,2.234795,-0.165285,6.233183
0.020000,0.548206,2.675270,0.039533,0.403506,2.231030,-0.188263,6.234564
0.020000,0.557157,2.674841,0.048494,0.448041,2.226779,-0.212578,6.236077
0.020000,0.566996,2.674386,0.058344,0.492482,2.222049,-0.236497,6.237715
0.020000,0.577722,2.673907,0.069080,0.536819,2.216843,-0.260305,6.239472
0.020000,0.589332,2.673410,0.080701,0.581042,2.211152,-0.284532,6.241338
0.020000,0.601824,2.672899,0.093204,0.625142,2.204984,-0.308400,6.243307
0.020000,0.615196,2.672380,0.106586,0.669108,2.198327,-0.332861,6.245367
0.020000,0.629445,2.671856,0.120845,0.712932,2.191190,-0.356824,6.247509
0.020000,0.644569,2.671333,0.135977,0.756603,2.183569,-0.381084,6.249722
0.020000,0.660562,2.670816,0.151979,0.800113,2.175465,-0.405198,6.251995
0.020000,0.677424,2.670309,0.168848,0.843450,2.166875,-0.429455,6.254316
0.020000,0.695149,2.669819,0.186580,0.886606,2.157804,-0.453585,6.256671
0.020000,0.713735,2.669348,0.205171,0.929571,2.148252,-0.477577,6.259047
0.020000,0.733176,2.668902,0.224618,0.972336,2.138220,-0.501623,6.261430
0.020000,0.753470,2.668485,0.244916,1.014890,2.127710,-0.525496,6.263805
0.020000,0.774611,2.668100,0.266060,1.057224,2.116722,-0.549372,6.266156
0.020000,0.796595,2.667751,0.288047,1.099330,2.105261,-0.573085,6.268468
0.020000,0.819416,2.667441,0.310871,1.141196,2.093327,-0.596697,6.270723
0.020000,0.843071,2.667173,0.334527,1.182815,2.080922,-0.620257,6.272904
0.020000,0.867554,2.666947,0.359011,1.224176,2.068048,-0.643698,6.274993
0.020000,0.892858,2.666765,0.384316,1.265270,2.054705,-0.667121,6.276970
0.020000,0.918980,2.666627,0.410438,1.306088,2.040895,-0.690491,6.278817
0.020000,0.945912,2.666533,0.437370,1.346620,2.026620,-0.713762,6.280512
0.020000,0.973649,2.666480,0.465107,1.386858,2.011876,-0.737192,6.282036
0.020000,1.002185,2.666467,0.493643,1.426791,1.996665,-0.760574,0.000180
0.020000,1.031513,2.666489,0.522971,1.466410,1.980982,-0.784160,0.001295
0.020000,1.061627,2.666542,0.553086,1.505707,1.964827,-0.807735,0.002170
