dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.540390,3.241589,0.000213,0.021333,1.066667,53.333333,6.227533
0.020000,0.540356,3.241591,0.000248,0.001711,-0.981122,-102.389452,6.227654
0.020000,0.541764,3.241513,0.001658,0.070510,3.439948,221.053513,6.227896
0.020000,0.544218,3.241378,0.004116,0.122891,2.619073,-41.043725,6.228258
0.020000,0.547491,3.241199,0.007393,0.163883,2.049587,-28.474296,6.228738
0.020000,0.551583,3.240977,0.011491,0.204899,2.050783,0.059786,6.229335
0.020000,0.556495,3.240714,0.016410,0.245944,2.052286,0.075135,6.230047
0.020000,0.562227,3.240411,0.022151,0.287026,2.054088,0.090114,6.230870
0.020000,0.568781,3.240071,0.028714,0.328150,2.056185,0.104819,6.231804
0.020000,0.576158,3.239696,0.036100,0.369322,2.058595,0.120506,6.232842
0.020000,0.584359,3.239287,0.044311,0.410548,2.061301,0.135336,6.233983
0.020000,0.593385,3.238848,0.053348,0.451834,2.064312,0.150531,6.235222
0.020000,0.603238,3.238382,0.063211,0.493187,2.067630,0.165898,6.236553
0.020000,0.613919,3.237891,0.073904,0.534612,2.071251,0.181032,6.237973
0.020000,0.625430,3.237379,0.085426,0.576115,2.075181,0.196523,6.239475
0.020000,0.637772,3.236849,0.097780,0.617704,2.079413,0.211595,6.241053
0.020000,0.650949,3.236304,0.110968,0.659383,2.083955,0.227122,6.242701
0.020000,0.664961,3.235749,0.124991,0.701159,2.088804,0.242422,6.244412
0.020000,0.679811,3.235186,0.139852,0.743038,2.093962,0.257886,6.246178
0.020000,0.695501,3.234619,0.155552,0.785026,2.099425,0.273165,6.247993
0.020000,0.712034,3.234053,0.172095,0.827130,2.105196,0.288543,6.249848
0.020000,0.729412,3.233490,0.189482,0.869356,2.111276,0.303992,6.251734
0.020000,0.747638,3.232934,0.207716,0.911709,2.117661,0.319284,6.253642
0.020000,0.766714,3.232388,0.226800,0.954196,2.124355,0.334704,6.255562
0.020000,0.786643,3.231857,0.246736,0.996823,2.131353,0.349892,6.257486
0.020000,0.807429,3.231343,0.267528,1.039596,2.138658,0.365237,6.259402
0.020000,0.829074,3.230849,0.289179,1.082522,2.146266,0.380402,6.261299
0.020000,0.851581,3.230377,0.311691,1.125605,2.154179,0.395629,6.263168
0.020000,0.874954,3.229931,0.335068,1.168853,2.162394,0.410755,6.264995
0.020000,0.899196,3.229512,0.359313,1.212271,2.170911,0.425856,6.266768
0.020000,0.924310,3.229121,0.384431,1.255866,2.179729,0.440906,6.268476
0.020000,0.950300,3.228760,0.410424,1.299643,2.188848,0.455948,6.270106
0.020000,0.977170,3.228430,0.437296,1.343608,2.198267,0.470938,6.271644
0.020000,1.004924,3.228130,0.465051,1.387768,2.207985,0.485939,6.273076
0.020000,1.033565,3.227859,0.493694,1.432128,2.218003,0.500893,6.274388
0.020000,1.063098,3.227617,0.523228,1.476694,2.228322,0.515927,6.275565
0.020000,1.093527,3.227402,0.553657,1.521473,2.238940,0.530917,6.276594
0.020000,1.124856,3.227209,0.584986,1.566470,2.249860,0.545981,6.277457
0.020000,1.157089,3.227036,0.617220,1.611692,2.261082,0.561093,6.278139
0.020000,1.190232,3.226877,0.650363,1.657144,2.272607,0.576267,6.278624
0.020000,1.224288,3.226727,0.684420,1.702833,2.284437,0.591529,6.278896
0.020000,1.259263,3.226579,0.719395,1.748764,2.296575,0.606855,6.278936
0.020000,1.295161,3.226423,0.755294,1.794945,2.309020,0.622282,6.278728
