dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.524672,2.959452,0.000213,0.021333,1.066667,53.333333,6.227533
0.020000,0.524672,2.959452,0.001067,0.064000,2.133333,53.333333,6.227654
0.020000,0.526149,2.959370,0.002773,0.106667,2.133333,0.000000,6.227896
0.020000,0.528705,2.959229,0.005333,0.149333,2.133333,0.000000,6.228258
0.020000,0.532113,2.959042,0.008747,0.192000,2.133333,-0.000000,6.228738
0.020000,0.536373,2.958811,0.013013,0.234667,2.133333,0.000000,6.229335
0.020000,0.541486,2.958538,0.018133,0.277333,2.133333,0.000000,6.230047
0.020000,0.547451,2.958223,0.024107,0.320000,2.133333,0.000000,6.230870
0.020000,0.554268,2.957869,0.030933,0.362667,2.133333,-0.000000,6.231804
0.020000,0.561939,2.957479,0.038613,0.405333,2.133333,0.000000,6.232842
0.020000,0.570461,2.957054,0.047147,0.448000,2.133333,0.000000,6.233983
0.020000,0.579837,2.956598,0.056533,0.490667,2.133333,-0.000000,6.235222
0.020000,0.590065,2.956114,0.066773,0.533333,2.133333,0.000000,6.236553
0.020000,0.601147,2.955605,0.077867,0.576000,2.133333,-0.000000,6.237973
0.020000,0.613082,2.955074,0.089813,0.618667,2.133333,0.000000,6.239475
0.020000,0.625870,2.954525,0.102613,0.661333,2.133333,-0.000000,6.241053
0.020000,0.639512,2.953961,0.116267,0.704000,2.133333,0.000000,6.242701
0.020000,0.654007,2.953386,0.130773,0.746667,2.133333,-0.000000,6.244412
0.020000,0.669356,2.952804,0.146133,0.789333,2.133333,0.000000,6.246178
0.020000,0.685559,2.952219,0.162347,0.832000,2.133333,-0.000000,6.247993
0.020000,0.702616,2.951635,0.179413,0.874667,2.133333,0.000000,6.249848
0.020000,0.720526,2.951054,0.197333,0.917333,2.133333,0.000000,6.251734
0.020000,0.739291,2.950482,0.216107,0.960000,2.133333,-0.000000,6.253642
0.020000,0.758909,2.949921,0.235733,1.002667,2.133333,0.000000,6.255562
0.020000,0.779382,2.949375,0.256213,1.045333,2.133333,-0.000000,6.257486
0.020000,0.800709,2.948848,0.277547,1.088000,2.133333,0.000000,6.259402
0.020000,0.822890,2.948341,0.299733,1.130667,2.133333,0.000000,6.261299
0.020000,0.845925,2.947859,0.322773,1.173333,2.133333,0.000000,6.263168
0.020000,0.869814,2.947403,0.346667,1.216000,2.133333,0.000000,6.264995
0.020000,0.894557,2.946975,0.371413,1.258667,2.133333,-0.000000,6.266768
0.020000,0.920154,2.946577,0.397013,1.301333,2.133333,0.000000,6.268476
0.020000,0.946604,2.946209,0.423467,1.344000,2.133333,-0.000000,6.270106
0.020000,0.973909,2.945874,0.450773,1.386667,2.133333,0.000000,6.271644
0.020000,1.002067,2.945569,0.478933,1.429333,2.133333,0.000000,6.273076
0.020000,1.031079,2.945295,0.507947,1.472000,2.133333,0.000000,6.274388
0.020000,1.060945,2.945051,0.537813,1.514667,2.133333,-0.000000,6.275565
0.020000,1.091664,2.944833,0.568533,1.557333,2.133333,0.000000,6.276594
0.020000,1.123237,2.944639,0.600107,1.600000,2.133333,0.000000,6.277457
0.020000,1.155663,2.944465,0.632533,1.642667,2.133333,0.000000,6.278139
0.020000,1.188943,2.944305,0.665813,1.685333,2.133333,0.000000,6.278624
0.020000,1.223076,2.944155,0.699947,1.728000,2.133333,0.000000,6.278896
0.020000,1.258062,2.944006,0.734933,1.770667,2.133333,-0.000000,6.278936
0.020000,1.293902,2.943851,0.770773,1.813333,2.133333,0.000000,6.278728
0.020000,1.330595,2.943680,0.807467,1.856000,2.133333,-0.000000,6.278252
0.020000,1.368141,2.943481,0.845013,1.898667,2.133333,0.000000,6.277492
0.020000,1.406540,2.943243,0.883413,1.941333,2.133333,-0.000000,6.276427
0.020000,1.445792,2.942951,0.922667,1.984000,2.133333,-0.000000,6.275039
0.020000,1.485897,2.942591,0.962773,2.026667,2.133333,0.000000,6.273308
0.020000,1.526855,2.942145,1.003733,2.069333,2.133333,-0.000000,6.271212
0.020000,1.568665,2.941593,1.045547,2.112000,2.133333,0.000000,6.268733
0.020000,1.611326,2.940916,1.088213,2.154667,2.133333,0.000000,6.265848
0.020000,1.654838,2.940091,1.131733,2.197333,2.133333,-0.000000,6.262537
0.020000,1.699200,2.939093,1.176107,2.240000,2.133333,0.000000,6.258776
0.020000,1.744411,2.937895,1.221333,2.282667,2.133333,0.000000,6.254545
0.020000,1.790469,2.936468,1.267413,2.325333,2.133333,-0.000000,6.249821
0.020000,1.834363,2.934989,1.314347,2.368000,2.133333,0.000000,6.256361
0.020000,1.882144,2.934374,1.362133,2.410667,2.133333,0.000000,0.000802
0.020000,1.930778,2.935062,1.410773,2.453333,2.133333,0.000000,0.027218
0.020000,1.980231,2.937037,1.460267,2.496000,2.133333,0.000000,0.052325
0.020000,2.030472,2.940274,1.510613,2.538667,2.133333,-0.000000,0.076040
0.020000,2.081476,2.944739,1.561813,2.581333,2.133333,0.000000,0.098294
0.020000,2.133220,2.950392,1.613867,2.624000,2.133333,0.000000,0.119032
0.020000,2.185688,2.957187,1.666773,2.666667,2.133333,0.000000,0.138209
0.020000,2.238867,2.965069,1.720533,2.709333,2.133333,-0.000000,0.155790
0.020000,2.292747,2.973981,1.775147,2.752000,2.133333,0.000000,0.171746
0.020000,2.347327,2.983860,1.830613,2.794667,2.133333,-0.000000,0.186052
0.020000,2.402606,2.994636,1.886933,2.837333,2.133333,0.000000,0.198683
0.020000,2.458590,3.006236,1.944107,2.880000,2.133333,0.000000,0.209616
0.020000,2.515288,3.018580,2.002133,2.922667,2.133333,-0.000000,0.218824
0.020000,2.572714,3.031585,2.061013,2.965333,2.133333,0.000000,0.226277
0.020000,2.630884,3.045160,2.120747,3.008000,2.133333,-0.000000,0.231936
0.020000,2.689819,3.059209,2.181333,3.050667,2.133333,0.000000,0.235755
0.020000,2.749544,3.073627,2.242773,3.093333,2.133333,0.000000,0.237678
0.020000,2.810084,3.088302,2.305067,3.136000,2.133333,-0.000000,0.237636
0.020000,2.871469,3.103114,2.368213,3.178667,2.133333,0.000000,0.235547
0.020000,2.933522,3.117880,2.432000,3.200000,1.066667,-53.333333,0.231328
0.020000,2.995862,3.132366,2.496000,3.200000,0.000000,-53.333333,0.224936
0.020000,3.058307,3.146384,2.560000,3.200000,0.000000,0.000000,0.216336
0.020000,3.120886,3.159794,2.624000,3.200000,0.000000,0.000000,0.205467
0.020000,3.183622,3.172449,2.688000,3.200000,0.000000,0.000000,0.192257
0.020000,3.246534,3.184200,2.752000,3.200000,0.000000,0.000000,0.176619
0.020000,3.309634,3.194885,2.816000,3.200000,0.000000,0.000000,0.158460
0.020000,3.372931,3.204341,2.880000,3.200000,0.000000,0.000000,0.137679
0.020000,3.436421,3.212394,2.944000,3.200000,0.000000,0.000000,0.114173
0.020000,3.500091,3.218862,3.008000,3.200000,0.000000,0.000000,0.087844
0.020000,3.563916,3.223560,3.072000,3.200000,0.000000,0.000000,0.058610
0.020000,3.627855,3.226296,3.136000,3.200000,0.000000,0.000000,0.026410
0.020000,3.691849,3.226876,3.200000,3.200000,0.000000,0.000000,6.274408
0.020000,3.755821,3.225109,3.264000,3.200000,0.000000,0.000000,6.236262
0.020000,3.819672,3.220812,3.328000,3.200000,0.000000,0.000000,6.195254
0.020000,3.883283,3.213815,3.392000,3.200000,0.000000,0.000000,6.151559
0.020000,3.946515,3.203967,3.456000,3.200000,0.000000,0.000000,6.105445
0.020000,4.009212,3.191149,3.520000,3.200000,0.000000,0.000000,6.057271
0.020000,4.071205,3.175274,3.584000,3.200000,0.000000,0.000000,6.007486
0.020000,4.132319,3.156297,3.648000,3.200000,0.000000,0.000000,5.956607
0.020000,4.192383,3.134218,3.712000,3.200000,0.000000,0.000000,5.905200
0.020000,4.251231,3.109080,3.776000,3.200000,0.000000,0.000000,5.853839
0.020000,4.308719,3.080970,3.840000,3.200000,0.000000,0.000000,5.803081
0.020000,4.364724,3.050007,3.904000,3.200000,0.000000,0.000000,5.753425
0.020000,4.419147,3.016342,3.968000,3.200000,0.000000,0.000000,5.705298
0.020000,4.471920,2.980146,4.032000,3.200000,0.000000,0.000000,5.659034
0.020000,4.522864,2.941710,4.095822,3.182190,-0.890509,-44.525449,5.614992
0.020000,4.571680,2.901494,4.159074,3.143046,-1.957176,-53.333333,5.573554
0.020000,4.618237,2.859901,4.221509,3.100380,-2.133333,-8.807885,5.534882
0.020000,4.662595,2.817191,4.283089,3.057713,-2.133333,0.000000,5.498918
0.020000,4.704853,2.773582,4.343817,3.015046,-2.133333,0.000000,5.465539
0.020000,4.745115,2.729268,4.403691,2.972380,-2.133333,-0.000000,5.434593
0.020000,4.783483,2.684423,4.462712,2.929713,-2.133333,0.000000,5.405920
0.020000,4.818880,2.640744,4.520880,2.887046,-2.133333,0.000000,5.386141
0.020000,4.854869,2.596138,4.578194,2.844380,-2.133333,-0.000000,5.396102
0.020000,4.890715,2.552516,4.634655,2.801713,-2.133333,0.000000,5.404099
0.020000,4.926322,2.509804,4.690263,2.759046,-2.133333,0.000000,5.410239
0.020000,4.961603,2.467932,4.745017,2.716380,-2.133333,-0.000000,5.414619
0.020000,4.996480,2.426836,4.798918,2.673713,-2.133333,0.000000,5.417329
0.020000,5.030882,2.386456,4.851965,2.631046,-2.133333,0.000000,5.418454
0.020000,5.064745,2.346738,4.904160,2.588380,-2.133333,-0.000000,5.418070
0.020000,5.098012,2.307632,4.955501,2.545713,-2.133333,0.000000,5.416250
0.020000,5.130628,2.269095,5.005988,2.503046,-2.133333,0.000000,5.413059
0.020000,5.162548,2.231086,5.055622,2.460380,-2.133333,-0.000000,5.408560
0.020000,5.193727,2.193569,5.104403,2.417713,-2.133333,0.000000,5.402810
0.020000,5.224125,2.156516,5.152331,2.375046,-2.133333,-0.000000,5.395867
0.020000,5.253709,2.119899,5.199405,2.332380,-2.133333,0.000000,5.387784
0.020000,5.282444,2.083696,5.245626,2.289713,-2.133333,0.000000,5.378613
0.020000,5.310303,2.047890,5.290994,2.247046,-2.133333,-0.000000,5.368408
0.020000,5.337261,2.012467,5.335508,2.204380,-2.133333,0.000000,5.357220
0.020000,5.363295,1.977418,5.379169,2.161713,-2.133333,-0.000000,5.345104
0.020000,5.388387,1.942736,5.421976,2.119046,-2.133333,0.000000,5.332113
0.020000,5.412521,1.908418,5.463931,2.076380,-2.133333,0.000000,5.318303
0.020000,5.435685,1.874467,5.505032,2.033713,-2.133333,-0.000000,5.303733
0.020000,5.457869,1.840885,5.545279,1.991046,-2.133333,0.000000,5.288464
0.020000,5.479067,1.807681,5.584674,1.948380,-2.133333,0.000000,5.272557
0.020000,5.499278,1.774865,5.623214,1.905713,-2.133333,-0.000000,5.256078
0.020000,5.518501,1.742449,5.660902,1.863046,-2.133333,0.000000,5.239094
0.020000,5.536741,1.710449,5.697736,1.820380,-2.133333,0.000000,5.221673
0.020000,5.554005,1.678881,5.733717,1.777713,-2.133333,-0.000000,5.203887
0.020000,5.570304,1.647764,5.768845,1.735046,-2.133333,0.000000,5.185806
0.020000,5.585653,1.617119,5.803119,1.692380,-2.133333,0.000000,5.167503
0.020000,5.600067,1.586967,5.836540,1.649713,-2.133333,0.000000,5.149048
0.020000,5.613567,1.557330,5.869108,1.607046,-2.133333,-0.000000,5.130514
