dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.508955,2.677314,0.000213,0.021333,1.066667,53.333333,6.227533
0.020000,0.508989,2.677312,0.000248,0.001711,-0.981122,-102.389452,6.227654
0.020000,0.510533,2.677227,0.001794,0.077341,3.781525,238.132377,6.227896
0.020000,0.513191,2.677080,0.004457,0.133109,2.788364,-49.658039,6.228258
0.020000,0.516735,2.676886,0.008006,0.177450,2.217081,-28.564163,6.228738
0.020000,0.521164,2.676646,0.012441,0.221768,2.215879,-0.060121,6.229335
0.020000,0.526477,2.676361,0.017762,0.266056,2.214383,-0.074807,6.230047
0.020000,0.532675,2.676034,0.023968,0.310307,2.212584,-0.089951,6.230870
0.020000,0.539756,2.675667,0.031059,0.354517,2.210474,-0.105456,6.231804
0.020000,0.547719,2.675262,0.039032,0.398678,2.208075,-0.119969,6.232842
0.020000,0.556564,2.674821,0.047888,0.442785,2.205365,-0.135483,6.233983
0.020000,0.566289,2.674348,0.057624,0.486833,2.202352,-0.150678,6.235222
0.020000,0.576893,2.673846,0.068241,0.530813,2.199037,-0.165764,6.236553
0.020000,0.588376,2.673319,0.079735,0.574722,2.195413,-0.181172,6.237973
0.020000,0.600734,2.672769,0.092106,0.618551,2.191488,-0.196263,6.239475
0.020000,0.613968,2.672200,0.105352,0.662296,2.187251,-0.211862,6.241053
0.020000,0.628075,2.671617,0.119471,0.705951,2.182710,-0.227021,6.242701
0.020000,0.643053,2.671024,0.134461,0.749508,2.177861,-0.242461,6.244412
0.020000,0.658901,2.670423,0.150320,0.792962,2.172706,-0.257749,6.246178
0.020000,0.675617,2.669819,0.167047,0.836307,2.167241,-0.273245,6.247993
0.020000,0.693197,2.669217,0.184637,0.879536,2.161469,-0.288629,6.249848
0.020000,0.711640,2.668619,0.203090,0.922644,2.155390,-0.303917,6.251734
0.020000,0.730944,2.668030,0.222403,0.965624,2.149003,-0.319337,6.253642
0.020000,0.751105,2.667454,0.242572,1.008470,2.142312,-0.334571,6.255562
0.020000,0.772121,2.666894,0.263596,1.051176,2.135312,-0.349988,6.257486
0.020000,0.793989,2.666353,0.285470,1.093737,2.128009,-0.365166,6.259402
0.020000,0.816706,2.665834,0.308193,1.136145,2.120400,-0.380454,6.261299
0.020000,0.840269,2.665341,0.331761,1.178394,2.112488,-0.395589,6.263168
0.020000,0.864674,2.664874,0.356171,1.220480,2.104273,-0.410742,6.264995
0.020000,0.889918,2.664438,0.381419,1.262395,2.095756,-0.425838,6.266768
0.020000,0.915997,2.664032,0.407501,1.304134,2.086938,-0.440908,6.268476
0.020000,0.942909,2.663659,0.434415,1.345690,2.077820,-0.455920,6.270106
0.020000,0.970648,2.663317,0.462156,1.387058,2.068401,-0.470935,6.271644
0.020000,0.999211,2.663009,0.490721,1.428232,2.058683,-0.485908,6.273076
0.020000,1.028593,2.662731,0.520105,1.469205,2.048665,-0.500924,6.274388
0.020000,1.058792,2.662484,0.550304,1.509972,2.038347,-0.515878,6.275565
0.020000,1.089802,2.662264,0.581315,1.550527,2.027728,-0.530927,6.276594
0.020000,1.121618,2.662068,0.613132,1.590863,2.016809,-0.545983,6.277457
0.020000,1.154237,2.661893,0.645752,1.630974,2.005587,-0.561098,6.278139
0.020000,1.187654,2.661733,0.679169,1.670856,1.994061,-0.576284,6.278624
0.020000,1.221864,2.661583,0.713379,1.710500,1.982230,-0.591539,6.278896
0.020000,1.256861,2.661434,0.748377,1.749902,1.970093,-0.606896,6.278936
0.020000,1.292642,2.661279,0.784158,1.789055,1.957646,-0.622315,6.278728
0.020000,1.329201,2.661108,0.820717,1.827953,1.944890,-0.637829,6.278252
0.020000,1.366532,2.660910,0.858049,1.866589,1.931822,-0.653368,6.277492
0.020000,1.404631,2.660674,0.896148,1.904958,1.918443,-0.668941,6.276427
0.020000,1.443491,2.660386,0.935009,1.943053,1.904753,-0.684504,6.275039
0.020000,1.483106,2.660030,0.974626,1.980868,1.890756,-0.699873,6.273308
0.020000,1.523472,2.659590,1.014994,2.018397,1.876454,-0.715098,6.271212
0.020000,1.564581,2.659048,1.056107,2.055635,1.861855,-0.729964,6.268733
0.020000,1.606427,2.658384,1.097959,2.092574,1.846970,-0.744233,6.265848
0.020000,1.649004,2.657576,1.140543,2.129210,1.831813,-0.757829,6.262537
0.020000,1.692304,2.656602,1.183854,2.165538,1.816406,-0.770350,6.258776
0.020000,1.736319,2.655436,1.227885,2.201554,1.800775,-0.781549,6.254545
0.020000,1.781043,2.654051,1.272630,2.237253,1.784956,-0.790972,6.249821
0.020000,1.826784,2.652515,1.318397,2.288371,2.555909,38.547656,6.256361
0.020000,1.882371,2.651799,1.373988,2.779562,24.559553,1100.182187,0.000802
0.020000,1.938468,2.652592,1.430091,2.805143,1.279018,-1164.026761,0.027218
0.020000,1.995010,2.654849,1.486678,2.829321,1.208924,-3.504692,0.052325
0.020000,2.051938,2.658516,1.543724,2.852331,1.150481,-2.922142,0.076040
0.020000,2.109207,2.663528,1.601211,2.874359,1.101408,-2.453670,0.098294
0.020000,2.166776,2.669817,1.659124,2.895615,1.062819,-1.929418,0.119032
0.020000,2.224618,2.677306,1.717449,2.916244,1.031430,-1.569470,0.138209
0.020000,2.282711,2.685916,1.776176,2.936364,1.006015,-1.270760,0.155790
0.020000,2.341040,2.695564,1.835297,2.956072,0.985397,-1.030904,0.171746
0.020000,2.399597,2.706162,1.894806,2.975423,0.967570,-0.891332,0.186052
0.020000,2.458380,2.717620,1.954695,2.994443,0.950996,-0.828692,0.198683
0.020000,2.517389,2.729846,2.014957,3.013123,0.933968,-0.851411,0.209616
0.020000,2.576630,2.742744,2.075586,3.031429,0.915295,-0.933618,0.218824
0.020000,2.636109,2.756213,2.136571,3.049287,0.892896,-1.119953,0.226277
0.020000,2.695837,2.770152,2.197904,3.066618,0.866583,-1.315693,0.231936
0.020000,2.755822,2.784450,2.259570,3.083294,0.833791,-1.639556,0.235755
0.020000,2.816075,2.798996,2.321553,3.099171,0.793859,-1.996624,0.237678
0.020000,2.876603,2.813669,2.383835,3.114076,0.745263,-2.429812,0.237636
