dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.540383,3.241590,0.000213,0.021333,1.066667,53.333333,6.227558
0.020000,0.540354,3.241591,0.000242,0.001433,-0.995036,-103.085118,6.227660
0.020000,0.541773,3.241513,0.001663,0.071065,3.481606,223.832090,6.227862
0.020000,0.544244,3.241376,0.004138,0.123720,2.632743,-42.443171,6.228165
0.020000,0.547539,3.241195,0.007437,0.164980,2.063012,-28.486530,6.228568
0.020000,0.551658,3.240971,0.011562,0.206257,2.063882,0.043512,6.229068
0.020000,0.556602,3.240705,0.016514,0.247557,2.064977,0.054720,6.229666
0.020000,0.562371,3.240398,0.022291,0.288883,2.066289,0.065611,6.230359
0.020000,0.568967,3.240052,0.028896,0.330239,2.067814,0.076254,6.231144
0.020000,0.576390,3.239668,0.036329,0.371630,2.069569,0.087735,6.232019
0.020000,0.584640,3.239250,0.044590,0.413061,2.071538,0.098471,6.232982
0.020000,0.593720,3.238798,0.053681,0.454536,2.073728,0.109510,6.234030
0.020000,0.603629,3.238316,0.063602,0.496059,2.076142,0.120693,6.235158
0.020000,0.614370,3.237807,0.074354,0.537634,2.078776,0.131665,6.236363
0.020000,0.625943,3.237272,0.085940,0.579267,2.081635,0.142951,6.237642
0.020000,0.638350,3.236715,0.098359,0.620961,2.084712,0.153850,6.238990
0.020000,0.651591,3.236139,0.111613,0.662721,2.088015,0.165162,6.240401
0.020000,0.665670,3.235546,0.125704,0.704552,2.091540,0.176261,6.241872
0.020000,0.680587,3.234941,0.140634,0.746458,2.095291,0.187530,6.243397
0.020000,0.696344,3.234326,0.156402,0.788443,2.099263,0.198606,6.244970
0.020000,0.712942,3.233705,0.173013,0.830512,2.103459,0.209799,6.246585
0.020000,0.730385,3.233081,0.190466,0.872670,2.107880,0.221064,6.248236
0.020000,0.748672,3.232457,0.208765,0.914920,2.112524,0.232189,6.249917
0.020000,0.767808,3.231837,0.227910,0.957268,2.117393,0.243468,6.251620
0.020000,0.787793,3.231223,0.247904,0.999718,2.122483,0.254514,6.253339
0.020000,0.808629,3.230619,0.268750,1.042274,2.127799,0.265757,6.255065
0.020000,0.830320,3.230028,0.290449,1.084941,2.133335,0.276809,6.256792
0.020000,0.852867,3.229452,0.313003,1.127723,2.139094,0.287979,6.258510
0.020000,0.876273,3.228894,0.336415,1.170624,2.145075,0.299040,6.260212
0.020000,0.900540,3.228357,0.360688,1.213650,2.151277,0.310107,6.261888
0.020000,0.925671,3.227843,0.385825,1.256804,2.157700,0.321132,6.263530
0.020000,0.951668,3.227353,0.411826,1.300090,2.164342,0.332128,6.265127
0.020000,0.978534,3.226888,0.438697,1.343515,2.171205,0.343118,6.266672
0.020000,1.006273,3.226451,0.466438,1.387080,2.178286,0.354077,6.268152
0.020000,1.034886,3.226041,0.495054,1.430792,2.185586,0.365006,6.269559
0.020000,1.064376,3.225659,0.524547,1.474654,2.193105,0.375953,6.270881
0.020000,1.094747,3.225305,0.554921,1.518671,2.200843,0.386865,6.272108
0.020000,1.126003,3.224976,0.586178,1.562847,2.208799,0.397792,6.273227
0.020000,1.158145,3.224673,0.618321,1.607186,2.216973,0.408729,6.274229
0.020000,1.191178,3.224392,0.651355,1.651694,2.225367,0.419678,6.275100
0.020000,1.225104,3.224130,0.685283,1.696373,2.233980,0.430670,6.275828
