dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.524672,2.959452,0.000213,0.021333,1.066667,53.333333,6.227558
0.020000,0.524672,2.959452,0.001067,0.064000,2.133333,53.333333,6.227660
0.020000,0.526149,2.959370,0.002773,0.106667,2.133333,0.000000,6.227862
0.020000,0.528705,2.959229,0.005333,0.149333,2.133333,0.000000,6.228165
0.020000,0.532113,2.959042,0.008747,0.192000,2.133333,-0.000000,6.228568
0.020000,0.536373,2.958810,0.013013,0.234667,2.133333,0.000000,6.229068
0.020000,0.541486,2.958534,0.018133,0.277333,2.133333,0.000000,6.229666
0.020000,0.547451,2.958217,0.024107,0.320000,2.133333,0.000000,6.230359
0.020000,0.554268,2.957859,0.030933,0.362667,2.133333,-0.000000,6.231144
0.020000,0.561938,2.957463,0.038613,0.405333,2.133333,0.000000,6.232019
0.020000,0.570460,2.957031,0.047147,0.448000,2.133333,0.000000,6.232982
0.020000,0.579835,2.956565,0.056533,0.490667,2.133333,-0.000000,6.234030
0.020000,0.590063,2.956067,0.066773,0.533333,2.133333,0.000000,6.235158
0.020000,0.601144,2.955541,0.077867,0.576000,2.133333,-0.000000,6.236363
0.020000,0.613078,2.954990,0.089813,0.618667,2.133333,0.000000,6.237642
0.020000,0.625865,2.954416,0.102613,0.661333,2.133333,-0.000000,6.238990
0.020000,0.639505,2.953822,0.116267,0.704000,2.133333,0.000000,6.240401
0.020000,0.653999,2.953212,0.130773,0.746667,2.133333,-0.000000,6.241872
0.020000,0.669347,2.952590,0.146133,0.789333,2.133333,0.000000,6.243397
0.020000,0.685548,2.951958,0.162347,0.832000,2.133333,-0.000000,6.244970
0.020000,0.702602,2.951319,0.179413,0.874667,2.133333,0.000000,6.246585
0.020000,0.720511,2.950678,0.197333,0.917333,2.133333,0.000000,6.248236
0.020000,0.739273,2.950038,0.216107,0.960000,2.133333,-0.000000,6.249917
0.020000,0.758890,2.949402,0.235733,1.002667,2.133333,0.000000,6.251620
0.020000,0.779360,2.948774,0.256213,1.045333,2.133333,-0.000000,6.253339
0.020000,0.800684,2.948156,0.277547,1.088000,2.133333,0.000000,6.255065
0.020000,0.822863,2.947551,0.299733,1.130667,2.133333,0.000000,6.256792
0.020000,0.845895,2.946963,0.322773,1.173333,2.133333,0.000000,6.258510
0.020000,0.869782,2.946394,0.346667,1.216000,2.133333,0.000000,6.260212
0.020000,0.894523,2.945846,0.371413,1.258667,2.133333,-0.000000,6.261888
0.020000,0.920117,2.945322,0.397013,1.301333,2.133333,0.000000,6.263530
0.020000,0.946566,2.944824,0.423467,1.344000,2.133333,-0.000000,6.265127
0.020000,0.973868,2.944352,0.450773,1.386667,2.133333,0.000000,6.266672
0.020000,1.002025,2.943908,0.478933,1.429333,2.133333,0.000000,6.268152
0.020000,1.031035,2.943493,0.507947,1.472000,2.133333,0.000000,6.269559
0.020000,1.060899,2.943106,0.537813,1.514667,2.133333,-0.000000,6.270881
0.020000,1.091617,2.942747,0.568533,1.557333,2.133333,0.000000,6.272108
0.020000,1.123189,2.942415,0.600107,1.600000,2.133333,0.000000,6.273227
0.020000,1.155614,2.942109,0.632533,1.642667,2.133333,0.000000,6.274229
0.020000,1.188893,2.941826,0.665813,1.685333,2.133333,0.000000,6.275100
0.020000,1.223025,2.941563,0.699947,1.728000,2.133333,0.000000,6.275828
0.020000,1.258011,2.941316,0.734933,1.770667,2.133333,-0.000000,6.276402
0.020000,1.293850,2.941081,0.770773,1.813333,2.133333,0.000000,6.276807
0.020000,1.330543,2.940851,0.807467,1.856000,2.133333,-0.000000,6.277032
0.020000,1.368089,2.940622,0.845013,1.898667,2.133333,0.000000,6.277063
0.020000,1.406488,2.940384,0.883413,1.941333,2.133333,-0.000000,6.276885
0.020000,1.445741,2.940129,0.922667,1.984000,2.133333,-0.000000,6.276485
0.020000,1.485846,2.939849,0.962773,2.026667,2.133333,0.000000,6.275849
0.020000,1.526805,2.939531,1.003733,2.069333,2.133333,-0.000000,6.274961
0.020000,1.568617,2.939164,1.045547,2.112000,2.133333,0.000000,6.273807
0.020000,1.611281,2.938734,1.088213,2.154667,2.133333,0.000000,6.272371
0.020000,1.654798,2.938226,1.131733,2.197333,2.133333,-0.000000,6.270637
0.020000,1.699168,2.937625,1.176107,2.240000,2.133333,0.000000,6.268591
0.020000,1.744389,2.936913,1.221333,2.282667,2.133333,0.000000,6.266214
0.020000,1.790461,2.936069,1.267413,2.325333,2.133333,-0.000000,6.263491
0.020000,1.834340,2.935162,1.314347,2.368000,2.133333,0.000000,6.263021
0.020000,1.882119,2.934291,1.362133,2.410667,2.133333,0.000000,6.266862
0.020000,1.930754,2.933588,1.410773,2.453333,2.133333,0.000000,6.270562
0.020000,1.980244,2.933052,1.460267,2.496000,2.133333,0.000000,6.274109
0.020000,2.030590,2.932681,1.510613,2.538667,2.133333,-0.000000,6.277493
0.020000,2.081789,2.932473,1.561813,2.581333,2.133333,0.000000,6.280702
0.020000,2.133843,2.932423,1.613867,2.624000,2.133333,0.000000,0.000539
0.020000,2.186749,2.932527,1.666773,2.666667,2.133333,0.000000,0.003363
