dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.508962,2.677314,0.000213,0.021333,1.066667,53.333333,6.227558
0.020000,0.508990,2.677312,0.000242,0.001433,-0.995036,-103.085118,6.227660
0.020000,0.510524,2.677227,0.001778,0.076786,3.767693,238.136444,6.227862
0.020000,0.513165,2.677081,0.004423,0.132280,2.774696,-49.649878,6.228165
0.020000,0.516687,2.676888,0.007950,0.176354,2.203656,-28.551970,6.228568
0.020000,0.521089,2.676648,0.012359,0.220409,2.202780,-0.043794,6.229068
0.020000,0.526370,2.676364,0.017647,0.264443,2.201691,-0.054444,6.229666
0.020000,0.532530,2.676036,0.023816,0.308451,2.200382,-0.065469,6.230359
0.020000,0.539569,2.675667,0.030865,0.352428,2.198846,-0.076797,6.231144
0.020000,0.547486,2.675258,0.038792,0.396370,2.197101,-0.087275,6.232019
0.020000,0.556280,2.674812,0.047598,0.440272,2.195129,-0.098594,6.232982
0.020000,0.565951,2.674331,0.057280,0.484131,2.192936,-0.109637,6.234030
0.020000,0.576497,2.673818,0.067839,0.527941,2.190524,-0.120577,6.235158
0.020000,0.587918,2.673276,0.079273,0.571699,2.187889,-0.131790,6.236363
0.020000,0.600213,2.672708,0.091581,0.615400,2.185034,-0.142715,6.237642
0.020000,0.613380,2.672117,0.104762,0.659039,2.181953,-0.154093,6.238990
0.020000,0.627419,2.671506,0.118814,0.702612,2.178651,-0.165070,6.240401
0.020000,0.642329,2.670878,0.133737,0.746114,2.175125,-0.176306,6.241872
0.020000,0.658106,2.670238,0.149527,0.789542,2.171377,-0.187388,6.243397
0.020000,0.674752,2.669589,0.166185,0.832890,2.167403,-0.198691,6.244970
0.020000,0.692262,2.668934,0.183708,0.876154,2.163206,-0.209881,6.246585
0.020000,0.710637,2.668276,0.202095,0.919330,2.158786,-0.220995,6.248236
0.020000,0.729874,2.667620,0.221343,0.962413,2.154141,-0.232250,6.249917
0.020000,0.749972,2.666968,0.241451,1.005398,2.149274,-0.243326,6.251620
0.020000,0.770927,2.666324,0.262417,1.048282,2.144182,-0.254621,6.253339
0.020000,0.792739,2.665692,0.284238,1.091059,2.138868,-0.265675,6.255065
0.020000,0.815406,2.665074,0.306912,1.133726,2.133331,-0.276888,6.256792
0.020000,0.838923,2.664474,0.330438,1.176277,2.127572,-0.287933,6.258510
0.020000,0.863291,2.663893,0.354812,1.218709,2.121591,-0.299039,6.260212
0.020000,0.888505,2.663335,0.380032,1.261017,2.115390,-0.310086,6.261888
0.020000,0.914563,2.662802,0.406096,1.303196,2.108967,-0.321121,6.263530
0.020000,0.941463,2.662295,0.433001,1.345243,2.102324,-0.332133,6.265127
0.020000,0.969202,2.661816,0.460744,1.387152,2.095462,-0.343102,6.266672
0.020000,0.997777,2.661365,0.489323,1.428919,2.088381,-0.354060,6.268152
0.020000,1.027185,2.660944,0.518733,1.470541,2.081081,-0.365014,6.269559
0.020000,1.057423,2.660552,0.548974,1.512012,2.073562,-0.375925,6.270881
0.020000,1.088487,2.660189,0.580040,1.553329,2.065825,-0.386862,6.272108
0.020000,1.120375,2.659854,0.611930,1.594486,2.057869,-0.397787,6.273227
0.020000,1.153083,2.659545,0.644640,1.635480,2.049695,-0.408723,6.274229
0.020000,1.186608,2.659260,0.678166,1.676306,2.041301,-0.419683,6.275100
0.020000,1.220946,2.658995,0.712505,1.716960,2.032688,-0.430655,6.275828
0.020000,1.256094,2.658747,0.747654,1.757437,2.023854,-0.441691,6.276402
