dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.447406,5.539137,0.000213,0.021333,1.066667,53.333333,0.017855
0.020000,0.447385,5.539137,0.000235,0.001059,-1.013726,-104.019614,0.017930
0.020000,0.448336,5.539154,0.001186,0.047552,2.324650,166.918794,0.018080
0.020000,0.450832,5.539199,0.003682,0.124826,3.863709,76.952952,0.018305
0.020000,0.454160,5.539261,0.007011,0.166438,2.080592,-89.155855,0.018604
0.020000,0.458321,5.539339,0.011172,0.208052,2.080715,0.006130,0.018978
0.020000,0.463313,5.539435,0.016165,0.249670,2.080870,0.007749,0.019426
0.020000,0.469138,5.539549,0.021991,0.291291,2.081071,0.010046,0.019948
0.020000,0.475795,5.539684,0.028649,0.332917,2.081290,0.010987,0.020544
0.020000,0.483284,5.539841,0.036140,0.374548,2.081551,0.013018,0.021213
0.020000,0.491606,5.540020,0.044464,0.416185,2.081843,0.014628,0.021955
0.020000,0.500760,5.540225,0.053621,0.457828,2.082164,0.016021,0.022769
0.020000,0.510747,5.540457,0.063610,0.499478,2.082526,0.018118,0.023655
0.020000,0.521567,5.540718,0.074433,0.541137,2.082911,0.019246,0.024613
0.020000,0.533219,5.541011,0.086089,0.582803,2.083341,0.021476,0.025641
0.020000,0.545704,5.541338,0.098579,0.624479,2.083794,0.022684,0.026740
0.020000,0.559023,5.541702,0.111902,0.666165,2.084289,0.024724,0.027908
0.020000,0.573174,5.542106,0.126059,0.707861,2.084815,0.026319,0.029144
0.020000,0.588159,5.542552,0.141050,0.749569,2.085373,0.027889,0.030449
0.020000,0.603977,5.543045,0.156876,0.791288,2.085976,0.030130,0.031820
0.020000,0.620629,5.543587,0.173537,0.833020,2.086601,0.031262,0.033258
0.020000,0.638114,5.544182,0.191032,0.874766,2.087269,0.033436,0.034761
0.020000,0.656433,5.544833,0.209362,0.916525,2.087975,0.035300,0.036328
0.020000,0.675585,5.545545,0.228528,0.958299,2.088707,0.036583,0.037958
0.020000,0.695572,5.546321,0.248530,1.000089,2.089481,0.038710,0.039651
0.020000,0.716393,5.547165,0.269368,1.041895,2.090299,0.040860,0.041404
0.020000,0.738048,5.548082,0.291043,1.083718,2.091146,0.042362,0.043217
0.020000,0.760537,5.549076,0.313554,1.125558,2.092025,0.043945,0.045088
