dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.457497,4.974077,0.000213,0.021333,1.066667,53.333333,0.017855
0.020000,0.457518,4.974077,0.000235,0.001059,-1.013726,-104.019614,0.017930
0.020000,0.458554,4.974096,0.001270,0.051786,2.536349,177.503752,0.018080
0.020000,0.461177,4.974144,0.003894,0.131174,3.969398,71.652408,0.018305
0.020000,0.464674,4.974208,0.007392,0.174896,2.186089,-89.165425,0.018604
0.020000,0.469045,4.974291,0.011764,0.218615,2.185955,-0.006729,0.018978
0.020000,0.474291,4.974391,0.017011,0.262330,2.185788,-0.008337,0.019426
0.020000,0.480411,4.974512,0.023131,0.306042,2.185603,-0.009243,0.019948
0.020000,0.487404,4.974653,0.030126,0.349750,2.185371,-0.011587,0.020544
0.020000,0.495272,4.974818,0.037995,0.393452,2.185115,-0.012800,0.021213
0.020000,0.504013,4.975006,0.046738,0.437149,2.184826,-0.014472,0.021955
0.020000,0.513627,4.975221,0.056355,0.480839,2.184498,-0.016391,0.022769
0.020000,0.524115,4.975465,0.066846,0.524522,2.184146,-0.017590,0.023655
0.020000,0.535475,4.975739,0.078210,0.568197,2.183749,-0.019829,0.024613
0.020000,0.547709,4.976047,0.090447,0.611863,2.183331,-0.020934,0.025641
0.020000,0.560814,4.976390,0.103557,0.655521,2.182868,-0.023135,0.026740
0.020000,0.574793,4.976772,0.117541,0.699168,2.182378,-0.024489,0.027908
0.020000,0.589643,4.977196,0.132397,0.742805,2.181852,-0.026334,0.029144
0.020000,0.605364,4.977664,0.148125,0.786431,2.181287,-0.028234,0.030449
0.020000,0.621957,4.978181,0.164726,0.830045,2.180698,-0.029457,0.031820
0.020000,0.639421,4.978749,0.182199,0.873646,2.180060,-0.031871,0.033258
0.020000,0.657755,4.979373,0.200544,0.917234,2.179396,-0.033220,0.034761
0.020000,0.676959,4.980056,0.219760,0.960808,2.178698,-0.034921,0.036328
0.020000,0.697032,4.980802,0.239847,1.004367,2.177952,-0.037259,0.037958
0.020000,0.717975,4.981615,0.260805,1.047911,2.177178,-0.038739,0.039651
0.020000,0.739786,4.982500,0.282634,1.091438,2.176373,-0.040222,0.041404
0.020000,0.762464,4.983460,0.305333,1.134948,2.175525,-0.042409,0.043217
0.020000,0.786010,4.984500,0.328902,1.178441,2.174634,-0.044535,0.045088
0.020000,0.810423,4.985625,0.353340,1.221915,2.173713,-0.046050,0.047017
0.020000,0.835701,4.986840,0.378648,1.265371,2.172759,-0.047706,0.049001
0.020000,0.861844,4.988149,0.404824,1.308806,2.171759,-0.049996,0.051040
0.020000,0.888852,4.989557,0.431868,1.352220,2.170723,-0.051796,0.053132
0.020000,0.916723,4.991069,0.459781,1.395613,2.169654,-0.053461,0.055275
0.020000,0.945457,4.992690,0.488560,1.438984,2.168540,-0.055698,0.057468
0.020000,0.975053,4.994426,0.518207,1.482332,2.167393,-0.057358,0.059709
0.020000,1.005510,4.996282,0.548720,1.525656,2.166206,-0.059329,0.061997
0.020000,1.036826,4.998263,0.580099,1.568956,2.164980,-0.061316,0.064330
0.020000,1.069002,5.000374,0.612344,1.612230,2.163719,-0.063078,0.066705
0.020000,1.102035,5.002621,0.645453,1.655478,2.162415,-0.065183,0.069122
0.020000,1.135925,5.005009,0.679427,1.698700,2.161077,-0.066899,0.071578
0.020000,1.170670,5.007544,0.714265,1.741894,2.159697,-0.068980,0.074071
0.020000,1.206270,5.010231,0.749966,1.785060,2.158282,-0.070743,0.076600
0.020000,1.242723,5.013076,0.786530,1.828196,2.156828,-0.072730,0.079162
0.020000,1.280028,5.016084,0.823956,1.871303,2.155337,-0.074562,0.081755
0.020000,1.318184,5.019261,0.862244,1.914379,2.153808,-0.076453,0.084377
0.020000,1.357189,5.022612,0.901392,1.957424,2.152241,-0.078309,0.087026
0.020000,1.397041,5.026143,0.941401,2.000437,2.150638,-0.080170,0.089699
0.020000,1.437740,5.029859,0.982269,2.043417,2.148998,-0.081988,0.092395
0.020000,1.479284,5.033765,1.023997,2.086363,2.147322,-0.083799,0.095110
0.020000,1.521672,5.037867,1.066582,2.129275,2.145610,-0.085629,0.097843
0.020000,1.564901,5.042171,1.110025,2.172152,2.143863,-0.087348,0.100590
0.020000,1.608971,5.046680,1.154325,2.214994,2.142081,-0.089110,0.103350
0.020000,1.653879,5.051401,1.199481,2.257799,2.140262,-0.090931,0.106120
0.020000,1.699625,5.056338,1.245492,2.300568,2.138411,-0.092568,0.108897
0.020000,1.746206,5.061497,1.292358,2.343298,2.136527,-0.094192,0.111678
0.020000,1.793621,5.066881,1.340078,2.385990,2.134607,-0.095967,0.114462
0.020000,1.841869,5.072496,1.388651,2.428643,2.132657,-0.097532,0.117244
0.020000,1.890946,5.078346,1.438076,2.471257,2.130675,-0.099064,0.120022
0.020000,1.940853,5.084435,1.488353,2.513830,2.128657,-0.100937,0.122794
0.020000,1.991586,5.090768,1.539480,2.556362,2.126615,-0.102092,0.125557
0.020000,2.043145,5.097348,1.591457,2.598853,2.124537,-0.103895,0.128307
0.020000,2.095528,5.104179,1.644283,2.641302,2.122430,-0.105350,0.131041
0.020000,2.148732,5.111265,1.697957,2.683708,2.120297,-0.106632,0.133757
0.020000,2.202757,5.118609,1.752479,2.726070,2.118129,-0.108441,0.136452
0.020000,2.257600,5.126214,1.807847,2.768389,2.115939,-0.109465,0.139122
0.020000,2.312325,5.134043,1.863129,2.764127,-0.213105,-116.452234,0.145244
0.020000,2.369829,5.142645,1.921272,2.907168,7.152039,368.257216,0.151697
0.020000,2.428066,5.151736,1.980215,2.947119,1.997553,-257.724291,0.157958
0.020000,2.487030,5.161312,2.039952,2.986862,1.987181,-0.518616,0.164011
0.020000,2.546717,5.171371,2.100480,3.026397,1.976748,-0.521636,0.169844
0.020000,2.607119,5.181905,2.161794,3.065722,1.966261,-0.524329,0.175439
0.020000,2.668233,5.192909,2.223891,3.104837,1.955734,-0.526386,0.180784
0.020000,2.730054,5.204372,2.286766,3.143740,1.945154,-0.528977,0.185861
0.020000,2.792578,5.216286,2.350415,3.182431,1.934531,-0.531174,0.190658
0.020000,2.855801,5.228638,2.414833,3.220908,1.923856,-0.533716,0.195158
0.020000,2.919507,5.241371,2.479799,3.248315,1.370372,-27.674202,0.199332
0.020000,2.983271,5.254381,2.544877,3.253886,0.278522,-54.592527,0.203146
0.020000,3.046884,5.267600,2.609848,3.248581,-0.265226,-27.187412,0.206585
0.020000,3.110349,5.281005,2.674714,3.243276,-0.265273,-0.002340,0.209648
0.020000,3.173672,5.294569,2.739473,3.237970,-0.265274,-0.000014,0.212336
0.020000,3.236857,5.308270,2.804127,3.232666,-0.265240,0.001659,0.214648
0.020000,3.299909,5.322081,2.868674,3.227362,-0.265189,0.002590,0.216584
0.020000,3.362834,5.335980,2.933115,3.222059,-0.265127,0.003078,0.218146
0.020000,3.425635,5.349943,2.997450,3.216758,-0.265067,0.002993,0.219332
0.020000,3.488320,5.363945,3.061679,3.211458,-0.265014,0.002639,0.220143
0.020000,3.550892,5.377963,3.125802,3.206158,-0.264976,0.001913,0.220579
0.020000,3.613357,5.391974,3.189820,3.200859,-0.264955,0.001062,0.220639
0.020000,3.675721,5.405953,3.253731,3.195560,-0.264954,0.000067,0.220325
0.020000,3.737988,5.419878,3.317536,3.190260,-0.264972,-0.000937,0.219636
0.020000,3.800164,5.433725,3.381235,3.184960,-0.265009,-0.001831,0.218571
0.020000,3.862253,5.447472,3.444828,3.179659,-0.265062,-0.002640,0.217132
0.020000,3.924262,5.461094,3.508316,3.174357,-0.265123,-0.003074,0.215317
0.020000,3.986194,5.474570,3.571697,3.169053,-0.265190,-0.003322,0.213126
0.020000,4.048054,5.487877,3.634972,3.163748,-0.265249,-0.002953,0.210561
0.020000,4.109846,5.500991,3.698140,3.158442,-0.265294,-0.002257,0.207619
0.020000,4.168313,5.513143,3.757857,2.985822,-8.631009,-418.285774,0.196322
0.020000,4.223264,5.523240,3.813727,2.793526,-9.614783,-49.188705,0.167560
0.020000,4.279131,5.531920,3.870265,2.826863,1.666839,564.081097,0.141156
0.020000,4.335892,5.539280,3.927501,2.861812,1.747444,4.030267,0.117224
0.020000,4.393522,5.545430,3.985459,2.897894,1.804126,2.834120,0.095846
0.020000,4.451999,5.550484,4.044153,2.934714,1.840979,1.842652,0.077073
0.020000,4.511297,5.554568,4.103592,2.971960,1.862302,1.066145,0.060935
0.020000,4.571398,5.557814,4.163780,3.009405,1.872244,0.497075,0.047446
0.020000,4.632283,5.560360,4.224718,3.046896,1.874562,0.115933,0.036611
0.020000,4.693937,5.562352,4.286405,3.084345,1.872459,-0.105168,0.028426
0.020000,4.756351,5.563939,4.348839,3.121716,1.868521,-0.196920,0.022885
0.020000,4.819517,5.565280,4.412020,3.159009,1.864693,-0.191380,0.019984
0.020000,4.883430,5.566534,4.475945,3.196255,1.862283,-0.120493,0.019719
0.020000,4.948086,5.567872,4.540615,3.233494,1.861966,-0.015874,0.022090
0.020000,5.013482,5.569467,4.606030,3.270770,1.863804,0.091908,0.027099
0.020000,5.079613,5.571498,4.672192,3.308115,1.867243,0.171974,0.034752
0.020000,5.146471,5.574154,4.739103,3.345538,1.871108,0.193221,0.045054
0.020000,5.205450,5.576931,4.798147,2.952193,-19.667240,-1076.917407,0.034138
0.020000,5.256218,5.577447,4.848918,2.538537,-20.682802,-50.778066,6.270523
0.020000,5.308539,5.575676,4.901268,2.617530,3.949677,1231.623957,6.229311
0.020000,5.362336,5.571783,4.955206,2.696906,3.968805,0.956361,6.193713
0.020000,5.417529,5.565965,5.010705,2.774944,3.901862,-3.347116,6.163636
0.020000,5.474044,5.558438,5.067719,2.850697,3.787676,-5.709317,6.138918
0.020000,5.531824,5.549439,5.126196,2.923827,3.656510,-6.558284,6.119374
0.020000,5.590834,5.539217,5.186085,2.994447,3.530994,-6.275810,6.104828
0.020000,5.651063,5.528032,5.247344,3.062956,3.425465,-5.276442,6.095129
0.020000,5.712525,5.516152,5.309943,3.129955,3.349936,-3.776473,6.090171
0.020000,5.775254,5.503857,5.373866,3.196147,3.309604,-2.016592,6.089899
0.020000,5.839308,5.491441,5.439112,3.262288,3.307058,-0.127275,6.094308
0.020000,5.904758,5.479214,5.505694,3.329137,3.342443,1.769207,6.103448
0.020000,5.971691,5.467508,5.573643,3.397409,3.413603,3.558014,6.117422
0.020000,6.040195,5.456687,5.642997,3.467711,3.515066,5.073148,6.136374
0.020000,6.110359,5.447145,5.713806,3.540479,3.638418,6.167603,6.160478
0.020000,6.182252,5.439323,5.786124,3.615855,3.768795,6.518871,6.189921
