dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.076876,7.889718,0.000213,0.021333,1.066667,53.333333,6.256996
0.020000,0.076926,7.889717,0.000263,0.002496,-0.941878,-100.427237,6.256819
0.020000,0.077026,7.889715,0.000363,0.004989,0.124645,53.326148,6.256466
0.020000,0.078279,7.889681,0.001617,0.062678,2.884457,137.990594,6.255937
0.020000,0.081890,7.889581,0.005229,0.180620,5.897114,150.632850,6.255232
0.020000,0.086403,7.889453,0.009744,0.225757,2.256839,-182.013756,6.254353
0.020000,0.091819,7.889294,0.015162,0.270880,2.256147,-0.034581,6.253300
0.020000,0.098135,7.889101,0.021481,0.315983,2.255168,-0.048970,6.252074
0.020000,0.105353,7.888871,0.028703,0.361069,2.254283,-0.044244,6.250677
0.020000,0.113471,7.888601,0.036825,0.406131,2.253110,-0.058620,6.249111
0.020000,0.122489,7.888286,0.045849,0.451171,2.251984,-0.056310,6.247377
0.020000,0.132406,7.887921,0.055772,0.496182,2.250561,-0.071149,6.245476
0.020000,0.143221,7.887502,0.066596,0.541159,2.248852,-0.085477,6.243412
0.020000,0.154933,7.887023,0.078318,0.586105,2.247324,-0.076362,6.241187
0.020000,0.167542,7.886478,0.090938,0.631011,2.245291,-0.101666,6.238804
0.020000,0.181045,7.885861,0.104456,0.675879,2.243366,-0.096247,6.236264
0.020000,0.195443,7.885165,0.118870,0.720701,2.241142,-0.111187,6.233572
0.020000,0.210732,7.884384,0.134179,0.765474,2.238635,-0.125364,6.230731
0.020000,0.226913,7.883511,0.150383,0.810202,2.236415,-0.110991,6.227744
0.020000,0.243982,7.882536,0.167480,0.854871,2.233405,-0.150504,6.224615
0.020000,0.261939,7.881454,0.185470,0.899482,2.230596,-0.140458,6.221349
0.020000,0.280782,7.880255,0.204351,0.944032,2.227492,-0.155225,6.217949
0.020000,0.300508,7.878931,0.224121,0.988518,2.224277,-0.160745,6.214421
0.020000,0.321115,7.877474,0.244780,1.032933,2.220780,-0.174820,6.210769
0.020000,0.342601,7.875875,0.266325,1.077278,2.217206,-0.178700,6.206998
0.020000,0.364964,7.874124,0.288756,1.121543,2.213273,-0.196678,6.203114
0.020000,0.388200,7.872213,0.312071,1.165729,2.209276,-0.199827,6.199122
0.020000,0.412307,7.870132,0.336267,1.209831,2.205117,-0.207953,6.195029
0.020000,0.437281,7.867871,0.361344,1.253842,2.200564,-0.227644,6.190841
0.020000,0.463121,7.865423,0.387299,1.297762,2.196000,-0.228219,6.186564
0.020000,0.489822,7.862776,0.414131,1.341586,2.191206,-0.239697,6.182205
0.020000,0.517380,7.859921,0.441837,1.385309,2.186155,-0.252526,6.177771
0.020000,0.545793,7.856850,0.470416,1.428927,2.180887,-0.263407,6.173270
0.020000,0.575057,7.853553,0.499865,1.472439,2.175587,-0.265025,6.168709
0.020000,0.605167,7.850020,0.530181,1.515837,2.169894,-0.284633,6.164096
0.020000,0.636120,7.846243,0.561364,1.559119,2.164105,-0.289434,6.159440
0.020000,0.667911,7.842213,0.593409,1.602281,2.158126,-0.298983,6.154748
0.020000,0.700537,7.837921,0.626316,1.645321,2.151976,-0.307506,6.150031
0.020000,0.733992,7.833359,0.660081,1.688233,2.145584,-0.319590,6.145296
0.020000,0.768272,7.828519,0.694701,1.731014,2.139065,-0.325947,6.140552
0.020000,0.803373,7.823392,0.730174,1.773661,2.132360,-0.335220,6.135810
0.020000,0.839290,7.817973,0.766497,1.816171,2.125480,-0.344018,6.131080
0.020000,0.876018,7.812254,0.803668,1.858540,2.118443,-0.351847,6.126370
0.020000,0.913553,7.806229,0.841684,1.900764,2.111246,-0.359857,6.121692
0.020000,0.951889,7.799892,0.880540,1.942842,2.103890,-0.367823,6.117055
0.020000,0.991023,7.793237,0.920236,1.984770,2.096380,-0.375465,6.112471
0.020000,1.030949,7.786261,0.960767,2.026545,2.088736,-0.382192,6.107949
0.020000,1.071662,7.778958,1.002130,2.068164,2.080968,-0.388411,6.103502
0.020000,1.113159,7.771327,1.044322,2.109624,2.073012,-0.397818,6.099141
0.020000,1.155434,7.763363,1.087341,2.150924,2.064975,-0.401825,6.094876
0.020000,1.198483,7.755066,1.131182,2.192060,2.056799,-0.408832,6.090719
0.020000,1.242301,7.746434,1.175843,2.233029,2.048452,-0.417322,6.086682
0.020000,1.286885,7.737467,1.221319,2.273830,2.040065,-0.419349,6.082778
0.020000,1.332230,7.728167,1.267608,2.314459,2.031461,-0.430206,6.079018
0.020000,1.378333,7.718533,1.314707,2.354915,2.022811,-0.432485,6.075414
0.020000,1.425189,7.708570,1.362611,2.395196,2.014004,-0.440392,6.071979
0.020000,1.472796,7.698281,1.411317,2.435297,2.005061,-0.447110,6.068726
0.020000,1.521150,7.687671,1.460821,2.475217,1.996003,-0.452936,6.065667
0.020000,1.570248,7.676745,1.511120,2.514953,1.986819,-0.459182,6.062816
0.020000,1.620087,7.665510,1.562210,2.554503,1.977499,-0.465986,6.060185
0.020000,1.670666,7.653976,1.614087,2.593864,1.968029,-0.473516,6.057788
