dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.069477,7.607240,0.000213,0.021333,1.066667,53.333333,6.256996
0.020000,0.069477,7.607240,0.001067,0.064000,2.133333,53.333333,6.256819
0.020000,0.069477,7.607240,0.002773,0.106667,2.133333,0.000000,6.256466
0.020000,0.070580,7.607210,0.005333,0.149333,2.133333,0.000000,6.255937
0.020000,0.073992,7.607116,0.008747,0.192000,2.133333,-0.000000,6.255232
0.020000,0.078257,7.606995,0.013013,0.234667,2.133333,0.000000,6.254353
0.020000,0.083375,7.606845,0.018133,0.277333,2.133333,0.000000,6.253300
0.020000,0.089345,7.606663,0.024107,0.320000,2.133333,0.000000,6.252074
0.020000,0.096169,7.606446,0.030933,0.362667,2.133333,-0.000000,6.250677
0.020000,0.103844,7.606190,0.038613,0.405333,2.133333,0.000000,6.249111
0.020000,0.112373,7.605892,0.047147,0.448000,2.133333,0.000000,6.247377
0.020000,0.121753,7.605547,0.056533,0.490667,2.133333,-0.000000,6.245476
0.020000,0.131985,7.605150,0.066773,0.533333,2.133333,0.000000,6.243412
0.020000,0.143069,7.604697,0.077867,0.576000,2.133333,-0.000000,6.241187
0.020000,0.155005,7.604181,0.089813,0.618667,2.133333,0.000000,6.238804
0.020000,0.167791,7.603597,0.102613,0.661333,2.133333,-0.000000,6.236264
0.020000,0.181429,7.602938,0.116267,0.704000,2.133333,0.000000,6.233572
0.020000,0.195917,7.602198,0.130773,0.746667,2.133333,-0.000000,6.230731
0.020000,0.211254,7.601370,0.146133,0.789333,2.133333,0.000000,6.227744
0.020000,0.227441,7.600446,0.162347,0.832000,2.133333,-0.000000,6.224615
0.020000,0.244477,7.599419,0.179413,0.874667,2.133333,0.000000,6.221349
0.020000,0.262361,7.598281,0.197333,0.917333,2.133333,0.000000,6.217949
0.020000,0.281092,7.597024,0.216107,0.960000,2.133333,-0.000000,6.214421
0.020000,0.300670,7.595640,0.235733,1.002667,2.133333,0.000000,6.210769
0.020000,0.321093,7.594120,0.256213,1.045333,2.133333,-0.000000,6.206998
0.020000,0.342361,7.592454,0.277547,1.088000,2.133333,0.000000,6.203114
0.020000,0.364473,7.590636,0.299733,1.130667,2.133333,0.000000,6.199122
0.020000,0.387428,7.588654,0.322773,1.173333,2.133333,0.000000,6.195029
0.020000,0.411224,7.586500,0.346667,1.216000,2.133333,0.000000,6.190841
0.020000,0.435860,7.584166,0.371413,1.258667,2.133333,-0.000000,6.186564
0.020000,0.461335,7.581640,0.397013,1.301333,2.133333,0.000000,6.182205
0.020000,0.487648,7.578915,0.423467,1.344000,2.133333,-0.000000,6.177771
0.020000,0.514797,7.575981,0.450773,1.386667,2.133333,0.000000,6.173270
0.020000,0.542779,7.572827,0.478933,1.429333,2.133333,0.000000,6.168709
0.020000,0.571595,7.569447,0.507947,1.472000,2.133333,0.000000,6.164096
0.020000,0.601242,7.565829,0.537813,1.514667,2.133333,-0.000000,6.159440
0.020000,0.631718,7.561966,0.568533,1.557333,2.133333,0.000000,6.154748
0.020000,0.663021,7.557847,0.600107,1.600000,2.133333,0.000000,6.150031
0.020000,0.695151,7.553466,0.632533,1.642667,2.133333,0.000000,6.145296
0.020000,0.728104,7.548813,0.665813,1.685333,2.133333,0.000000,6.140552
0.020000,0.761879,7.543881,0.699947,1.728000,2.133333,0.000000,6.135810
0.020000,0.796474,7.538661,0.734933,1.770667,2.133333,-0.000000,6.131080
0.020000,0.831887,7.533147,0.770773,1.813333,2.133333,0.000000,6.126370
0.020000,0.868117,7.527331,0.807467,1.856000,2.133333,-0.000000,6.121692
0.020000,0.905161,7.521207,0.845013,1.898667,2.133333,0.000000,6.117055
0.020000,0.943017,7.514770,0.883413,1.941333,2.133333,-0.000000,6.112471
0.020000,0.981684,7.508013,0.922667,1.984000,2.133333,-0.000000,6.107949
0.020000,1.021161,7.500933,0.962773,2.026667,2.133333,0.000000,6.103502
0.020000,1.061446,7.493524,1.003733,2.069333,2.133333,-0.000000,6.099141
0.020000,1.102536,7.485784,1.045547,2.112000,2.133333,0.000000,6.094876
0.020000,1.144432,7.477709,1.088213,2.154667,2.133333,0.000000,6.090719
0.020000,1.187131,7.469297,1.131733,2.197333,2.133333,-0.000000,6.086682
0.020000,1.230633,7.460548,1.176107,2.240000,2.133333,0.000000,6.082778
0.020000,1.274938,7.451461,1.221333,2.282667,2.133333,0.000000,6.079018
0.020000,1.320043,7.442036,1.267413,2.325333,2.133333,-0.000000,6.075414
0.020000,1.365950,7.432275,1.314347,2.368000,2.133333,0.000000,6.071979
0.020000,1.412659,7.422180,1.362133,2.410667,2.133333,0.000000,6.068726
0.020000,1.460168,7.411754,1.410773,2.453333,2.133333,0.000000,6.065667
0.020000,1.508480,7.401003,1.460267,2.496000,2.133333,0.000000,6.062816
0.020000,1.557594,7.389932,1.510613,2.538667,2.133333,-0.000000,6.060185
0.020000,1.607512,7.378548,1.561813,2.581333,2.133333,0.000000,6.057788
0.020000,1.658236,7.366859,1.613867,2.624000,2.133333,0.000000,6.055639
0.020000,1.709768,7.354874,1.666773,2.666667,2.133333,0.000000,6.053751
0.020000,1.762109,7.342604,1.720533,2.709333,2.133333,-0.000000,6.052139
0.020000,1.815262,7.330061,1.775147,2.752000,2.133333,0.000000,6.050816
0.020000,1.869231,7.317259,1.830613,2.794667,2.133333,-0.000000,6.049798
0.020000,1.924019,7.304213,1.886933,2.837333,2.133333,0.000000,6.049100
0.020000,1.979631,7.290940,1.944107,2.880000,2.133333,0.000000,6.048735
0.020000,2.036069,7.277458,2.002133,2.922667,2.133333,-0.000000,6.048721
0.020000,2.093340,7.263787,2.061013,2.965333,2.133333,0.000000,6.049072
0.020000,2.151449,7.249949,2.120747,3.008000,2.133333,-0.000000,6.049805
0.020000,2.210400,7.235969,2.181333,3.050667,2.133333,0.000000,6.050937
0.020000,2.270201,7.221872,2.242773,3.093333,2.133333,0.000000,6.052483
0.020000,2.330858,7.207686,2.305067,3.136000,2.133333,-0.000000,6.054462
0.020000,2.392377,7.193441,2.368213,3.178667,2.133333,0.000000,6.056891
0.020000,2.454557,7.179217,2.432000,3.200000,1.066667,-53.333333,6.059778
0.020000,2.516990,7.165139,2.496000,3.200000,0.000000,-53.333333,6.063112
0.020000,2.579472,7.151283,2.560000,3.200000,0.000000,0.000000,6.066886
0.020000,2.642009,7.137677,2.624000,3.200000,0.000000,0.000000,6.071101
0.020000,2.704605,7.124349,2.688000,3.200000,0.000000,0.000000,6.075757
0.020000,2.767266,7.111326,2.752000,3.200000,0.000000,0.000000,6.080855
0.020000,2.829996,7.098636,2.816000,3.200000,0.000000,0.000000,6.086397
0.020000,2.892797,7.086308,2.880000,3.200000,0.000000,0.000000,6.092382
0.020000,2.955674,7.074371,2.944000,3.200000,0.000000,0.000000,6.098811
0.020000,3.018628,7.062852,3.008000,3.200000,0.000000,0.000000,6.105684
0.020000,3.081663,7.051779,3.072000,3.200000,0.000000,0.000000,6.113001
0.020000,3.144780,7.041182,3.136000,3.200000,0.000000,0.000000,6.120762
0.020000,3.207979,7.031090,3.200000,3.200000,0.000000,0.000000,6.128964
0.020000,3.271260,7.021530,3.264000,3.200000,0.000000,0.000000,6.137608
0.020000,3.334624,7.012531,3.328000,3.200000,0.000000,0.000000,6.146690
0.020000,3.398069,7.004122,3.392000,3.200000,0.000000,0.000000,6.156209
0.020000,3.461593,6.996331,3.456000,3.200000,0.000000,0.000000,6.166159
0.020000,3.525193,6.989186,3.520000,3.200000,0.000000,0.000000,6.176538
0.020000,3.588864,6.982715,3.584000,3.200000,0.000000,0.000000,6.187339
0.020000,3.652603,6.976946,3.648000,3.200000,0.000000,0.000000,6.198556
0.020000,3.716404,6.971905,3.712000,3.200000,0.000000,0.000000,6.210183
0.020000,3.780260,6.967619,3.776000,3.200000,0.000000,0.000000,6.222210
0.020000,3.844164,6.964113,3.840000,3.200000,0.000000,0.000000,6.234628
0.020000,3.908106,6.961414,3.904000,3.200000,0.000000,0.000000,6.247426
0.020000,3.972078,6.959545,3.968000,3.200000,0.000000,0.000000,6.260593
0.020000,4.036070,6.958530,4.032000,3.200000,0.000000,0.000000,6.274114
0.020000,4.100069,6.958391,4.096000,3.200000,0.000000,0.000000,0.004789
0.020000,4.164064,6.959150,4.160000,3.200000,0.000000,0.000000,0.018974
0.020000,4.226436,6.960439,4.224000,3.200000,0.000000,0.000000,6.262448
0.020000,4.289710,6.951723,4.288000,3.200000,0.000000,0.000000,6.043165
0.020000,4.350388,6.931623,4.351980,3.198004,-0.099825,-4.991229,5.893201
0.020000,4.407911,6.904260,4.415707,3.174674,-1.166491,-53.333333,5.791467
0.020000,4.462349,6.872444,4.478774,3.132007,-2.133333,-48.342104,5.721094
0.020000,4.514097,6.837920,4.540987,3.089340,-2.133333,-0.000000,5.671262
0.020000,4.563647,6.801733,4.602347,3.046674,-2.133333,0.000000,5.635395
0.020000,4.611393,6.764569,4.662854,3.004007,-2.133333,0.000000,5.609528
0.020000,4.657652,6.726904,4.722508,2.961340,-2.133333,-0.000000,5.591200
0.020000,4.702677,6.689088,4.781308,2.918674,-2.133333,0.000000,5.578845
0.020000,4.746682,6.651386,4.839254,2.876007,-2.133333,0.000000,5.571463
0.020000,4.789846,6.614016,4.896348,2.833340,-2.133333,-0.000000,5.568433
0.020000,4.832328,6.577161,4.952588,2.790674,-2.133333,0.000000,5.569406
0.020000,4.874270,6.540987,5.007975,2.748007,-2.133333,0.000000,5.574252
0.020000,4.915807,6.505653,5.062508,2.705340,-2.133333,-0.000000,5.583030
0.020000,4.957069,6.471316,5.116188,2.662674,-2.133333,0.000000,5.595990
0.020000,4.998184,6.438147,5.169015,2.620007,-2.133333,-0.000000,5.613598
0.020000,5.039286,6.406339,5.220989,2.577340,-2.133333,0.000000,5.636581
0.020000,5.080515,6.376119,5.272109,2.534674,-2.133333,0.000000,5.666013
0.020000,5.122020,6.347768,5.322376,2.492007,-2.133333,-0.000000,5.703449
0.020000,5.163963,6.321651,5.371789,2.449340,-2.133333,0.000000,5.751129
0.020000,5.206504,6.298252,5.420349,2.406674,-2.133333,-0.000000,5.812265
0.020000,5.249794,6.278231,5.468056,2.364007,-2.133333,0.000000,5.891416
0.020000,5.293905,6.262499,5.514910,2.321340,-2.133333,0.000000,5.994721
