dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.062077,7.324762,0.000213,0.021333,1.066667,53.333333,6.256996
0.020000,0.062027,7.324764,0.000263,0.002496,-0.941878,-100.427237,6.256819
0.020000,0.061927,7.324766,0.000363,0.004989,0.124645,53.326148,6.256466
0.020000,0.062881,7.324740,0.001318,0.047726,2.136857,100.610623,6.255937
0.020000,0.066094,7.324652,0.004532,0.160710,5.649216,175.617952,6.255232
0.020000,0.070111,7.324538,0.008550,0.200910,2.009989,-181.961353,6.254353
0.020000,0.074931,7.324396,0.013372,0.241123,2.010664,0.033729,6.253300
0.020000,0.080556,7.324224,0.018999,0.281350,2.011347,0.034168,6.252074
0.020000,0.086984,7.324020,0.025431,0.321598,2.012383,0.051808,6.250677
0.020000,0.094218,7.323779,0.032669,0.361867,2.013436,0.052654,6.249111
0.020000,0.102256,7.323498,0.040712,0.402163,2.014808,0.068599,6.247377
0.020000,0.111100,7.323173,0.049562,0.442487,2.016199,0.069523,6.245476
0.020000,0.120749,7.322799,0.059218,0.482839,2.017622,0.071168,6.243412
0.020000,0.131205,7.322371,0.069683,0.523229,2.019503,0.094022,6.241187
0.020000,0.142468,7.321884,0.080956,0.563654,2.021232,0.086473,6.238804
0.020000,0.154538,7.321333,0.093039,0.604121,2.023366,0.106666,6.236264
0.020000,0.167415,7.320711,0.105931,0.644632,2.025546,0.109007,6.233572
0.020000,0.181101,7.320012,0.119635,0.685188,2.027792,0.112340,6.230731
0.020000,0.195596,7.319229,0.134151,0.725800,2.030624,0.141567,6.227744
0.020000,0.210900,7.318355,0.149480,0.766462,2.033081,0.122869,6.224615
0.020000,0.227015,7.317384,0.165624,0.807183,2.036058,0.148862,6.221349
0.020000,0.243940,7.316307,0.182583,0.847966,2.039117,0.152934,6.217949
0.020000,0.261676,7.315117,0.200359,0.888814,2.042429,0.165588,6.214421
0.020000,0.280225,7.313806,0.218954,0.929731,2.045845,0.170818,6.210769
0.020000,0.299585,7.312364,0.238369,0.970722,2.049554,0.185458,6.206998
0.020000,0.319759,7.310785,0.258604,1.011788,2.053307,0.187612,6.203114
0.020000,0.340747,7.309058,0.279663,1.052936,2.057373,0.203300,6.199122
0.020000,0.362550,7.307176,0.301546,1.094169,2.061666,0.214662,6.195029
0.020000,0.385167,7.305129,0.324256,1.135489,2.065979,0.215656,6.190841
0.020000,0.408600,7.302909,0.347794,1.176902,2.070659,0.233997,6.186564
0.020000,0.432849,7.300505,0.372162,1.218412,2.075509,0.242502,6.182205
0.020000,0.457916,7.297909,0.397363,1.260022,2.080504,0.249737,6.177771
0.020000,0.483800,7.295111,0.423398,1.301736,2.085677,0.258648,6.173270
0.020000,0.510502,7.292102,0.450269,1.343559,2.091194,0.275882,6.168709
0.020000,0.538023,7.288873,0.477979,1.385494,2.096725,0.276545,6.164096
0.020000,0.566364,7.285415,0.506530,1.427545,2.102535,0.290479,6.159440
0.020000,0.595524,7.281718,0.535924,1.469715,2.108531,0.299822,6.154748
0.020000,0.625506,7.277774,0.566164,1.512010,2.114727,0.309798,6.150031
0.020000,0.656310,7.273573,0.597253,1.554431,2.121050,0.316147,6.145296
0.020000,0.687936,7.269108,0.629192,1.596983,2.127598,0.327370,6.140552
0.020000,0.720385,7.264369,0.661986,1.639669,2.134308,0.335501,6.135810
0.020000,0.753658,7.259348,0.695636,1.682492,2.141180,0.343623,6.131080
0.020000,0.787756,7.254039,0.730145,1.725457,2.148224,0.352180,6.126370
0.020000,0.822681,7.248433,0.765516,1.768565,2.155426,0.360100,6.121692
0.020000,0.858432,7.242523,0.801752,1.811821,2.162777,0.367582,6.117055
0.020000,0.895011,7.236303,0.838857,1.855227,2.170275,0.374891,6.112471
0.020000,0.932420,7.229766,0.876833,1.898785,2.177927,0.382596,6.107949
0.020000,0.970660,7.222907,0.915683,1.942500,2.185734,0.390345,6.103502
0.020000,1.009732,7.215721,0.955410,1.986372,2.193628,0.394691,6.099141
0.020000,1.049638,7.208204,0.996018,2.030406,2.201703,0.403744,6.094876
0.020000,1.090381,7.200351,1.037510,2.074604,2.209896,0.409667,6.090719
0.020000,1.131961,7.192160,1.079890,2.118968,2.218174,0.413918,6.086682
0.020000,1.174381,7.183629,1.123160,2.163501,2.226656,0.424107,6.082778
0.020000,1.217645,7.174755,1.167324,2.208204,2.235172,0.425800,6.079018
0.020000,1.261754,7.165538,1.212385,2.253082,2.243885,0.435619,6.075414
0.020000,1.306712,7.155979,1.258348,2.298136,2.252688,0.440142,6.071979
0.020000,1.352521,7.146078,1.305215,2.343368,2.261606,0.445943,6.068726
0.020000,1.399187,7.135838,1.352991,2.388781,2.270664,0.452858,6.065667
0.020000,1.446712,7.125262,1.401679,2.434378,2.279858,0.459737,6.062816
0.020000,1.495101,7.114355,1.451282,2.480162,2.289189,0.466547,6.060185
0.020000,1.544359,7.103121,1.501805,2.526135,2.298654,0.473224,6.057788
0.020000,1.594491,7.091568,1.553251,2.572301,2.308277,0.481142,6.055639
0.020000,1.645502,7.079704,1.605624,2.618661,2.318018,0.487077,6.053751
0.020000,1.697400,7.067538,1.658928,2.665221,2.327990,0.498598,6.052139
0.020000,1.750190,7.055081,1.713168,2.711983,2.338092,0.505117,6.050816
0.020000,1.803879,7.042345,1.768347,2.758951,2.348390,0.514892,6.049798
0.020000,1.858475,7.029345,1.824469,2.806128,2.358890,0.524964,6.049100
0.020000,1.913986,7.016095,1.881540,2.853520,2.369582,0.534637,6.048735
0.020000,1.970421,7.002614,1.939562,2.901130,2.380514,0.546592,6.048721
0.020000,2.027788,6.988920,1.998542,2.948964,2.391663,0.557443,6.049072
0.020000,2.086098,6.975035,2.058482,2.997025,2.403057,0.569713,6.049805
0.020000,2.145361,6.960981,2.119389,3.045319,2.414693,0.581782,6.050937
0.020000,2.205587,6.946783,2.181266,3.093851,2.426615,0.596084,6.052483
0.020000,2.266788,6.932470,2.244118,3.142626,2.438759,0.607243,6.054462
0.020000,2.328976,6.918070,2.307951,3.191650,2.451203,0.622153,6.056891
0.020000,2.391952,6.903664,2.372553,3.230115,1.923233,-26.398477,6.059778
0.020000,2.455303,6.889379,2.437496,3.247108,0.849642,-53.679547,6.063112
0.020000,2.518826,6.875293,2.502562,3.253320,0.310610,-26.951582,6.066886
0.020000,2.582527,6.861434,2.567753,3.259545,0.311266,0.032759,6.071101
0.020000,2.646411,6.847831,2.633069,3.265782,0.311856,0.029497,6.075757
0.020000,2.710482,6.834515,2.698509,3.272031,0.312423,0.028361,6.080855
0.020000,2.774746,6.821515,2.764075,3.278289,0.312931,0.025412,6.086397
0.020000,2.839207,6.808862,2.829766,3.284557,0.313362,0.021538,6.092382
0.020000,2.903869,6.796585,2.895583,3.290829,0.313620,0.012895,6.098811
0.020000,2.968734,6.784716,2.961525,3.297103,0.313692,0.003623,6.105684
0.020000,3.033805,6.773286,3.027592,3.303374,0.313562,-0.006505,6.113001
0.020000,3.099084,6.762327,3.093785,3.309637,0.313173,-0.019449,6.120762
0.020000,3.164572,6.751869,3.160103,3.315886,0.312442,-0.036529,6.128964
0.020000,3.230269,6.741944,3.226545,3.322113,0.311354,-0.054437,6.137608
0.020000,3.296174,6.732584,3.293111,3.328311,0.309856,-0.074906,6.146690
0.020000,3.362285,6.723822,3.359801,3.334468,0.307851,-0.100205,6.156209
0.020000,3.428600,6.715689,3.426612,3.340574,0.305339,-0.125622,6.166159
0.020000,3.495114,6.708217,3.493544,3.346620,0.302262,-0.153869,6.176538
0.020000,3.561822,6.701437,3.560596,3.352590,0.298536,-0.186271,6.187339
0.020000,3.628718,6.695382,3.627766,3.358471,0.294045,-0.224553,6.198556
0.020000,3.695794,6.690082,3.695051,3.364248,0.288864,-0.259042,6.210183
0.020000,3.763041,6.685569,3.762449,3.369908,0.282956,-0.295416,6.222210
0.020000,3.830448,6.681871,3.829957,3.375431,0.276167,-0.339442,6.234628
0.020000,3.898004,6.679020,3.897573,3.380801,0.268508,-0.382973,6.247426
0.020000,3.965695,6.677042,3.965293,3.386000,0.259931,-0.428838,6.260593
0.020000,4.033506,6.675967,4.033113,3.391006,0.250320,-0.480538,6.274114
0.020000,4.101422,6.675819,4.101030,3.395807,0.240069,-0.512554,0.004789
0.020000,4.169425,6.676626,4.169037,3.400383,0.228755,-0.565693,0.018974
0.020000,4.220577,6.677925,4.220205,2.558410,-42.098629,-2116.369192,6.262448
0.020000,4.222536,6.677249,4.222278,0.103620,-122.739480,-4032.042594,6.043165
0.020000,4.242960,6.670265,4.243863,1.079251,48.781521,8576.050079,5.893201
0.020000,4.274496,6.655164,4.278828,1.748241,33.449501,-766.600991,5.791467
0.020000,4.311749,6.633345,4.322000,2.158613,20.518609,-646.544596,5.721094
0.020000,4.351774,6.606620,4.370128,2.406391,12.388884,-406.486248,5.671262
0.020000,4.393134,6.576402,4.421350,2.561106,7.735746,-232.656922,5.635395
0.020000,4.435109,6.543724,4.474546,2.659812,4.935327,-140.020942,5.609528
0.020000,4.477350,6.509327,4.529020,2.723688,3.193793,-87.076686,5.591200
0.020000,4.519701,6.473755,4.584328,2.765426,2.086899,-55.344745,5.578845
0.020000,4.562121,6.437410,4.640189,2.793037,1.380557,-35.317092,5.571463
0.020000,4.604638,6.400600,4.696426,2.811865,0.941370,-21.959352,5.568433
0.020000,4.647327,6.363565,4.752942,2.825768,0.695168,-12.310096,5.569406
0.020000,4.690307,6.326497,4.809698,2.837806,0.601918,-4.662497,5.574252
0.020000,4.733734,6.289556,4.866712,2.850685,0.643935,2.100857,5.583030
0.020000,4.777811,6.252877,4.924054,2.867115,0.821495,8.877993,5.595990
0.020000,4.822800,6.216586,4.981856,2.890087,1.148587,16.354588,5.613598
0.020000,4.869040,6.180806,5.040322,2.923315,1.661414,25.641394,5.636581
0.020000,4.916980,6.145674,5.099757,2.971752,2.421833,38.020923,5.666013
0.020000,4.967225,6.111364,5.160599,3.042085,3.516691,54.742897,5.703449
0.020000,5.020611,6.078138,5.223480,3.144053,5.098364,79.083666,5.751129
0.020000,5.078298,6.046435,5.289305,3.291253,7.360024,113.082987,5.812265
0.020000,5.141899,6.017066,5.359360,3.502734,10.574055,160.701565,5.891416
0.020000,5.213518,5.991600,5.435371,3.800567,14.891618,215.878143,5.994721
0.020000,5.295407,5.973041,5.519336,4.198275,19.885423,249.690238,6.129303
0.020000,5.388426,5.966505,5.612585,4.662432,23.207865,166.122132,0.016746
0.020000,5.488765,5.978242,5.713608,5.051169,19.436838,-188.551357,0.218113
0.020000,5.586237,6.010926,5.816414,5.140276,4.455345,-749.074652,0.428878
0.020000,5.670003,6.059570,5.913280,4.843302,-14.848696,-965.202045,0.621500
0.020000,5.736059,6.115462,5.999809,4.326445,-25.842870,-549.708713,0.780350
0.020000,5.786570,6.172258,6.075817,3.800407,-26.301905,-22.951737,0.904836
0.020000,5.825455,6.227113,6.143056,3.361929,-21.923862,218.902137,1.001230
0.020000,5.856058,6.279219,6.203484,3.021444,-17.024276,244.979299,1.076503
0.020000,5.880745,6.328583,6.258677,2.759632,-13.090577,196.684923,1.136243
0.020000,5.901111,6.375454,6.309782,2.555228,-10.220214,143.518192,1.184519
0.020000,5.918227,6.420110,6.357606,2.391203,-8.201256,100.947877,1.224206
0.020000,5.932835,6.462802,6.402728,2.256112,-6.754552,72.335194,1.257348
0.020000,5.945460,6.503736,6.445564,2.141811,-5.715064,51.974408,1.285408
0.020000,5.956479,6.543066,6.486409,2.042221,-4.979472,36.779595,1.309449
0.020000,5.966177,6.580926,6.525491,1.954113,-4.405421,28.702552,1.330267
0.020000,5.974770,6.617414,6.562977,1.874306,-3.990331,20.754527,1.348457
0.020000,5.982428,6.652611,6.598998,1.801047,-3.662942,16.369413,1.364480
0.020000,5.989283,6.686581,6.633653,1.732740,-3.415353,12.379460,1.378691
0.020000,5.995444,6.719378,6.667023,1.668505,-3.211746,10.180376,1.391373
0.020000,6.000999,6.751043,6.699171,1.607430,-3.053770,7.898782,1.402750
