dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674541,4.391995,0.000213,0.021333,1.066667,53.333333,0.000353
0.020000,1.674554,4.391995,0.000227,0.000659,-1.033705,-105.018589,0.000307
0.020000,1.674580,4.391995,0.000253,0.001320,0.033032,53.336855,0.000213
0.020000,1.674620,4.391995,0.000293,0.001983,0.033173,0.007047,0.000073
0.020000,1.676761,4.391995,0.002433,0.107032,5.252434,260.963032,6.283070
0.020000,1.681094,4.391994,0.006766,0.216650,5.480899,11.423255,6.282835
0.020000,1.686294,4.391991,0.011967,0.260014,2.168202,-165.634845,6.282552
0.020000,1.692361,4.391987,0.018034,0.303365,2.167556,-0.032311,6.282219
0.020000,1.699296,4.391978,0.024968,0.346731,2.168271,0.035796,6.281837
0.020000,1.707098,4.391966,0.032771,0.390107,2.168823,0.027563,6.281405
0.020000,1.715768,4.391949,0.041441,0.433500,2.169629,0.040325,6.280921
0.020000,1.725306,4.391925,0.050979,0.476921,2.171052,0.071139,6.280384
0.020000,1.735713,4.391892,0.061385,0.520327,2.170296,-0.037778,6.279794
0.020000,1.746989,4.391851,0.072661,0.563790,2.173149,0.142632,6.279149
0.020000,1.759133,4.391797,0.084806,0.607247,2.172884,-0.013256,6.278448
0.020000,1.772148,4.391731,0.097821,0.650731,2.174171,0.064347,6.277688
0.020000,1.786032,4.391649,0.111706,0.694241,2.175494,0.066156,6.276869
0.020000,1.800788,4.391549,0.126461,0.737773,2.176646,0.057597,6.275988
0.020000,1.816414,4.391429,0.142088,0.781327,2.177668,0.051104,6.275044
0.020000,1.832912,4.391287,0.158586,0.824942,2.180760,0.154572,6.274035
0.020000,1.850282,4.391118,0.175957,0.868541,2.179946,-0.040694,6.272958
0.020000,1.868525,4.390921,0.194202,0.912216,2.183754,0.190395,6.271811
0.020000,1.887642,4.390692,0.213320,0.955903,2.184343,0.029474,6.270591
0.020000,1.907633,4.390427,0.233312,0.999629,2.186314,0.098560,6.269296
0.020000,1.928498,4.390123,0.254180,1.043396,2.188352,0.101876,6.267923
0.020000,1.950240,4.389776,0.275924,1.087200,2.190207,0.092743,6.266469
0.020000,1.972858,4.389380,0.298546,1.131074,2.193664,0.172868,6.264931
0.020000,1.996353,4.388932,0.322045,1.174964,2.194519,0.042764,6.263306
0.020000,2.020726,4.388427,0.346423,1.218927,2.198151,0.181610,6.261589
0.020000,2.045978,4.387859,0.371682,1.262923,2.199798,0.082335,6.259777
