dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674641,4.109420,0.000213,0.021333,1.066667,53.333333,0.000353
0.020000,1.674641,4.109420,0.001067,0.064000,2.133333,53.333333,0.000307
0.020000,1.674641,4.109420,0.002773,0.106667,2.133333,0.000000,0.000213
0.020000,1.674641,4.109420,0.005333,0.149333,2.133333,0.000000,0.000073
0.020000,1.676728,4.109420,0.008747,0.192000,2.133333,-0.000000,6.283070
0.020000,1.680995,4.109419,0.013013,0.234667,2.133333,0.000000,6.282835
0.020000,1.686115,4.109416,0.018133,0.277333,2.133333,0.000000,6.282552
0.020000,1.692088,4.109412,0.024107,0.320000,2.133333,0.000000,6.282219
0.020000,1.698915,4.109404,0.030933,0.362667,2.133333,-0.000000,6.281837
0.020000,1.706595,4.109392,0.038613,0.405333,2.133333,0.000000,6.281405
0.020000,1.715128,4.109374,0.047147,0.448000,2.133333,0.000000,6.280921
0.020000,1.724515,4.109351,0.056533,0.490667,2.133333,-0.000000,6.280384
0.020000,1.734755,4.109319,0.066773,0.533333,2.133333,0.000000,6.279794
0.020000,1.745848,4.109278,0.077867,0.576000,2.133333,-0.000000,6.279149
0.020000,1.757795,4.109225,0.089813,0.618667,2.133333,0.000000,6.278448
0.020000,1.770594,4.109160,0.102613,0.661333,2.133333,-0.000000,6.277688
0.020000,1.784248,4.109079,0.116267,0.704000,2.133333,0.000000,6.276869
0.020000,1.798754,4.108981,0.130773,0.746667,2.133333,-0.000000,6.275988
0.020000,1.814113,4.108864,0.146133,0.789333,2.133333,0.000000,6.275044
0.020000,1.830326,4.108723,0.162347,0.832000,2.133333,-0.000000,6.274035
0.020000,1.847392,4.108558,0.179413,0.874667,2.133333,0.000000,6.272958
0.020000,1.865311,4.108365,0.197333,0.917333,2.133333,0.000000,6.271811
0.020000,1.884083,4.108140,0.216107,0.960000,2.133333,-0.000000,6.270591
0.020000,1.903708,4.107880,0.235733,1.002667,2.133333,0.000000,6.269296
0.020000,1.924186,4.107581,0.256213,1.045333,2.133333,-0.000000,6.267923
0.020000,1.945516,4.107240,0.277547,1.088000,2.133333,0.000000,6.266469
0.020000,1.967700,4.106852,0.299733,1.130667,2.133333,0.000000,6.264931
0.020000,1.990735,4.106413,0.322773,1.173333,2.133333,0.000000,6.263306
0.020000,2.014624,4.105918,0.346667,1.216000,2.133333,0.000000,6.261589
0.020000,2.039364,4.105361,0.371413,1.258667,2.133333,-0.000000,6.259777
0.020000,2.064956,4.104737,0.397013,1.301333,2.133333,0.000000,6.257867
0.020000,2.091401,4.104041,0.423467,1.344000,2.133333,-0.000000,6.255854
0.020000,2.118696,4.103266,0.450773,1.386667,2.133333,0.000000,6.253734
0.020000,2.146843,4.102406,0.478933,1.429333,2.133333,0.000000,6.251502
0.020000,2.175841,4.101453,0.507947,1.472000,2.133333,0.000000,6.249153
0.020000,2.205689,4.100400,0.537813,1.514667,2.133333,-0.000000,6.246682
0.020000,2.236387,4.099239,0.568533,1.557333,2.133333,0.000000,6.244084
0.020000,2.267935,4.097962,0.600107,1.600000,2.133333,0.000000,6.241352
0.020000,2.300331,4.096559,0.632533,1.642667,2.133333,0.000000,6.238482
0.020000,2.333575,4.095022,0.665813,1.685333,2.133333,0.000000,6.235465
0.020000,2.367667,4.093340,0.699947,1.728000,2.133333,0.000000,6.232297
0.020000,2.402606,4.091502,0.734933,1.770667,2.133333,-0.000000,6.228969
0.020000,2.438389,4.089498,0.770773,1.813333,2.133333,0.000000,6.225474
0.020000,2.475018,4.087315,0.807467,1.856000,2.133333,-0.000000,6.221804
0.020000,2.512489,4.084939,0.845013,1.898667,2.133333,0.000000,6.217951
0.020000,2.550802,4.082359,0.883413,1.941333,2.133333,-0.000000,6.213905
0.020000,2.589955,4.079559,0.922667,1.984000,2.133333,-0.000000,6.209658
0.020000,2.629947,4.076524,0.962773,2.026667,2.133333,0.000000,6.205199
0.020000,2.670775,4.073238,1.003733,2.069333,2.133333,-0.000000,6.200518
0.020000,2.712437,4.069683,1.045547,2.112000,2.133333,0.000000,6.195603
0.020000,2.754931,4.065842,1.088213,2.154667,2.133333,0.000000,6.190443
0.020000,2.798252,4.061695,1.131733,2.197333,2.133333,-0.000000,6.185025
0.020000,2.842400,4.057221,1.176107,2.240000,2.133333,0.000000,6.179336
0.020000,2.887368,4.052399,1.221333,2.282667,2.133333,0.000000,6.173362
0.020000,2.933155,4.047206,1.267413,2.325333,2.133333,-0.000000,6.167086
0.020000,2.979754,4.041616,1.314347,2.368000,2.133333,0.000000,6.160495
0.020000,3.027161,4.035605,1.362133,2.410667,2.133333,0.000000,6.153570
0.020000,3.075370,4.029143,1.410773,2.453333,2.133333,0.000000,6.146294
0.020000,3.124374,4.022203,1.460267,2.496000,2.133333,0.000000,6.138647
0.020000,3.174166,4.014752,1.510613,2.538667,2.133333,-0.000000,6.130610
0.020000,3.224738,4.006758,1.561813,2.581333,2.133333,0.000000,6.122160
0.020000,3.276080,3.998186,1.613867,2.624000,2.133333,0.000000,6.113275
0.020000,3.328183,3.988997,1.666773,2.666667,2.133333,0.000000,6.103931
0.020000,3.381034,3.979154,1.720533,2.709333,2.133333,-0.000000,6.094102
0.020000,3.434620,3.968613,1.775147,2.752000,2.133333,0.000000,6.083762
0.020000,3.488927,3.957331,1.830613,2.794667,2.133333,-0.000000,6.072880
0.020000,3.543938,3.945261,1.886933,2.837333,2.133333,0.000000,6.061427
0.020000,3.599634,3.932352,1.944107,2.880000,2.133333,0.000000,6.049372
0.020000,3.655996,3.918552,2.002133,2.922667,2.133333,-0.000000,6.036680
0.020000,3.712999,3.903806,2.061013,2.965333,2.133333,0.000000,6.023317
0.020000,3.770617,3.888054,2.120747,3.008000,2.133333,-0.000000,6.009247
0.020000,3.828822,3.871235,2.181333,3.050667,2.133333,0.000000,5.994430
0.020000,3.887581,3.853283,2.242773,3.093333,2.133333,0.000000,5.978830
0.020000,3.946856,3.834131,2.305067,3.136000,2.133333,-0.000000,5.962404
0.020000,4.006607,3.813707,2.368213,3.178667,2.133333,0.000000,5.945113
0.020000,4.066590,3.792010,2.432000,3.200000,1.066667,-53.333333,5.926978
0.020000,4.126359,3.769130,2.496000,3.200000,0.000000,-53.333333,5.908093
0.020000,4.185677,3.745105,2.560000,3.200000,0.000000,0.000000,5.888508
0.020000,4.244505,3.719902,2.624000,3.200000,0.000000,0.000000,5.868214
0.020000,4.302799,3.693490,2.688000,3.200000,0.000000,0.000000,5.847208
0.020000,4.360516,3.665838,2.752000,3.200000,0.000000,0.000000,5.825488
0.020000,4.417609,3.636920,2.816000,3.200000,0.000000,0.000000,5.803058
0.020000,4.474027,3.606708,2.880000,3.200000,0.000000,0.000000,5.779929
0.020000,4.529721,3.575181,2.944000,3.200000,0.000000,0.000000,5.756113
0.020000,4.584638,3.542318,3.008000,3.200000,0.000000,0.000000,5.731633
0.020000,4.638722,3.508103,3.072000,3.200000,0.000000,0.000000,5.706516
0.020000,4.691919,3.472524,3.136000,3.200000,0.000000,0.000000,5.680795
0.020000,4.744173,3.435575,3.200000,3.200000,0.000000,0.000000,5.654512
0.020000,4.795428,3.397251,3.264000,3.200000,0.000000,0.000000,5.627715
0.020000,4.845628,3.357556,3.328000,3.200000,0.000000,0.000000,5.600458
0.020000,4.894720,3.316498,3.392000,3.200000,0.000000,0.000000,5.572803
0.020000,4.942649,3.274090,3.456000,3.200000,0.000000,0.000000,5.544817
0.020000,4.989368,3.230351,3.520000,3.200000,0.000000,0.000000,5.516571
0.020000,5.034828,3.185305,3.584000,3.200000,0.000000,0.000000,5.488141
0.020000,5.078986,3.138984,3.647999,3.199904,-0.004823,-0.241138,5.459605
0.020000,5.121661,3.091583,3.711783,3.178474,-1.071489,-53.333333,5.431138
0.020000,5.162563,3.043481,3.774926,3.135807,-2.133333,-53.092195,5.403010
0.020000,5.201574,2.994922,3.837215,3.093140,-2.133333,0.000000,5.375385
0.020000,5.238726,2.945995,3.898651,3.050474,-2.133333,-0.000000,5.348329
0.020000,5.274058,2.896785,3.959234,3.007807,-2.133333,0.000000,5.321895
0.020000,5.307615,2.847375,4.018964,2.965140,-2.133333,0.000000,5.296129
0.020000,5.339445,2.797846,4.077840,2.922474,-2.133333,-0.000000,5.271070
0.020000,5.369597,2.748275,4.135862,2.879807,-2.133333,0.000000,5.246746
0.020000,5.398129,2.698736,4.193032,2.837140,-2.133333,-0.000000,5.223177
0.020000,5.425096,2.649298,4.249348,2.794474,-2.133333,0.000000,5.200378
0.020000,5.450556,2.600025,4.304811,2.751807,-2.133333,0.000000,5.178356
0.020000,5.474570,2.550980,4.359420,2.709140,-2.133333,0.000000,5.157111
0.020000,5.497196,2.502219,4.413177,2.666474,-2.133333,-0.000000,5.136640
0.020000,5.518494,2.453794,4.466079,2.623807,-2.133333,0.000000,5.116933
0.020000,5.538525,2.405753,4.518129,2.581140,-2.133333,0.000000,5.097980
0.020000,5.557345,2.358143,4.569325,2.538474,-2.133333,-0.000000,5.079765
0.020000,5.575013,2.311003,4.619668,2.495807,-2.133333,0.000000,5.062270
0.020000,5.591584,2.264371,4.669157,2.453140,-2.133333,-0.000000,5.045476
0.020000,5.607114,2.218282,4.717793,2.410474,-2.133333,0.000000,5.029362
0.020000,5.621655,2.172765,4.765576,2.367807,-2.133333,0.000000,5.013907
0.020000,5.635257,2.127851,4.812506,2.325140,-2.133333,-0.000000,4.999089
0.020000,5.647972,2.083565,4.858582,2.282474,-2.133333,0.000000,4.984884
0.020000,5.659845,2.039929,4.903805,2.239807,-2.133333,-0.000000,4.971271
0.020000,5.670922,1.996964,4.948174,2.197140,-2.133333,0.000000,4.958226
0.020000,5.681248,1.954692,4.991690,2.154474,-2.133333,0.000000,4.945728
0.020000,5.690863,1.913126,5.034353,2.111807,-2.133333,-0.000000,4.933755
0.020000,5.699808,1.872285,5.076162,2.069140,-2.133333,0.000000,4.922285
0.020000,5.708120,1.832181,5.117119,2.026474,-2.133333,0.000000,4.911299
0.020000,5.715837,1.792828,5.157221,1.983807,-2.133333,-0.000000,4.900776
0.020000,5.722992,1.754237,5.196471,1.941140,-2.133333,0.000000,4.890698
0.020000,5.729619,1.716416,5.234867,1.898474,-2.133333,-0.000000,4.881046
0.020000,5.735749,1.679379,5.272410,1.855807,-2.133333,0.000000,4.871803
0.020000,5.741412,1.643129,5.309099,1.813140,-2.133333,0.000000,4.862951
0.020000,5.746637,1.607676,5.344935,1.770474,-2.133333,0.000000,4.854476
0.020000,5.751450,1.573025,5.379918,1.727807,-2.133333,0.000000,4.846361
0.020000,5.755877,1.539185,5.414048,1.685140,-2.133333,-0.000000,4.838592
0.020000,5.759942,1.506158,5.447324,1.642474,-2.133333,0.000000,4.831156
0.020000,5.763669,1.473950,5.479747,1.599807,-2.133333,0.000000,4.824040
0.020000,5.767079,1.442565,5.511316,1.557140,-2.133333,0.000000,4.817230
0.020000,5.770194,1.412007,5.542032,1.514474,-2.133333,0.000000,4.810715
0.020000,5.773032,1.382280,5.571895,1.471807,-2.133333,-0.000000,4.804485
0.020000,5.775614,1.353386,5.600905,1.429140,-2.133333,0.000000,4.798529
0.020000,5.777956,1.325328,5.629061,1.386474,-2.133333,-0.000000,4.792836
0.020000,5.780076,1.298107,5.656364,1.343807,-2.133333,-0.000000,4.787398
0.020000,5.781990,1.271727,5.682813,1.301140,-2.133333,0.000000,4.782205
0.020000,5.783712,1.246189,5.708409,1.258474,-2.133333,0.000000,4.777249
0.020000,5.785257,1.221495,5.733152,1.215807,-2.133333,0.000000,4.772522
0.020000,5.786639,1.197645,5.757041,1.173140,-2.133333,-0.000000,4.768017
0.020000,5.787870,1.174642,5.780078,1.130474,-2.133333,0.000000,4.763727
0.020000,5.788963,1.152486,5.802260,1.087807,-2.133333,0.000000,4.759645
0.020000,5.789929,1.131177,5.823590,1.045140,-2.133333,0.000000,4.755764
0.020000,5.790779,1.110720,5.844066,1.002474,-2.133333,-0.000000,4.752080
0.020000,5.791524,1.091110,5.863689,0.959807,-2.133333,0.000000,4.748587
0.020000,5.792172,1.072353,5.882458,0.917140,-2.133333,0.000000,4.745278
0.020000,5.792733,1.054446,5.900374,0.874474,-2.133333,-0.000000,4.742151
0.020000,5.793215,1.037390,5.917437,0.831807,-2.133333,0.000000,4.739199
0.020000,5.793627,1.021186,5.933647,0.789140,-2.133333,-0.000000,4.736419
0.020000,5.793976,1.005834,5.949003,0.746474,-2.133333,0.000000,4.733807
0.020000,5.794269,0.991333,5.963506,0.703807,-2.133333,0.000000,4.731359
0.020000,5.794512,0.977686,5.977155,0.661140,-2.133333,-0.000000,4.729071
0.020000,5.794712,0.964892,5.989951,0.618474,-2.133333,0.000000,4.726942
0.020000,5.794874,0.952950,6.001894,0.575807,-2.133333,-0.000000,4.724967
0.020000,5.795004,0.941860,6.012984,0.533140,-2.133333,0.000000,4.723143
0.020000,5.795105,0.931626,6.023220,0.490474,-2.133333,-0.000000,4.721470
0.020000,5.795183,0.922244,6.032603,0.447807,-2.133333,0.000000,4.719944
0.020000,5.795242,0.913714,6.041132,0.405140,-2.133333,0.000000,4.718562
0.020000,5.795284,0.906038,6.048808,0.362474,-2.133333,0.000000,4.717324
0.020000,5.795314,0.899215,6.055631,0.319807,-2.133333,-0.000000,4.716228
0.020000,5.795334,0.893245,6.061600,0.277140,-2.133333,0.000000,4.715272
0.020000,5.795347,0.888130,6.066717,0.234474,-2.133333,0.000000,4.714455
0.020000,5.795354,0.883866,6.070979,0.191807,-2.133333,0.000000,4.713776
0.020000,5.795358,0.880458,6.074389,0.149140,-2.133333,0.000000,4.713234
0.020000,5.795360,0.877901,6.076945,0.106474,-2.133333,-0.000000,4.712828
0.020000,5.795360,0.876198,6.078648,0.063807,-2.133333,0.000000,4.712558
0.020000,5.795360,0.875347,6.079498,0.021237,-2.128511,0.241138,4.712423
0.020000,5.795360,0.875134,6.079711,0.000000,-1.061844,53.333333,4.712389
0.020000,5.795360,0.875134,6.079711,0.000000,0.000000,53.092195,4.712389
