dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674740,3.826845,0.000213,0.021333,1.066667,53.333333,0.000353
0.020000,1.674727,3.826845,0.000227,0.000659,-1.033705,-105.018589,0.000307
0.020000,1.674701,3.826845,0.000253,0.001320,0.033032,53.336855,0.000213
0.020000,1.674661,3.826845,0.000293,0.001983,0.033173,0.007047,0.000073
0.020000,1.676696,3.826845,0.002327,0.101729,4.987308,247.706766,6.283070
0.020000,1.680896,3.826844,0.006527,0.210000,5.413540,21.311593,6.282835
0.020000,1.685936,3.826841,0.011567,0.252001,2.100042,-165.674924,6.282552
0.020000,1.691815,3.826837,0.017447,0.293972,2.098532,-0.075478,6.282219
0.020000,1.698534,3.826829,0.024165,0.335936,2.098192,-0.017010,6.281837
0.020000,1.706092,3.826817,0.031723,0.377886,2.097539,-0.032623,6.281405
0.020000,1.714488,3.826800,0.040120,0.419826,2.096979,-0.027997,6.280921
0.020000,1.723723,3.826777,0.049355,0.461763,2.096859,-0.006023,6.280384
0.020000,1.733796,3.826746,0.059428,0.503653,2.094470,-0.119456,6.279794
0.020000,1.744708,3.826705,0.070339,0.545561,2.095411,0.047054,6.279149
0.020000,1.756456,3.826654,0.082088,0.587424,2.093168,-0.112134,6.278448
0.020000,1.769041,3.826589,0.094673,0.629269,2.092258,-0.045502,6.277688
0.020000,1.782463,3.826510,0.108095,0.671093,2.091209,-0.052447,6.276869
0.020000,1.796720,3.826414,0.122353,0.712890,2.089817,-0.069630,6.275988
0.020000,1.811813,3.826298,0.137446,0.754652,2.088116,-0.085037,6.275044
0.020000,1.827741,3.826160,0.153374,0.796417,2.088225,0.005449,6.274035
0.020000,1.844502,3.825998,0.170136,0.838104,2.084369,-0.192785,6.272958
0.020000,1.862097,3.825808,0.187732,0.879800,2.084774,0.020243,6.271811
0.020000,1.880524,3.825587,0.206161,0.921437,2.081866,-0.145419,6.270591
0.020000,1.899783,3.825332,0.225422,0.963038,2.080076,-0.089498,6.269296
0.020000,1.919873,3.825039,0.245514,1.004601,2.078126,-0.097464,6.267923
0.020000,1.940793,3.824705,0.266436,1.046116,2.075770,-0.117844,6.266469
0.020000,1.962542,3.824324,0.288188,1.087611,2.074712,-0.052858,6.264931
0.020000,1.985118,3.823894,0.310769,1.129029,2.070901,-0.190582,6.263306
0.020000,2.008522,3.823409,0.334177,1.170418,2.069496,-0.070249,6.261589
0.020000,2.032750,3.822863,0.358412,1.211737,2.065908,-0.179380,6.259777
0.020000,2.057803,3.822253,0.383472,1.253009,2.063629,-0.113981,6.257867
0.020000,2.083678,3.821572,0.409357,1.294227,2.060894,-0.136723,6.255854
0.020000,2.110375,3.820814,0.436064,1.335381,2.057672,-0.161116,6.253734
0.020000,2.137892,3.819972,0.463593,1.376459,2.053927,-0.187220,6.251502
0.020000,2.166226,3.819041,0.491943,1.417477,2.050872,-0.152754,6.249153
0.020000,2.195376,3.818013,0.521111,1.458422,2.047265,-0.180385,6.246682
0.020000,2.225341,3.816880,0.551097,1.499295,2.043660,-0.180213,6.244084
0.020000,2.256117,3.815634,0.581899,1.540075,2.039003,-0.232867,6.241352
0.020000,2.287703,3.814266,0.613514,1.580775,2.035020,-0.199164,6.238482
0.020000,2.320096,3.812769,0.645942,1.621384,2.030417,-0.230138,6.235465
0.020000,2.353293,3.811131,0.679180,1.661887,2.025147,-0.263519,6.232297
0.020000,2.387293,3.809343,0.713226,1.702327,2.022029,-0.155857,6.228969
0.020000,2.422090,3.807393,0.748078,1.742606,2.013952,-0.403863,6.225474
0.020000,2.457684,3.805272,0.783735,1.782824,2.010866,-0.154293,6.221804
0.020000,2.494069,3.802966,0.820193,1.822894,2.003515,-0.367575,6.217951
0.020000,2.531241,3.800462,0.857449,1.862839,1.997235,-0.313996,6.213905
0.020000,2.569197,3.797748,0.895502,1.902646,1.990376,-0.342946,6.209658
0.020000,2.607933,3.794808,0.934349,1.942346,1.985006,-0.268502,6.205199
0.020000,2.647442,3.791628,0.973986,1.981852,1.975276,-0.486481,6.200518
0.020000,2.687720,3.788191,1.014411,2.021236,1.969188,-0.304418,6.195603
0.020000,2.728762,3.784481,1.055620,2.060425,1.959493,-0.484755,6.190443
0.020000,2.770559,3.780480,1.097609,2.099449,1.951179,-0.415701,6.185025
0.020000,2.813107,3.776169,1.140374,2.138284,1.941769,-0.470504,6.179336
0.020000,2.856397,3.771527,1.183912,2.176908,1.931176,-0.529614,6.173362
0.020000,2.900422,3.766533,1.228219,2.215343,1.921769,-0.470360,6.167086
0.020000,2.945171,3.761165,1.273290,2.253518,1.908730,-0.651968,6.160495
0.020000,2.990637,3.755400,1.319120,2.291499,1.899077,-0.482653,6.153570
0.020000,3.036808,3.749212,1.365703,2.329191,1.884575,-0.725084,6.146294
0.020000,3.083673,3.742575,1.413036,2.366612,1.871058,-0.675842,6.138647
