dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.673997,4.391994,0.000213,0.021333,1.066667,53.333333,0.002278
0.020000,1.674207,4.391995,0.000424,0.010510,-0.541164,-80.391543,0.001534
0.020000,1.674628,4.391995,0.000844,0.021039,0.526447,53.380582,0.000045
0.020000,1.677769,4.391992,0.003986,0.157078,6.801938,313.774548,6.280991
0.020000,1.682030,4.391976,0.008246,0.213013,2.796768,-200.258501,6.277994
0.020000,1.687361,4.391938,0.013578,0.266569,2.677815,-5.947689,6.274227
0.020000,1.693766,4.391866,0.019983,0.320263,2.684679,0.343233,6.269679
0.020000,1.701249,4.391745,0.027467,0.374198,2.696743,0.603213,6.264333
0.020000,1.709814,4.391557,0.036034,0.428363,2.708237,0.574662,6.258171
0.020000,1.719468,4.391282,0.045692,0.482901,2.726931,0.934728,6.251172
0.020000,1.730215,4.390896,0.056446,0.537692,2.739549,0.630876,6.243313
0.020000,1.742062,4.390371,0.068304,0.592911,2.760957,1.070399,6.234568
0.020000,1.755012,4.389679,0.081273,0.648446,2.776711,0.787719,6.224909
0.020000,1.769073,4.388783,0.095362,0.704475,2.801459,1.237393,6.214306
0.020000,1.784249,4.387648,0.110581,0.760917,2.822117,1.032903,6.202728
0.020000,1.800544,4.386231,0.126938,0.817835,2.845889,1.188577,6.190141
0.020000,1.817961,4.384487,0.144442,0.875221,2.869299,1.170521,6.176512
0.020000,1.836502,4.382363,0.163104,0.933104,2.894136,1.241853,6.161806
0.020000,1.856166,4.379807,0.182933,0.991459,2.917764,1.181391,6.145989
0.020000,1.876949,4.376758,0.203939,1.050288,2.941433,1.183449,6.129028
0.020000,1.898844,4.373153,0.226129,1.109491,2.960192,0.937944,6.110896
0.020000,1.921840,4.368922,0.249511,1.169089,2.979873,0.984046,6.091567
0.020000,1.945920,4.363994,0.274089,1.228923,2.991728,0.592756,6.071021
0.020000,1.971060,4.358292,0.299868,1.288953,3.001495,0.488335,6.049246
0.020000,1.997231,4.351737,0.326848,1.348986,3.001628,0.006660,6.026243
0.020000,2.024395,4.344248,0.355025,1.408845,2.992982,-0.432263,6.002021
0.020000,2.052503,4.335741,0.384392,1.468377,2.976576,-0.820335,5.976606
0.020000,2.081499,4.326137,0.414937,1.527245,2.943403,-1.658633,5.950043
0.020000,2.111315,4.315356,0.446643,1.585275,2.901519,-2.094184,5.922394
0.020000,2.141873,4.303323,0.479484,1.642085,2.840492,-3.051350,5.893742
0.020000,2.173085,4.289971,0.513432,1.697400,2.765718,-3.738729,5.864195
0.020000,2.204854,4.275241,0.548450,1.750897,2.674889,-4.541441,5.833881
0.020000,2.237075,4.259084,0.584495,1.802236,2.566930,-5.397966,5.802953
0.020000,2.269637,4.241466,0.621518,1.851152,2.445803,-6.056337,5.771582
0.020000,2.302428,4.222365,0.659466,1.897403,2.312554,-6.662446,5.739958
0.020000,2.335333,4.201775,0.698282,1.940783,2.168968,-7.179286,5.708282
0.020000,2.368241,4.179706,0.737906,1.981191,2.020411,-7.427859,5.676767
0.020000,2.401050,4.156181,0.778277,2.018565,1.868693,-7.585891,5.645626
0.020000,2.433663,4.131237,0.819336,2.052948,1.719146,-7.477390,5.615072
0.020000,2.465998,4.104922,0.861025,2.084440,1.574600,-7.227267,5.585308
0.020000,2.497983,4.077297,0.903289,2.113203,1.438181,-6.820939,5.556529
0.020000,2.529565,4.048426,0.946078,2.139455,1.312582,-6.279968,5.528913
0.020000,2.560701,4.018381,0.989346,2.163426,1.198556,-5.701327,5.502620
0.020000,2.591367,3.987237,1.033054,2.185379,1.097631,-5.046232,5.477793
0.020000,2.621552,3.955071,1.077165,2.205554,1.008774,-4.442833,5.454559
0.020000,2.651258,3.921960,1.121649,2.224190,0.931800,-3.848734,5.433026
0.020000,2.680500,3.887980,1.166478,2.241481,0.864571,-3.361405,5.413289
0.020000,2.709304,3.853209,1.211630,2.257588,0.805315,-2.962843,5.395433
0.020000,2.737704,3.817722,1.257083,2.272625,0.751877,-2.671884,5.379533
0.020000,2.765745,3.781594,1.302816,2.286655,0.701486,-2.519540,5.365661
0.020000,2.793477,3.744901,1.348810,2.299694,0.651948,-2.476911,5.353885
0.020000,2.820958,3.707721,1.395044,2.311707,0.600656,-2.564568,5.344279
0.020000,2.848250,3.670132,1.441496,2.322592,0.544249,-2.820354,5.336923
0.020000,2.875422,3.632219,1.488140,2.332208,0.480805,-3.172210,5.331907
0.020000,2.902543,3.594070,1.534947,2.340355,0.407336,-3.673458,5.329334
0.020000,2.929689,3.555781,1.581882,2.346775,0.321007,-4.316467,5.329326
0.020000,2.956936,3.517457,1.628906,2.351160,0.219246,-5.088041,5.332028
0.020000,2.984365,3.479213,1.675968,2.353145,0.099252,-5.999713,5.337609
0.020000,3.012055,3.441178,1.723015,2.352313,-0.041574,-7.041296,5.346268
0.020000,3.040085,3.403497,1.769979,2.348207,-0.205332,-8.187874,5.358238
0.020000,3.068535,3.366329,1.816786,2.340333,-0.393686,-9.417716,5.373784
