dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674641,4.109420,0.000213,0.021333,1.066667,53.333333,0.002278
0.020000,1.674641,4.109420,0.001067,0.064000,2.133333,53.333333,0.001534
0.020000,1.674641,4.109420,0.002773,0.106667,2.133333,0.000000,0.000045
0.020000,1.677149,4.109417,0.005333,0.149333,2.133333,0.000000,6.280991
0.020000,1.680563,4.109405,0.008747,0.192000,2.133333,-0.000000,6.277994
0.020000,1.684830,4.109375,0.013013,0.234667,2.133333,0.000000,6.274227
0.020000,1.689949,4.109317,0.018133,0.277333,2.133333,0.000000,6.269679
0.020000,1.695922,4.109220,0.024107,0.320000,2.133333,0.000000,6.264333
0.020000,1.702746,4.109071,0.030933,0.362667,2.133333,-0.000000,6.258171
0.020000,1.710424,4.108852,0.038613,0.405333,2.133333,0.000000,6.251172
0.020000,1.718951,4.108545,0.047147,0.448000,2.133333,0.000000,6.243313
0.020000,1.728329,4.108130,0.056533,0.490667,2.133333,-0.000000,6.234568
0.020000,1.738554,4.107583,0.066773,0.533333,2.133333,0.000000,6.224909
0.020000,1.749625,4.106879,0.077867,0.576000,2.133333,-0.000000,6.214306
0.020000,1.761538,4.105987,0.089813,0.618667,2.133333,0.000000,6.202728
0.020000,1.774290,4.104879,0.102613,0.661333,2.133333,-0.000000,6.190141
0.020000,1.787875,4.103518,0.116267,0.704000,2.133333,0.000000,6.176512
0.020000,1.802288,4.101868,0.130773,0.746667,2.133333,-0.000000,6.161806
0.020000,1.817519,4.099888,0.146133,0.789333,2.133333,0.000000,6.145989
0.020000,1.833561,4.097534,0.162347,0.832000,2.133333,-0.000000,6.129028
0.020000,1.850400,4.094761,0.179413,0.874667,2.133333,0.000000,6.110896
0.020000,1.868024,4.091519,0.197333,0.917333,2.133333,0.000000,6.091567
0.020000,1.886416,4.087755,0.216107,0.960000,2.133333,-0.000000,6.071021
0.020000,1.905556,4.083414,0.235733,1.002667,2.133333,0.000000,6.049246
0.020000,1.925422,4.078439,0.256213,1.045333,2.133333,-0.000000,6.026243
0.020000,1.945987,4.072768,0.277547,1.088000,2.133333,0.000000,6.002021
0.020000,1.967223,4.066342,0.299733,1.130667,2.133333,0.000000,5.976606
0.020000,1.989093,4.059098,0.322773,1.173333,2.133333,0.000000,5.950043
0.020000,2.011562,4.050974,0.346667,1.216000,2.133333,0.000000,5.922394
0.020000,2.034587,4.041907,0.371413,1.258667,2.133333,-0.000000,5.893742
0.020000,2.058123,4.031839,0.397013,1.301333,2.133333,0.000000,5.864195
0.020000,2.082121,4.020712,0.423467,1.344000,2.133333,-0.000000,5.833881
0.020000,2.106530,4.008472,0.450773,1.386667,2.133333,0.000000,5.802953
0.020000,2.131296,3.995072,0.478933,1.429333,2.133333,0.000000,5.771582
0.020000,2.156364,3.980468,0.507947,1.472000,2.133333,0.000000,5.739958
0.020000,2.181681,3.964626,0.537813,1.514667,2.133333,-0.000000,5.708282
0.020000,2.207194,3.947516,0.568533,1.557333,2.133333,0.000000,5.676767
0.020000,2.232851,3.929117,0.600107,1.600000,2.133333,0.000000,5.645626
0.020000,2.258606,3.909418,0.632533,1.642667,2.133333,0.000000,5.615072
0.020000,2.284417,3.888411,0.665813,1.685333,2.133333,0.000000,5.585308
0.020000,2.310248,3.866100,0.699947,1.728000,2.133333,0.000000,5.556529
0.020000,2.336069,3.842494,0.734933,1.770667,2.133333,-0.000000,5.528913
0.020000,2.361858,3.817607,0.770773,1.813333,2.133333,0.000000,5.502620
0.020000,2.387602,3.791461,0.807467,1.856000,2.133333,-0.000000,5.477793
0.020000,2.413293,3.764082,0.845013,1.898667,2.133333,0.000000,5.454559
0.020000,2.438935,3.735499,0.883413,1.941333,2.133333,-0.000000,5.433026
0.020000,2.464539,3.705746,0.922667,1.984000,2.133333,-0.000000,5.413289
0.020000,2.490123,3.674860,0.962773,2.026667,2.133333,0.000000,5.395433
0.020000,2.515715,3.642880,1.003733,2.069333,2.133333,-0.000000,5.379533
0.020000,2.541352,3.609848,1.045547,2.112000,2.133333,0.000000,5.365661
0.020000,2.567077,3.575810,1.088213,2.154667,2.133333,0.000000,5.353885
0.020000,2.592945,3.540812,1.131733,2.197333,2.133333,-0.000000,5.344279
0.020000,2.619016,3.504905,1.176107,2.240000,2.133333,0.000000,5.336923
0.020000,2.645361,3.468144,1.221333,2.282667,2.133333,0.000000,5.331907
0.020000,2.672060,3.430587,1.267413,2.325333,2.133333,-0.000000,5.329334
0.020000,2.699205,3.392300,1.314347,2.368000,2.133333,0.000000,5.329326
0.020000,2.726895,3.353354,1.362133,2.410667,2.133333,0.000000,5.332028
0.020000,2.755243,3.313829,1.410773,2.453333,2.133333,0.000000,5.337609
0.020000,2.784374,3.273816,1.460267,2.496000,2.133333,0.000000,5.346268
0.020000,2.814424,3.233422,1.510613,2.538667,2.133333,-0.000000,5.358238
0.020000,2.845545,3.192766,1.561813,2.581333,2.133333,0.000000,5.373784
0.020000,2.877901,3.151992,1.613867,2.624000,2.133333,0.000000,5.393207
0.020000,2.911672,3.111266,1.666773,2.666667,2.133333,0.000000,5.416841
0.020000,2.947046,3.070787,1.720533,2.709333,2.133333,-0.000000,5.445042
0.020000,2.984224,3.030785,1.775147,2.752000,2.133333,0.000000,5.478171
0.020000,3.023410,2.991535,1.830613,2.794667,2.133333,-0.000000,5.516568
0.020000,3.064805,2.953352,1.886933,2.837333,2.133333,0.000000,5.560508
0.020000,3.108592,2.916599,1.944107,2.880000,2.133333,0.000000,5.610138
0.020000,3.154927,2.881680,2.002133,2.922667,2.133333,-0.000000,5.665406
0.020000,3.203916,2.849033,2.061013,2.965333,2.133333,0.000000,5.725977
0.020000,3.255599,2.819105,2.120747,3.008000,2.133333,-0.000000,5.791174
0.020000,3.309937,2.792333,2.181333,3.050667,2.133333,0.000000,5.859957
0.020000,3.366803,2.769107,2.242773,3.093333,2.133333,0.000000,5.930973
0.020000,3.425994,2.749736,2.305067,3.136000,2.133333,-0.000000,6.002685
0.020000,3.485319,2.734161,2.368213,3.178667,2.133333,0.000000,6.037466
0.020000,3.547302,2.719102,2.432000,3.200000,1.066667,-53.333333,6.052021
0.020000,3.609698,2.704864,2.496000,3.200000,0.000000,-53.333333,6.065474
0.020000,3.672272,2.691431,2.560000,3.200000,0.000000,0.000000,6.077760
0.020000,3.734999,2.678730,2.624000,3.200000,0.000000,0.000000,6.088872
0.020000,3.797856,2.666690,2.688000,3.200000,0.000000,0.000000,6.098802
0.020000,3.860822,2.655238,2.752000,3.200000,0.000000,0.000000,6.107548
0.020000,3.923881,2.644300,2.816000,3.200000,0.000000,0.000000,6.115108
0.020000,3.987013,2.633801,2.880000,3.200000,0.000000,0.000000,6.121483
0.020000,4.050206,2.623667,2.944000,3.200000,0.000000,0.000000,6.126672
0.020000,4.113444,2.613824,3.008000,3.200000,0.000000,0.000000,6.130678
0.020000,4.176716,2.604197,3.072000,3.200000,0.000000,0.000000,6.133501
0.020000,4.240009,2.594711,3.136000,3.200000,0.000000,0.000000,6.135143
0.020000,4.303312,2.585291,3.200000,3.200000,0.000000,0.000000,6.135605
0.020000,4.366614,2.575864,3.264000,3.200000,0.000000,0.000000,6.134886
0.020000,4.429904,2.566354,3.328000,3.200000,0.000000,0.000000,6.132987
0.020000,4.493169,2.556686,3.392000,3.200000,0.000000,0.000000,6.129906
0.020000,4.556399,2.546786,3.456000,3.200000,0.000000,0.000000,6.125642
0.020000,4.619580,2.536579,3.520000,3.200000,0.000000,0.000000,6.120195
0.020000,4.682697,2.525990,3.584000,3.200000,0.000000,0.000000,6.113562
0.020000,4.745737,2.514946,3.648000,3.200000,0.000000,0.000000,6.105744
0.020000,4.808682,2.503372,3.712000,3.200000,0.000000,0.000000,6.096740
0.020000,4.871512,2.491195,3.776000,3.200000,0.000000,0.000000,6.086552
0.020000,4.934208,2.478341,3.840000,3.200000,0.000000,0.000000,6.075183
0.020000,4.996745,2.464738,3.904000,3.200000,0.000000,0.000000,6.062642
0.020000,5.059098,2.450316,3.968000,3.200000,0.000000,0.000000,6.048936
0.020000,5.121239,2.435005,4.032000,3.200000,0.000000,0.000000,6.034082
0.020000,5.183137,2.418738,4.096000,3.200000,0.000000,0.000000,6.018097
0.020000,5.242197,2.402542,4.160000,3.200000,0.000000,0.000000,6.031590
0.020000,5.304645,2.388577,4.224000,3.200000,0.000000,0.000000,6.093515
0.020000,5.367801,2.378267,4.288000,3.200000,0.000000,0.000000,6.147999
0.020000,5.431402,2.371185,4.352000,3.200000,0.000000,0.000000,6.195465
0.020000,5.495255,2.366920,4.416000,3.200000,0.000000,0.000000,6.236476
0.020000,5.559225,2.365086,4.480000,3.200000,0.000000,0.000000,6.271640
0.020000,5.623222,2.365330,4.544000,3.200000,0.000000,0.000000,0.018359
0.020000,5.687189,2.367334,4.608000,3.200000,0.000000,0.000000,0.043532
0.020000,5.751094,2.370809,4.672000,3.200000,0.000000,0.000000,0.064437
0.020000,5.814921,2.375493,4.736000,3.200000,0.000000,0.000000,0.081459
0.020000,5.878670,2.381148,4.800000,3.200000,0.000000,0.000000,0.094914
0.020000,5.942349,2.387553,4.864000,3.200000,0.000000,0.000000,0.105050
0.020000,6.005970,2.394503,4.928000,3.200000,0.000000,0.000000,0.112052
0.020000,6.069553,2.401802,4.992000,3.200000,0.000000,0.000000,0.116048
0.020000,6.133117,2.409262,5.056000,3.200000,0.000000,0.000000,0.117110
0.020000,6.196683,2.416696,5.120000,3.200000,0.000000,0.000000,0.115256
0.020000,6.260274,2.423920,5.184000,3.200000,0.000000,0.000000,0.110455
0.020000,6.323910,2.430741,5.248000,3.200000,0.000000,0.000000,0.102618
0.020000,6.387606,2.436964,5.312000,3.200000,0.000000,0.000000,0.091603
