dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.675284,3.826846,0.000213,0.021333,1.066667,53.333333,0.002278
0.020000,1.675074,3.826845,0.000424,0.010510,-0.541164,-80.391543,0.001534
0.020000,1.674653,3.826845,0.000844,0.021039,0.526447,53.380582,0.000045
0.020000,1.676529,3.826843,0.002720,0.093808,3.638440,155.599649,6.280991
0.020000,1.679096,3.826834,0.005287,0.128317,1.725480,-95.648029,6.277994
0.020000,1.682298,3.826811,0.008490,0.160135,1.590868,-6.730607,6.274227
0.020000,1.686133,3.826768,0.012324,0.191739,1.580189,-0.533947,6.269679
0.020000,1.690595,3.826696,0.016787,0.223132,1.569687,-0.525082,6.264333
0.020000,1.695679,3.826584,0.021872,0.254251,1.555929,-0.687891,6.258171
0.020000,1.701379,3.826422,0.027574,0.285122,1.543571,-0.617918,6.251172
0.020000,1.707687,3.826195,0.033887,0.315619,1.524820,-0.937531,6.243313
0.020000,1.714596,3.825889,0.040803,0.345790,1.508570,-0.812517,6.234568
0.020000,1.722096,3.825488,0.048313,0.375520,1.486508,-1.103117,6.224909
0.020000,1.730177,3.824974,0.056410,0.404868,1.467399,-0.955429,6.214306
0.020000,1.738828,3.824327,0.065085,0.433747,1.443957,-1.172090,6.202728
0.020000,1.748036,3.823526,0.074329,0.462163,1.420775,-1.159129,6.190141
0.020000,1.757789,3.822549,0.084130,0.490091,1.396405,-1.218487,6.176512
0.020000,1.768073,3.821372,0.094481,0.517542,1.372557,-1.192415,6.161806
0.020000,1.778872,3.819968,0.105371,0.544515,1.348633,-1.196200,6.145989
0.020000,1.790172,3.818310,0.116792,0.571043,1.326417,-1.110777,6.129028
0.020000,1.801956,3.816370,0.128735,0.597134,1.304548,-1.093472,6.110896
0.020000,1.814209,3.814116,0.141193,0.622889,1.287771,-0.838815,6.091567
0.020000,1.826912,3.811516,0.154160,0.648354,1.273232,-0.726949,6.071021
0.020000,1.840052,3.808536,0.167633,0.673676,1.266110,-0.356112,6.049246
0.020000,1.853613,3.805140,0.181613,0.698972,1.264767,-0.067149,6.026243
0.020000,1.867580,3.801289,0.196101,0.724416,1.272215,0.372414,6.002021
0.020000,1.881942,3.796943,0.211106,0.750247,1.291577,0.968059,5.976606
0.020000,1.896687,3.792059,0.226639,0.776664,1.320812,1.461781,5.950043
0.020000,1.911809,3.786592,0.242719,0.803992,1.366395,2.279151,5.922394
0.020000,1.927301,3.780491,0.259369,0.832490,1.424940,2.927225,5.893742
0.020000,1.943161,3.773707,0.276619,0.862500,1.500455,3.775747,5.864195
0.020000,1.959388,3.766182,0.294506,0.894342,1.592144,4.584482,5.833881
0.020000,1.975984,3.757860,0.313072,0.928317,1.698738,5.329699,5.802953
0.020000,1.992954,3.748677,0.332367,0.964724,1.820319,6.079039,5.771582
0.020000,2.010301,3.738571,0.352443,1.003809,1.954257,6.696921,5.739958
0.020000,2.028030,3.727476,0.373358,1.045752,2.097142,7.144252,5.708282
0.020000,2.046147,3.715325,0.395172,1.090683,2.246577,7.471708,5.676767
0.020000,2.064652,3.702054,0.417944,1.138638,2.397739,7.558107,5.645626
0.020000,2.083549,3.687599,0.441736,1.189590,2.547631,7.494632,5.615072
0.020000,2.102837,3.671900,0.466605,1.243436,2.692280,7.232409,5.585308
0.020000,2.122512,3.654904,0.492605,1.300009,2.828658,6.818913,5.556529
0.020000,2.142573,3.636562,0.519787,1.359102,2.954655,6.299842,5.528913
0.020000,2.163015,3.616833,0.548196,1.420469,3.068315,5.682994,5.502620
0.020000,2.183836,3.595685,0.577874,1.483861,3.169600,5.064261,5.477793
0.020000,2.205034,3.573093,0.608854,1.549024,3.258187,4.429372,5.454559
0.020000,2.226612,3.549038,0.641169,1.615735,3.335527,3.866999,5.433026
0.020000,2.248578,3.523512,0.674845,1.683789,3.402730,3.360134,5.413289
0.020000,2.270942,3.496511,0.709905,1.753027,3.461893,2.958181,5.395433
0.020000,2.293727,3.468038,0.746372,1.823335,3.515397,2.675152,5.379533
0.020000,2.316959,3.438103,0.784265,1.894645,3.565473,2.503839,5.365661
0.020000,2.340678,3.406718,0.823604,1.966945,3.615018,2.477228,5.353885
0.020000,2.364931,3.373903,0.864409,2.040280,3.666722,2.585220,5.344279
0.020000,2.389781,3.339678,0.906704,2.114732,3.722637,2.795717,5.336923
0.020000,2.415300,3.304069,0.950513,2.190454,3.786102,3.173255,5.331907
0.020000,2.441578,3.267105,0.995866,2.267646,3.859582,3.674034,5.329334
0.020000,2.468722,3.228819,1.042797,2.346560,3.945699,4.305855,5.329326
0.020000,2.496854,3.189251,1.091347,2.427507,4.047359,5.082990,5.332028
0.020000,2.526122,3.148444,1.141564,2.510851,4.167188,5.991428,5.337609
0.020000,2.556693,3.106454,1.193504,2.597005,4.307726,7.026922,5.346268
0.020000,2.588763,3.063346,1.247233,2.686432,4.471323,8.179837,5.358238
0.020000,2.622555,3.019203,1.302825,2.779617,4.659256,9.396640,5.373784
0.020000,2.658324,2.974131,1.360366,2.877049,4.871612,10.617828,5.393207
0.020000,2.696359,2.928266,1.419950,2.979184,5.106717,11.755251,5.416841
0.020000,2.736979,2.881788,1.481677,3.086335,5.357582,12.543238,5.445042
0.020000,2.780533,2.834932,1.545649,3.198589,5.612690,12.755365,5.478171
0.020000,2.827387,2.788007,1.611961,3.315636,5.852324,11.981709,5.516568
0.020000,2.877911,2.741410,1.680692,3.436539,6.045195,9.643565,5.560508
0.020000,2.932443,2.695646,1.751882,3.559516,6.148850,5.182731,5.610138
0.020000,2.991252,2.651335,1.825517,3.681727,6.110510,-1.916971,5.665406
0.020000,3.054485,2.609201,1.901501,3.799210,5.874172,-11.816891,5.725977
0.020000,3.122111,2.570048,1.979643,3.907116,5.395287,-23.944270,5.791174
0.020000,3.193881,2.534691,2.059651,4.000361,4.662251,-36.651814,5.859957
