dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.602171,4.344079,0.000213,0.021333,1.066667,53.333333,0.002113
0.020000,1.602245,4.344079,0.000288,0.003724,-0.880461,-97.356377,0.001849
0.020000,1.602394,4.344079,0.000437,0.007452,0.186384,53.342233,0.001322
0.020000,1.602618,4.344080,0.000661,0.011187,0.186740,0.017794,0.000530
0.020000,1.604619,4.344079,0.002661,0.100037,4.442518,212.788893,6.282658
0.020000,1.609259,4.344074,0.007302,0.232024,6.599377,107.842984,6.281334
0.020000,1.614830,4.344059,0.012873,0.278573,2.327441,-213.596833,6.279739
0.020000,1.621331,4.344030,0.019374,0.325046,2.323644,-0.189809,6.277872
0.020000,1.628763,4.343983,0.026806,0.371609,2.328159,0.225721,6.275729
0.020000,1.637128,4.343911,0.035171,0.418233,2.331163,0.150221,6.273306
0.020000,1.646425,4.343806,0.044469,0.464886,2.332657,0.074677,6.270600
0.020000,1.656656,4.343662,0.054701,0.511599,2.335660,0.150169,6.267605
0.020000,1.667825,4.343470,0.065871,0.558538,2.346949,0.564460,6.264316
0.020000,1.679929,4.343220,0.077978,0.605322,2.339217,-0.386628,6.260727
0.020000,1.692972,4.342901,0.091025,0.652339,2.350855,0.581912,6.256833
0.020000,1.706955,4.342503,0.105014,0.699473,2.356677,0.291086,6.252626
0.020000,1.721880,4.342013,0.119947,0.746627,2.357722,0.052240,6.248099
0.020000,1.737747,4.341418,0.135825,0.793895,2.363366,0.282213,6.243244
0.020000,1.754559,4.340702,0.152652,0.841363,2.373410,0.502194,6.238052
0.020000,1.772317,4.339851,0.170431,0.888939,2.378828,0.270910,6.232515
0.020000,1.791021,4.338847,0.189161,0.936529,2.379468,0.031998,6.226623
0.020000,1.810674,4.337673,0.208850,0.984438,2.395487,0.800953,6.220364
0.020000,1.831278,4.336308,0.229499,1.032426,2.399376,0.194445,6.213730
0.020000,1.852831,4.334733,0.251110,1.080549,2.406126,0.337525,6.206707
0.020000,1.875336,4.332925,0.273686,1.128849,2.415045,0.445954,6.199285
0.020000,1.898791,4.330860,0.297232,1.177291,2.422078,0.351609,6.191451
0.020000,1.923201,4.328513,0.321755,1.226127,2.441794,0.985815,6.183189
0.020000,1.948559,4.325857,0.347252,1.274839,2.435630,-0.308209,6.174490
0.020000,1.974870,4.322864,0.373733,1.324054,2.460722,1.254615,6.165335
0.020000,2.002130,4.319504,0.401199,1.373293,2.461936,0.060692,6.155713
0.020000,2.030336,4.315744,0.429654,1.422768,2.473755,0.590942,6.145607
0.020000,2.059485,4.311551,0.459103,1.472439,2.483546,0.489585,6.135002
0.020000,2.089575,4.306889,0.489552,1.522485,2.502312,0.938272,6.123883
0.020000,2.120598,4.301719,0.521003,1.572520,2.501759,-0.027656,6.112234
0.020000,2.152550,4.296003,0.553463,1.622998,2.523899,1.107030,6.100039
0.020000,2.185422,4.289698,0.586934,1.673546,2.527396,0.174827,6.087283
0.020000,2.219204,4.282760,0.621420,1.724324,2.538920,0.576229,6.073952
0.020000,2.253883,4.275144,0.656926,1.775314,2.549499,0.528904,6.060031
0.020000,2.289449,4.266802,0.693458,1.826567,2.562654,0.657750,6.045506
0.020000,2.325883,4.257683,0.731015,1.877870,2.565110,0.122817,6.030367
0.020000,2.363167,4.247738,0.769602,1.929365,2.574752,0.482093,6.014603
0.020000,2.401279,4.236912,0.809223,1.981005,2.582024,0.363638,5.998204
0.020000,2.440195,4.225151,0.849877,2.032698,2.584621,0.129807,5.981167
0.020000,2.479885,4.212401,0.891564,2.084390,2.584647,0.001342,5.963488
0.020000,2.520319,4.198603,0.934288,2.136165,2.588734,0.204344,5.945167
0.020000,2.561460,4.183703,0.978044,2.187819,2.582695,-0.301977,5.926209
0.020000,2.603268,4.167643,1.022831,2.239327,2.575406,-0.364425,5.906624
0.020000,2.645700,4.150367,1.068644,2.290692,2.568246,-0.358007,5.886425
0.020000,2.688706,4.131821,1.115479,2.341726,2.551681,-0.828276,5.865632
0.020000,2.732234,4.111952,1.163328,2.392442,2.535823,-0.792900,5.844270
0.020000,2.776227,4.090708,1.212181,2.442674,2.511592,-1.211508,5.822372
0.020000,2.820624,4.068044,1.262029,2.492366,2.484575,-1.350893,5.799976
0.020000,2.865361,4.043915,1.312858,2.541465,2.454955,-1.480995,5.777125
0.020000,2.910369,4.018282,1.364653,2.589772,2.415354,-1.980043,5.753874
0.020000,2.955580,3.991113,1.417400,2.637328,2.377812,-1.877090,5.730278
0.020000,3.000921,3.962379,1.471078,2.683931,2.330141,-2.383530,5.706402
0.020000,3.046318,3.932058,1.525670,2.729588,2.282882,-2.362972,5.682315
0.020000,3.091699,3.900137,1.581154,2.774163,2.228742,-2.706992,5.658092
0.020000,3.136992,3.866607,1.637507,2.817661,2.174876,-2.693325,5.633811
0.020000,3.182125,3.831468,1.694707,2.860008,2.117348,-2.876371,5.609552
0.020000,3.227033,3.794724,1.752731,2.901199,2.059565,-2.889180,5.585398
0.020000,3.271650,3.756388,1.811555,2.941222,2.001128,-2.921856,5.561430
0.020000,3.315918,3.716479,1.871157,2.980094,1.943602,-2.876279,5.537732
0.020000,3.359784,3.675022,1.931514,3.017834,1.887019,-2.829143,5.514382
0.020000,3.403199,3.632044,1.992604,3.054490,1.832801,-2.710904,5.491458
0.020000,3.446124,3.587581,2.054406,3.090114,1.781223,-2.578880,5.469032
0.020000,3.488524,3.541668,2.116901,3.124775,1.733021,-2.410101,5.447173
0.020000,3.530372,3.494347,2.180072,3.158539,1.688217,-2.240239,5.425944
0.020000,3.571648,3.445660,2.243902,3.191488,1.647433,-2.039173,5.405404
0.020000,3.612341,3.395649,2.308376,3.223708,1.611028,-1.820274,5.385603
0.020000,3.652445,3.344362,2.373482,3.255269,1.578034,-1.649673,5.366588
0.020000,3.691959,3.291842,2.439206,3.286246,1.548855,-1.458970,5.348401
0.020000,3.730893,3.238135,2.505541,3.316726,1.524009,-1.242290,5.331077
0.020000,3.769259,3.183286,2.572476,3.346768,1.502074,-1.096731,5.314647
0.020000,3.807077,3.127341,2.640005,3.376424,1.482800,-0.963724,5.299138
0.020000,3.844247,3.070532,2.707893,3.394424,0.900004,-29.139788,5.284620
0.020000,3.880570,3.013288,2.775689,3.389765,-0.232949,-56.647650,5.271187
0.020000,3.915989,2.955849,2.843170,3.374092,-0.783666,-27.535884,5.258864
0.020000,3.950571,2.898258,2.910346,3.358784,-0.765361,0.915255,5.247624
0.020000,3.984383,2.840558,2.977223,3.343856,-0.746448,0.945688,5.237441
0.020000,4.017491,2.782787,3.043809,3.329276,-0.728994,0.872699,5.228291
0.020000,4.049958,2.724980,3.110109,3.315025,-0.712548,0.822269,5.220149
0.020000,4.081848,2.667171,3.176131,3.301076,-0.697427,0.756081,5.212995
0.020000,4.113152,2.609521,3.241732,3.280052,-1.051212,-17.689247,5.206821
0.020000,4.143760,2.552379,3.306555,3.241153,-1.944942,-44.686501,5.201630
0.020000,4.173604,2.496027,3.370322,3.188361,-2.639587,-34.732246,5.197404
0.020000,4.202719,2.440549,3.432975,3.132665,-2.784808,-7.261094,5.194100
0.020000,4.231166,2.385965,3.494527,3.077602,-2.753183,1.581284,5.191673
0.020000,4.259002,2.332292,3.554990,3.023113,-2.724445,1.436862,5.190084
0.020000,4.286278,2.279543,3.614373,2.969165,-2.697367,1.353908,5.189292
0.020000,4.313042,2.227734,3.672687,2.915716,-2.672451,1.245800,5.189264
0.020000,4.339337,2.176874,3.729942,2.862730,-2.649292,1.157964,5.189966
0.020000,4.365202,2.126976,3.786145,2.810179,-2.627577,1.085758,5.191368
0.020000,4.390672,2.078048,3.841306,2.758031,-2.607395,1.009114,5.193441
0.020000,4.415779,2.030098,3.895431,2.706266,-2.588243,0.957574,5.196158
0.020000,4.440551,1.983133,3.948529,2.654859,-2.570347,0.894785,5.199493
0.020000,4.465014,1.937161,4.000605,2.603797,-2.553102,0.862279,5.203422
0.020000,4.489190,1.892186,4.051666,2.553064,-2.536641,0.823046,5.207923
0.020000,4.513099,1.848212,4.101719,2.502646,-2.520902,0.786941,5.212972
0.020000,4.536758,1.805245,4.150769,2.452531,-2.505779,0.756134,5.218548
0.020000,4.560181,1.763285,4.198824,2.402732,-2.489945,0.791732,5.224629
0.020000,4.583381,1.722337,4.245888,2.353211,-2.476015,0.696466,5.231195
0.020000,4.606368,1.682400,4.291968,2.303990,-2.461075,0.747038,5.238224
0.020000,4.629150,1.643475,4.337069,2.255065,-2.446232,0.742111,5.245697
0.020000,4.651732,1.605562,4.381198,2.206435,-2.431492,0.737006,5.253592
0.020000,4.674119,1.568660,4.424360,2.158099,-2.416815,0.733859,5.261888
0.020000,4.696314,1.532766,4.466561,2.110056,-2.402155,0.733003,5.270564
0.020000,4.718316,1.497878,4.507808,2.062337,-2.385930,0.811245,5.279599
0.020000,4.740125,1.463991,4.548106,2.014911,-2.371301,0.731478,5.288969
0.020000,4.761738,1.431101,4.587462,1.967812,-2.354973,0.816360,5.298654
0.020000,4.783153,1.399201,4.625883,1.921042,-2.338489,0.824224,5.308629
0.020000,4.804363,1.368286,4.663375,1.874605,-2.321849,0.831992,5.318871
0.020000,4.825363,1.338346,4.699945,1.828504,-2.305049,0.840002,5.329356
0.020000,4.846146,1.309375,4.735600,1.782743,-2.288075,0.848688,5.340059
0.020000,4.866703,1.281361,4.770347,1.737358,-2.269224,0.942564,5.350956
0.020000,4.887026,1.254296,4.804194,1.692314,-2.252217,0.850354,5.362020
0.020000,4.907105,1.228167,4.837147,1.647642,-2.233609,0.930397,5.373226
0.020000,4.926929,1.202962,4.869213,1.603341,-2.215019,0.929495,5.384549
0.020000,4.946487,1.178668,4.900402,1.559412,-2.196470,0.927445,5.395960
0.020000,4.965769,1.155272,4.930719,1.515853,-2.177971,0.924952,5.407434
0.020000,4.984760,1.132760,4.960172,1.472682,-2.158510,0.973082,5.418945
0.020000,5.003451,1.111115,4.988770,1.429870,-2.140594,0.895759,5.430465
0.020000,5.021827,1.090323,5.016518,1.387435,-2.121762,0.941628,5.441969
0.020000,5.039876,1.070368,5.043426,1.345368,-2.103362,0.919997,5.453431
0.020000,5.057586,1.051232,5.069499,1.303660,-2.085400,0.898090,5.464825
0.020000,5.074943,1.032899,5.094745,1.262303,-2.067861,0.876949,5.476127
0.020000,5.091935,1.015352,5.119171,1.221292,-2.050557,0.865218,5.487311
0.020000,5.108548,0.998572,5.142783,1.180613,-2.033931,0.831266,5.498354
0.020000,5.124770,0.982544,5.165588,1.140258,-2.017730,0.810081,5.509234
0.020000,5.140588,0.967248,5.187593,1.100212,-2.002312,0.770906,5.519928
0.020000,5.155990,0.952666,5.208802,1.060462,-1.987491,0.741050,5.530416
0.020000,5.170964,0.938783,5.229222,1.020993,-1.973445,0.702304,5.540678
0.020000,5.185497,0.925578,5.248858,0.981796,-1.959898,0.677349,5.550694
0.020000,5.199579,0.913037,5.267714,0.942844,-1.947591,0.615309,5.560448
0.020000,5.213197,0.901140,5.285797,0.904132,-1.935588,0.600146,5.569921
0.020000,5.226341,0.889873,5.303110,0.865641,-1.924524,0.553213,5.579099
0.020000,5.239001,0.879217,5.319657,0.827358,-1.914164,0.518015,5.587967
0.020000,5.251165,0.869158,5.335442,0.789254,-1.905189,0.448726,5.596511
0.020000,5.262826,0.859679,5.350469,0.751342,-1.895623,0.478306,5.604720
0.020000,5.273971,0.850766,5.364740,0.713572,-1.888484,0.356940,5.612581
0.020000,5.284594,0.842404,5.378260,0.675961,-1.880560,0.396205,5.620085
0.020000,5.294686,0.834579,5.391029,0.638481,-1.874000,0.328028,5.627222
0.020000,5.304238,0.827279,5.403052,0.601125,-1.867820,0.308975,5.633983
0.020000,5.313243,0.820490,5.414329,0.563858,-1.863333,0.224349,5.640361
0.020000,5.321693,0.814200,5.424863,0.526717,-1.857034,0.314953,5.646350
0.020000,5.329583,0.808399,5.434656,0.489631,-1.854294,0.137030,5.651942
0.020000,5.336905,0.803075,5.443709,0.452642,-1.849447,0.242335,5.657132
0.020000,5.343654,0.798219,5.452023,0.415719,-1.846175,0.163583,5.661917
0.020000,5.349825,0.793823,5.459600,0.378852,-1.843369,0.140326,5.666291
0.020000,5.355412,0.789876,5.466441,0.342024,-1.841372,0.099854,5.670251
0.020000,5.360412,0.786373,5.472546,0.305264,-1.837981,0.169512,5.673794
0.020000,5.364821,0.783306,5.477916,0.268526,-1.836919,0.053146,5.676917
0.020000,5.368635,0.780669,5.482553,0.231819,-1.835374,0.077235,5.679618
0.020000,5.371851,0.778458,5.486456,0.195149,-1.833495,0.093946,5.681896
0.020000,5.374466,0.776667,5.489625,0.158481,-1.833398,0.004829,5.683747
0.020000,5.376479,0.775294,5.492062,0.121850,-1.831522,0.093822,5.685172
0.020000,5.377888,0.774335,5.493767,0.085226,-1.831229,0.014635,5.686169
0.020000,5.378692,0.773788,5.494739,0.048616,-1.830469,0.038034,5.686738
0.020000,5.378993,0.773584,5.495102,0.018155,-1.523066,15.370114,5.686951
