dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.602768,4.061505,0.000213,0.021333,1.066667,53.333333,0.002113
0.020000,1.602768,4.061505,0.001067,0.064000,2.133333,53.333333,0.001849
0.020000,1.602768,4.061505,0.002773,0.106667,2.133333,0.000000,0.001322
0.020000,1.602768,4.061505,0.005333,0.149333,2.133333,0.000000,0.000530
0.020000,1.604470,4.061504,0.008747,0.192000,2.133333,-0.000000,6.282658
0.020000,1.608736,4.061499,0.013013,0.234667,2.133333,0.000000,6.281334
0.020000,1.613857,4.061486,0.018133,0.277333,2.133333,0.000000,6.279739
0.020000,1.619830,4.061459,0.024107,0.320000,2.133333,0.000000,6.277872
0.020000,1.626656,4.061416,0.030933,0.362667,2.133333,-0.000000,6.275729
0.020000,1.634336,4.061349,0.038613,0.405333,2.133333,0.000000,6.273306
0.020000,1.642869,4.061253,0.047147,0.448000,2.133333,0.000000,6.270600
0.020000,1.652253,4.061121,0.056533,0.490667,2.133333,-0.000000,6.267605
0.020000,1.662493,4.060945,0.066773,0.533333,2.133333,0.000000,6.264316
0.020000,1.673583,4.060716,0.077867,0.576000,2.133333,-0.000000,6.260727
0.020000,1.685526,4.060424,0.089813,0.618667,2.133333,0.000000,6.256833
0.020000,1.698321,4.060060,0.102613,0.661333,2.133333,-0.000000,6.252626
0.020000,1.711967,4.059612,0.116267,0.704000,2.133333,0.000000,6.248099
0.020000,1.726463,4.059068,0.130773,0.746667,2.133333,-0.000000,6.243244
0.020000,1.741810,4.058415,0.146133,0.789333,2.133333,0.000000,6.238052
0.020000,1.758005,4.057639,0.162347,0.832000,2.133333,-0.000000,6.232515
0.020000,1.775046,4.056724,0.179413,0.874667,2.133333,0.000000,6.226623
0.020000,1.792935,4.055655,0.197333,0.917333,2.133333,0.000000,6.220364
0.020000,1.811667,4.054415,0.216107,0.960000,2.133333,-0.000000,6.213730
0.020000,1.831242,4.052984,0.235733,1.002667,2.133333,0.000000,6.206707
0.020000,1.851656,4.051344,0.256213,1.045333,2.133333,-0.000000,6.199285
0.020000,1.872905,4.049473,0.277547,1.088000,2.133333,0.000000,6.191451
0.020000,1.894992,4.047349,0.299733,1.130667,2.133333,0.000000,6.183189
0.020000,1.917905,4.044950,0.322773,1.173333,2.133333,0.000000,6.174490
0.020000,1.941646,4.042249,0.346667,1.216000,2.133333,0.000000,6.165335
0.020000,1.966207,4.039222,0.371413,1.258667,2.133333,-0.000000,6.155713
0.020000,1.991582,4.035839,0.397013,1.301333,2.133333,0.000000,6.145607
0.020000,2.017765,4.032073,0.423467,1.344000,2.133333,-0.000000,6.135002
0.020000,2.044750,4.027892,0.450773,1.386667,2.133333,0.000000,6.123883
0.020000,2.072526,4.023263,0.478933,1.429333,2.133333,0.000000,6.112234
0.020000,2.101087,4.018154,0.507947,1.472000,2.133333,0.000000,6.100039
0.020000,2.130418,4.012528,0.537813,1.514667,2.133333,-0.000000,6.087283
0.020000,2.160510,4.006348,0.568533,1.557333,2.133333,0.000000,6.073952
0.020000,2.191348,3.999576,0.600107,1.600000,2.133333,0.000000,6.060031
0.020000,2.222918,3.992171,0.632533,1.642667,2.133333,0.000000,6.045506
0.020000,2.255202,3.984091,0.665813,1.685333,2.133333,0.000000,6.030367
0.020000,2.288181,3.975294,0.699947,1.728000,2.133333,0.000000,6.014603
0.020000,2.321836,3.965734,0.734933,1.770667,2.133333,-0.000000,5.998204
0.020000,2.356143,3.955366,0.770773,1.813333,2.133333,0.000000,5.981167
0.020000,2.391077,3.944144,0.807467,1.856000,2.133333,-0.000000,5.963488
0.020000,2.426612,3.932018,0.845013,1.898667,2.133333,0.000000,5.945167
0.020000,2.462716,3.918942,0.883413,1.941333,2.133333,-0.000000,5.926209
0.020000,2.499358,3.904867,0.922667,1.984000,2.133333,-0.000000,5.906624
0.020000,2.536504,3.889743,0.962773,2.026667,2.133333,0.000000,5.886425
0.020000,2.574115,3.873524,1.003733,2.069333,2.133333,-0.000000,5.865632
0.020000,2.612152,3.856161,1.045547,2.112000,2.133333,0.000000,5.844270
0.020000,2.650573,3.837608,1.088213,2.154667,2.133333,0.000000,5.822372
0.020000,2.689333,3.817821,1.131733,2.197333,2.133333,-0.000000,5.799976
0.020000,2.728387,3.796757,1.176107,2.240000,2.133333,0.000000,5.777125
0.020000,2.767686,3.774376,1.221333,2.282667,2.133333,0.000000,5.753874
0.020000,2.807182,3.750641,1.267413,2.325333,2.133333,-0.000000,5.730278
0.020000,2.846824,3.725519,1.314347,2.368000,2.133333,0.000000,5.706402
0.020000,2.886561,3.698978,1.362133,2.410667,2.133333,0.000000,5.682315
0.020000,2.926344,3.670995,1.410773,2.453333,2.133333,0.000000,5.658092
0.020000,2.966122,3.641547,1.460267,2.496000,2.133333,0.000000,5.633811
0.020000,3.005847,3.610618,1.510613,2.538667,2.133333,-0.000000,5.609552
0.020000,3.045472,3.578196,1.561813,2.581333,2.133333,0.000000,5.585398
0.020000,3.084952,3.544274,1.613867,2.624000,2.133333,0.000000,5.561430
0.020000,3.124246,3.508849,1.666773,2.666667,2.133333,0.000000,5.537732
0.020000,3.163316,3.471923,1.720533,2.709333,2.133333,-0.000000,5.514382
0.020000,3.202128,3.433502,1.775147,2.752000,2.133333,0.000000,5.491458
0.020000,3.240651,3.393597,1.830613,2.794667,2.133333,-0.000000,5.469032
0.020000,3.278860,3.352222,1.886933,2.837333,2.133333,0.000000,5.447173
0.020000,3.316734,3.309394,1.944107,2.880000,2.133333,0.000000,5.425944
0.020000,3.354257,3.265134,2.002133,2.922667,2.133333,-0.000000,5.405404
0.020000,3.391418,3.219463,2.061013,2.965333,2.133333,0.000000,5.385603
0.020000,3.428211,3.172408,2.120747,3.008000,2.133333,-0.000000,5.366588
0.020000,3.464636,3.123994,2.181333,3.050667,2.133333,0.000000,5.348401
0.020000,3.500696,3.074251,2.242773,3.093333,2.133333,0.000000,5.331077
0.020000,3.536401,3.023206,2.305067,3.136000,2.133333,-0.000000,5.314647
0.020000,3.571764,2.970891,2.368213,3.178667,2.133333,0.000000,5.299138
0.020000,3.606688,2.917515,2.432000,3.200000,1.066667,-53.333333,5.284620
0.020000,3.640977,2.863476,2.496000,3.200000,0.000000,-53.333333,5.271187
0.020000,3.674568,2.809000,2.560000,3.200000,0.000000,0.000000,5.258864
0.020000,3.707514,2.754133,2.624000,3.200000,0.000000,0.000000,5.247624
0.020000,3.739871,2.698915,2.688000,3.200000,0.000000,0.000000,5.237441
0.020000,3.771693,2.643387,2.752000,3.200000,0.000000,0.000000,5.228291
0.020000,3.803034,2.587586,2.816000,3.200000,0.000000,0.000000,5.220149
0.020000,3.833947,2.531547,2.880000,3.200000,0.000000,0.000000,5.212995
0.020000,3.864418,2.475430,2.943857,3.185658,-0.717076,-35.853819,5.206821
0.020000,3.894334,2.419581,3.007213,3.149984,-1.783743,-53.333333,5.201630
0.020000,3.923619,2.364284,3.069786,3.107317,-2.133333,-17.479515,5.197404
0.020000,3.952300,2.309634,3.131506,3.064650,-2.133333,0.000000,5.194100
0.020000,3.980430,2.255657,3.192372,3.021984,-2.133333,-0.000000,5.191673
0.020000,4.008059,2.202383,3.252385,2.979317,-2.133333,0.000000,5.190084
0.020000,4.035233,2.149833,3.311545,2.936650,-2.133333,0.000000,5.189292
0.020000,4.061993,2.098030,3.369851,2.893984,-2.133333,0.000000,5.189264
0.020000,4.088379,2.046995,3.427304,2.851317,-2.133333,-0.000000,5.189966
0.020000,4.114426,1.996745,3.483904,2.808650,-2.133333,0.000000,5.191368
0.020000,4.140167,1.947297,3.539650,2.765984,-2.133333,0.000000,5.193441
0.020000,4.165630,1.898667,3.594543,2.723317,-2.133333,-0.000000,5.196158
0.020000,4.190842,1.850869,3.648583,2.680650,-2.133333,0.000000,5.199493
0.020000,4.215826,1.803916,3.701769,2.637984,-2.133333,-0.000000,5.203422
