dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.603365,3.778930,0.000213,0.021333,1.066667,53.333333,0.002113
0.020000,1.603290,3.778930,0.000288,0.003724,-0.880461,-97.356377,0.001849
0.020000,1.603141,3.778930,0.000437,0.007452,0.186384,53.342233,0.001322
0.020000,1.602917,3.778930,0.000661,0.011187,0.186740,0.017794,0.000530
0.020000,1.604321,3.778929,0.002064,0.070157,2.948523,138.089167,6.282658
0.020000,1.608213,3.778925,0.005956,0.194601,6.222213,163.684512,6.281334
0.020000,1.612883,3.778912,0.010626,0.233512,1.945514,-213.834958,6.279739
0.020000,1.618328,3.778888,0.016072,0.272286,1.938743,-0.338557,6.277872
0.020000,1.624549,3.778849,0.022293,0.311053,1.938321,-0.021116,6.275729
0.020000,1.631545,3.778788,0.029288,0.349773,1.936003,-0.115903,6.273306
0.020000,1.639312,3.778701,0.037056,0.388409,1.931783,-0.210957,6.270600
0.020000,1.647851,3.778581,0.045596,0.426972,1.928180,-0.180183,6.267605
0.020000,1.657161,3.778420,0.054908,0.465589,1.930819,0.131972,6.264316
0.020000,1.667238,3.778212,0.064986,0.503927,1.916926,-0.694663,6.260727
0.020000,1.678080,3.777947,0.075832,0.542297,1.918491,0.078251,6.256833
0.020000,1.689687,3.777617,0.087444,0.580587,1.914496,-0.199751,6.252626
0.020000,1.702055,3.777211,0.099818,0.618703,1.905825,-0.433552,6.248099
0.020000,1.715180,3.776718,0.112952,0.656708,1.900251,-0.278670,6.243244
0.020000,1.729060,3.776128,0.126845,0.694660,1.897568,-0.134154,6.238052
0.020000,1.743693,3.775426,0.141495,0.732466,1.890301,-0.363353,6.232515
0.020000,1.759071,3.774601,0.156895,0.770033,1.878357,-0.597204,6.226623
0.020000,1.775195,3.773638,0.173047,0.807599,1.878297,-0.002997,6.220364
0.020000,1.792057,3.772521,0.189946,0.844949,1.867489,-0.540434,6.213730
0.020000,1.809652,3.771235,0.207588,0.882114,1.858279,-0.460470,6.206707
0.020000,1.827975,3.769763,0.225971,0.919116,1.850090,-0.409450,6.199285
0.020000,1.847020,3.768086,0.245089,0.955909,1.839630,-0.523028,6.191451
0.020000,1.866782,3.766186,0.264943,0.992683,1.838728,-0.045085,6.183189
0.020000,1.887251,3.764043,0.285523,1.029007,1.816189,-1.126964,6.174490
0.020000,1.908421,3.761634,0.306830,1.065373,1.818289,0.105027,6.165335
0.020000,1.930284,3.758940,0.328858,1.101384,1.800549,-0.886991,6.155713
0.020000,1.952828,3.755935,0.351602,1.137201,1.790885,-0.483200,6.145607
0.020000,1.976045,3.752595,0.375058,1.172786,1.779217,-0.583426,6.135002
0.020000,1.999926,3.748895,0.399223,1.208274,1.774416,-0.240026,6.123883
0.020000,2.024455,3.744807,0.424090,1.243358,1.754179,-1.011857,6.112234
0.020000,2.049623,3.740305,0.449658,1.278398,1.752009,-0.108531,6.100039
0.020000,2.075415,3.735358,0.475920,1.313106,1.735410,-0.829907,6.087283
0.020000,2.101816,3.729936,0.502873,1.347621,1.725731,-0.483961,6.073952
0.020000,2.128812,3.724007,0.530512,1.381944,1.716173,-0.477901,6.060031
0.020000,2.156386,3.717540,0.558834,1.416140,1.709818,-0.317767,6.045506
0.020000,2.184520,3.710499,0.587836,1.450076,1.696780,-0.651881,6.030367
0.020000,2.213196,3.702850,0.617514,1.483904,1.691385,-0.269751,6.014603
0.020000,2.242393,3.694556,0.647867,1.517638,1.686695,-0.234533,5.998204
0.020000,2.272092,3.685581,0.678892,1.551268,1.681508,-0.259342,5.981167
0.020000,2.302270,3.675886,0.710589,1.584829,1.678051,-0.172857,5.963488
0.020000,2.332905,3.665433,0.742958,1.618468,1.681960,0.195486,5.945167
0.020000,2.363973,3.654181,0.776001,1.652130,1.683100,0.056986,5.926209
0.020000,2.395448,3.642090,0.809719,1.685908,1.688881,0.289066,5.906624
0.020000,2.427308,3.629119,0.844117,1.719927,1.700948,0.603320,5.886425
0.020000,2.459523,3.615227,0.879201,1.754181,1.712732,0.589195,5.865632
0.020000,2.492069,3.600370,0.914978,1.788829,1.732366,0.981702,5.844270
0.020000,2.524918,3.584508,0.951456,1.823898,1.753482,1.055799,5.822372
0.020000,2.558042,3.567599,0.988646,1.859510,1.780572,1.354518,5.799976
0.020000,2.591413,3.549600,1.026561,1.895788,1.813918,1.667323,5.777125
0.020000,2.625003,3.530470,1.065216,1.932748,1.847979,1.703036,5.753874
0.020000,2.658784,3.510170,1.104628,1.970577,1.891487,2.175384,5.730278
0.020000,2.692727,3.488658,1.144813,2.009275,1.934866,2.168935,5.706402
0.020000,2.726805,3.465898,1.185793,2.048980,1.985279,2.520652,5.682315
0.020000,2.760989,3.441852,1.227587,2.089707,2.036332,2.552684,5.658092
0.020000,2.795252,3.416487,1.270218,2.131552,2.092258,2.796310,5.633811
0.020000,2.829568,3.389769,1.313709,2.174528,2.148799,2.827031,5.609552
0.020000,2.863910,3.361669,1.358082,2.218670,2.207103,2.915216,5.585398
0.020000,2.898254,3.332160,1.403362,2.263978,2.265392,2.914406,5.561430
0.020000,2.932574,3.301218,1.449571,2.310445,2.323378,2.899311,5.537732
0.020000,2.966849,3.268824,1.496731,2.358039,2.379663,2.814278,5.514382
0.020000,3.001056,3.234960,1.544866,2.406720,2.434046,2.719126,5.491458
0.020000,3.035178,3.199614,1.593995,2.456432,2.485609,2.578178,5.469032
0.020000,3.069196,3.162777,1.644137,2.507112,2.534008,2.419908,5.447173
0.020000,3.103096,3.124442,1.695310,2.558683,2.578562,2.227721,5.425944
0.020000,3.136865,3.084608,1.747532,2.611070,2.619323,2.038028,5.405404
0.020000,3.170495,3.043277,1.800816,2.664197,2.656383,1.853028,5.385603
0.020000,3.203978,3.000454,1.855175,2.717977,2.688975,1.629588,5.366588
0.020000,3.237313,2.956147,1.910622,2.772330,2.717651,1.433831,5.348401
0.020000,3.270499,2.910367,1.967166,2.827195,2.743277,1.281262,5.331077
0.020000,3.303543,2.863126,2.024816,2.882500,2.765223,1.097334,5.314647
0.020000,3.336451,2.814441,2.083579,2.938179,2.783947,0.936175,5.299138
0.020000,3.369129,2.764498,2.143263,2.984177,2.299931,-24.200808,5.284620
0.020000,3.401384,2.713664,2.203467,3.010193,1.300771,-49.957986,5.271187
0.020000,3.433146,2.662152,2.263984,3.025874,0.784063,-25.835426,5.258864
0.020000,3.464458,2.610007,2.324808,3.041173,0.764966,-0.954821,5.247624
0.020000,3.495360,2.557272,2.385930,3.056117,0.747175,-0.889558,5.237441
0.020000,3.525896,2.503987,2.447344,3.070707,0.729498,-0.883864,5.228291
0.020000,3.556110,2.450192,2.509043,3.084964,0.712877,-0.831037,5.220149
0.020000,3.586047,2.395924,2.571022,3.098914,0.697455,-0.771077,5.212995
0.020000,3.615685,2.341339,2.633134,3.105595,0.334070,-18.169249,5.206821
0.020000,3.644908,2.286783,2.695023,3.094484,-0.555524,-44.479740,5.201630
0.020000,3.673634,2.232542,2.756402,3.068935,-1.277478,-36.097684,5.197404
0.020000,3.701881,2.178718,2.817188,3.039298,-1.481850,-10.218608,5.194100
0.020000,3.729694,2.125350,2.877369,3.009036,-1.513070,-1.561005,5.191673
0.020000,3.757116,2.072473,2.936932,2.978187,-1.542448,-1.468907,5.190084
0.020000,3.784187,2.020122,2.995869,2.946804,-1.569189,-1.337048,5.189292
0.020000,3.810944,1.968327,3.054167,2.914920,-1.594187,-1.249895,5.189264
0.020000,3.837421,1.917115,3.111818,2.882571,-1.617439,-1.162597,5.189966
0.020000,3.863651,1.866513,3.168814,2.849791,-1.639014,-1.078733,5.191368
0.020000,3.889662,1.816546,3.225146,2.816604,-1.659370,-1.017800,5.193441
0.020000,3.915481,1.767236,3.280807,2.783036,-1.678350,-0.949015,5.196158
0.020000,3.941132,1.718604,3.335789,2.749106,-1.696521,-0.908538,5.199493
0.020000,3.966639,1.670672,3.390086,2.714835,-1.713578,-0.852832,5.203422
0.020000,3.992019,1.623456,3.443691,2.680235,-1.729958,-0.818994,5.207923
0.020000,4.017291,1.576976,3.496597,2.645318,-1.745883,-0.796263,5.212972
0.020000,4.042470,1.531248,3.548799,2.610087,-1.761514,-0.781576,5.218548
0.020000,4.067569,1.486288,3.600290,2.574574,-1.775682,-0.708380,5.224629
0.020000,4.092598,1.442111,3.651065,2.538745,-1.791415,-0.786656,5.231195
0.020000,4.117567,1.398731,3.701118,2.502629,-1.805813,-0.719908,5.238224
0.020000,4.142482,1.356161,3.750442,2.466224,-1.820251,-0.721911,5.245697
0.020000,4.167348,1.314415,3.799033,2.429526,-1.834916,-0.733235,5.253592
0.020000,4.192167,1.273505,3.846883,2.392527,-1.849930,-0.750697,5.261888
0.020000,4.216940,1.233441,3.893988,2.355219,-1.865389,-0.772964,5.270564
0.020000,4.241666,1.194234,3.940340,2.317627,-1.879637,-0.712390,5.279599
0.020000,4.266341,1.155894,3.985934,2.279701,-1.896308,-0.833526,5.288969
0.020000,4.290961,1.118430,4.030763,2.241465,-1.911783,-0.773774,5.298654
0.020000,4.315517,1.081850,4.074822,2.202908,-1.927833,-0.802517,5.308629
0.020000,4.340003,1.046161,4.118102,2.164018,-1.944494,-0.833023,5.318871
0.020000,4.364406,1.011371,4.160598,2.124783,-1.961768,-0.863696,5.329356
0.020000,4.388715,0.977485,4.202301,2.085191,-1.979624,-0.892792,5.340059
0.020000,4.412916,0.944507,4.243207,2.045270,-1.996008,-0.819228,5.350956
