dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.603365,4.344079,0.000213,0.021333,1.066667,53.333333,6.281072
0.020000,1.603290,4.344079,0.000288,0.003724,-0.880461,-97.356377,6.281336
0.020000,1.603141,4.344079,0.000437,0.007452,0.186384,53.342233,6.281863
0.020000,1.602917,4.344080,0.000661,0.011187,0.186740,0.017794,6.282655
0.020000,1.604321,4.344080,0.002064,0.070157,2.948523,138.089167,0.000527
0.020000,1.608213,4.344085,0.005956,0.194601,6.222213,163.684512,0.001852
0.020000,1.612883,4.344097,0.010626,0.233512,1.945514,-213.834958,0.003446
0.020000,1.618328,4.344121,0.016072,0.272286,1.938743,-0.338557,0.005313
0.020000,1.624549,4.344161,0.022293,0.311053,1.938321,-0.021116,0.007456
0.020000,1.631545,4.344221,0.029288,0.349773,1.936003,-0.115903,0.009879
0.020000,1.639312,4.344309,0.037056,0.388409,1.931783,-0.210957,0.012586
0.020000,1.647851,4.344429,0.045596,0.426972,1.928180,-0.180183,0.015580
0.020000,1.657161,4.344589,0.054908,0.465589,1.930819,0.131972,0.018870
0.020000,1.667238,4.344797,0.064986,0.503927,1.916926,-0.694663,0.022458
0.020000,1.678080,4.345062,0.075832,0.542297,1.918491,0.078251,0.026352
0.020000,1.689687,4.345392,0.087444,0.580587,1.914496,-0.199751,0.030560
0.020000,1.702055,4.345798,0.099818,0.618703,1.905825,-0.433552,0.035087
0.020000,1.715180,4.346291,0.112952,0.656708,1.900251,-0.278670,0.039942
0.020000,1.729060,4.346882,0.126845,0.694660,1.897568,-0.134154,0.045133
0.020000,1.743693,4.347583,0.141495,0.732466,1.890301,-0.363353,0.050671
0.020000,1.759071,4.348408,0.156895,0.770033,1.878357,-0.597204,0.056563
0.020000,1.775195,4.349372,0.173047,0.807599,1.878297,-0.002997,0.062821
0.020000,1.792057,4.350488,0.189946,0.844949,1.867489,-0.540434,0.069456
0.020000,1.809652,4.351775,0.207588,0.882114,1.858279,-0.460470,0.076478
0.020000,1.827975,4.353247,0.225971,0.919116,1.850090,-0.409450,0.083900
0.020000,1.847020,4.354923,0.245089,0.955909,1.839630,-0.523028,0.091735
0.020000,1.866782,4.356824,0.264943,0.992683,1.838728,-0.045085,0.099996
0.020000,1.887251,4.358967,0.285523,1.029007,1.816189,-1.126964,0.108696
0.020000,1.908421,4.361375,0.306830,1.065373,1.818289,0.105027,0.117850
0.020000,1.930284,4.364070,0.328858,1.101384,1.800549,-0.886991,0.127473
0.020000,1.952828,4.367075,0.351602,1.137201,1.790885,-0.483200,0.137579
0.020000,1.976045,4.370415,0.375058,1.172786,1.779217,-0.583426,0.148183
0.020000,1.999926,4.374115,0.399223,1.208274,1.774416,-0.240026,0.159303
0.020000,2.024455,4.378202,0.424090,1.243358,1.754179,-1.011857,0.170951
0.020000,2.049623,4.382705,0.449658,1.278398,1.752009,-0.108531,0.183146
0.020000,2.075415,4.387652,0.475920,1.313106,1.735410,-0.829907,0.195902
0.020000,2.101816,4.393074,0.502873,1.347621,1.725731,-0.483961,0.209233
0.020000,2.128812,4.399002,0.530512,1.381944,1.716173,-0.477901,0.223154
0.020000,2.156386,4.405470,0.558834,1.416140,1.709818,-0.317767,0.237679
0.020000,2.184520,4.412511,0.587836,1.450076,1.696780,-0.651881,0.252818
0.020000,2.213196,4.420160,0.617514,1.483904,1.691385,-0.269751,0.268583
0.020000,2.242393,4.428453,0.647867,1.517638,1.686695,-0.234533,0.284981
0.020000,2.272092,4.437428,0.678892,1.551268,1.681508,-0.259342,0.302018
0.020000,2.302270,4.447123,0.710589,1.584829,1.678051,-0.172857,0.319698
0.020000,2.332905,4.457576,0.742958,1.618468,1.681960,0.195486,0.338019
0.020000,2.363973,4.468828,0.776001,1.652130,1.683100,0.056986,0.356976
0.020000,2.395448,4.480919,0.809719,1.685908,1.688881,0.289066,0.376561
0.020000,2.427308,4.493890,0.844117,1.719927,1.700948,0.603320,0.396760
0.020000,2.459523,4.507783,0.879201,1.754181,1.712732,0.589195,0.417553
