dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.602768,4.061505,0.000213,0.021333,1.066667,53.333333,6.281072
0.020000,1.602768,4.061505,0.001067,0.064000,2.133333,53.333333,6.281336
0.020000,1.602768,4.061505,0.002773,0.106667,2.133333,0.000000,6.281863
0.020000,1.602768,4.061505,0.005333,0.149333,2.133333,0.000000,6.282655
0.020000,1.604470,4.061505,0.008747,0.192000,2.133333,-0.000000,0.000527
0.020000,1.608736,4.061510,0.013013,0.234667,2.133333,0.000000,0.001852
0.020000,1.613857,4.061524,0.018133,0.277333,2.133333,0.000000,0.003446
0.020000,1.619830,4.061550,0.024107,0.320000,2.133333,0.000000,0.005313
0.020000,1.626656,4.061594,0.030933,0.362667,2.133333,-0.000000,0.007456
0.020000,1.634336,4.061660,0.038613,0.405333,2.133333,0.000000,0.009879
0.020000,1.642869,4.061756,0.047147,0.448000,2.133333,0.000000,0.012586
0.020000,1.652253,4.061888,0.056533,0.490667,2.133333,-0.000000,0.015580
0.020000,1.662493,4.062064,0.066773,0.533333,2.133333,0.000000,0.018870
0.020000,1.673583,4.062294,0.077867,0.576000,2.133333,-0.000000,0.022458
0.020000,1.685526,4.062585,0.089813,0.618667,2.133333,0.000000,0.026352
0.020000,1.698321,4.062949,0.102613,0.661333,2.133333,-0.000000,0.030560
0.020000,1.711967,4.063397,0.116267,0.704000,2.133333,0.000000,0.035087
0.020000,1.726463,4.063941,0.130773,0.746667,2.133333,-0.000000,0.039942
0.020000,1.741810,4.064594,0.146133,0.789333,2.133333,0.000000,0.045133
0.020000,1.758005,4.065371,0.162347,0.832000,2.133333,-0.000000,0.050671
0.020000,1.775046,4.066285,0.179413,0.874667,2.133333,0.000000,0.056563
0.020000,1.792935,4.067354,0.197333,0.917333,2.133333,0.000000,0.062821
0.020000,1.811667,4.068595,0.216107,0.960000,2.133333,-0.000000,0.069456
0.020000,1.831242,4.070025,0.235733,1.002667,2.133333,0.000000,0.076478
0.020000,1.851656,4.071666,0.256213,1.045333,2.133333,-0.000000,0.083900
0.020000,1.872905,4.073537,0.277547,1.088000,2.133333,0.000000,0.091735
0.020000,1.894992,4.075660,0.299733,1.130667,2.133333,0.000000,0.099996
0.020000,1.917905,4.078059,0.322773,1.173333,2.133333,0.000000,0.108696
0.020000,1.941646,4.080760,0.346667,1.216000,2.133333,0.000000,0.117850
0.020000,1.966207,4.083788,0.371413,1.258667,2.133333,-0.000000,0.127473
0.020000,1.991582,4.087170,0.397013,1.301333,2.133333,0.000000,0.137579
0.020000,2.017765,4.090936,0.423467,1.344000,2.133333,-0.000000,0.148183
0.020000,2.044750,4.095118,0.450773,1.386667,2.133333,0.000000,0.159303
0.020000,2.072526,4.099746,0.478933,1.429333,2.133333,0.000000,0.170951
0.020000,2.101087,4.104856,0.507947,1.472000,2.133333,0.000000,0.183146
0.020000,2.130418,4.110482,0.537813,1.514667,2.133333,-0.000000,0.195902
0.020000,2.160510,4.116661,0.568533,1.557333,2.133333,0.000000,0.209233
0.020000,2.191348,4.123434,0.600107,1.600000,2.133333,0.000000,0.223154
0.020000,2.222918,4.130839,0.632533,1.642667,2.133333,0.000000,0.237679
0.020000,2.255202,4.138918,0.665813,1.685333,2.133333,0.000000,0.252818
0.020000,2.288181,4.147716,0.699947,1.728000,2.133333,0.000000,0.268583
0.020000,2.321836,4.157275,0.734933,1.770667,2.133333,-0.000000,0.284981
0.020000,2.356143,4.167643,0.770773,1.813333,2.133333,0.000000,0.302018
0.020000,2.391077,4.178866,0.807467,1.856000,2.133333,-0.000000,0.319698
0.020000,2.426612,4.190991,0.845013,1.898667,2.133333,0.000000,0.338019
0.020000,2.462716,4.204067,0.883413,1.941333,2.133333,-0.000000,0.356976
0.020000,2.499358,4.218143,0.922667,1.984000,2.133333,-0.000000,0.376561
0.020000,2.536504,4.233266,0.962773,2.026667,2.133333,0.000000,0.396760
0.020000,2.574115,4.249486,1.003733,2.069333,2.133333,-0.000000,0.417553
0.020000,2.612152,4.266849,1.045547,2.112000,2.133333,0.000000,0.438915
0.020000,2.650573,4.285401,1.088213,2.154667,2.133333,0.000000,0.460813
0.020000,2.689333,4.305188,1.131733,2.197333,2.133333,-0.000000,0.483210
0.020000,2.728387,4.326252,1.176107,2.240000,2.133333,0.000000,0.506060
0.020000,2.767686,4.348633,1.221333,2.282667,2.133333,0.000000,0.529312
0.020000,2.807182,4.372368,1.267413,2.325333,2.133333,-0.000000,0.552908
0.020000,2.846824,4.397491,1.314347,2.368000,2.133333,0.000000,0.576784
0.020000,2.886561,4.424031,1.362133,2.410667,2.133333,0.000000,0.600870
0.020000,2.926344,4.452015,1.410773,2.453333,2.133333,0.000000,0.625093
0.020000,2.966122,4.481462,1.460267,2.496000,2.133333,0.000000,0.649374
0.020000,3.005847,4.512391,1.510613,2.538667,2.133333,-0.000000,0.673633
0.020000,3.045472,4.544813,1.561813,2.581333,2.133333,0.000000,0.697787
0.020000,3.084952,4.578736,1.613867,2.624000,2.133333,0.000000,0.721755
0.020000,3.124246,4.614161,1.666773,2.666667,2.133333,0.000000,0.745454
0.020000,3.163316,4.651087,1.720533,2.709333,2.133333,-0.000000,0.768803
0.020000,3.202128,4.689507,1.775147,2.752000,2.133333,0.000000,0.791728
0.020000,3.240651,4.729412,1.830613,2.794667,2.133333,-0.000000,0.814154
0.020000,3.278860,4.770787,1.886933,2.837333,2.133333,0.000000,0.836012
0.020000,3.316734,4.813615,1.944107,2.880000,2.133333,0.000000,0.857241
0.020000,3.354257,4.857876,2.002133,2.922667,2.133333,-0.000000,0.877782
0.020000,3.391418,4.903546,2.061013,2.965333,2.133333,0.000000,0.897582
0.020000,3.428211,4.950601,2.120747,3.008000,2.133333,-0.000000,0.916597
0.020000,3.464636,4.999015,2.181333,3.050667,2.133333,0.000000,0.934784
0.020000,3.500696,5.048759,2.242773,3.093333,2.133333,0.000000,0.952108
0.020000,3.536401,5.099803,2.305067,3.136000,2.133333,-0.000000,0.968538
0.020000,3.571764,5.152118,2.368213,3.178667,2.133333,0.000000,0.984047
0.020000,3.606688,5.205494,2.432000,3.200000,1.066667,-53.333333,0.998566
0.020000,3.640977,5.259533,2.496000,3.200000,0.000000,-53.333333,1.011998
0.020000,3.674568,5.314009,2.560000,3.200000,0.000000,0.000000,1.024321
0.020000,3.707514,5.368877,2.624000,3.200000,0.000000,0.000000,1.035561
0.020000,3.739871,5.424094,2.688000,3.200000,0.000000,0.000000,1.045744
0.020000,3.771693,5.479622,2.752000,3.200000,0.000000,0.000000,1.054895
0.020000,3.803034,5.535423,2.816000,3.200000,0.000000,0.000000,1.063036
0.020000,3.833947,5.591462,2.880000,3.200000,0.000000,0.000000,1.070191
0.020000,3.864418,5.647579,2.943857,3.185658,-0.717076,-35.853819,1.076364
0.020000,3.894334,5.703428,3.007213,3.149984,-1.783743,-53.333333,1.081555
0.020000,3.923619,5.758725,3.069786,3.107317,-2.133333,-17.479515,1.085781
0.020000,3.952300,5.813376,3.131506,3.064650,-2.133333,0.000000,1.089085
0.020000,3.980430,5.867352,3.192372,3.021984,-2.133333,-0.000000,1.091512
0.020000,4.008059,5.920627,3.252385,2.979317,-2.133333,0.000000,1.093102
0.020000,4.035233,5.973177,3.311545,2.936650,-2.133333,0.000000,1.093893
0.020000,4.061993,6.024979,3.369851,2.893984,-2.133333,0.000000,1.093921
0.020000,4.088379,6.076015,3.427304,2.851317,-2.133333,-0.000000,1.093219
0.020000,4.114426,6.126265,3.483904,2.808650,-2.133333,0.000000,1.091817
0.020000,4.140167,6.175713,3.539650,2.765984,-2.133333,0.000000,1.089744
0.020000,4.165630,6.224343,3.594543,2.723317,-2.133333,-0.000000,1.087028
0.020000,4.190842,6.272141,3.648583,2.680650,-2.133333,0.000000,1.083692
0.020000,4.215826,6.319093,3.701769,2.637984,-2.133333,-0.000000,1.079763
0.020000,4.240605,6.365189,3.754102,2.595317,-2.133333,0.000000,1.075262
0.020000,4.265195,6.410415,3.805582,2.552650,-2.133333,0.000000,1.070213
0.020000,4.289614,6.454763,3.856208,2.509984,-2.133333,-0.000000,1.064638
0.020000,4.313875,6.498223,3.905981,2.467317,-2.133333,0.000000,1.058556
0.020000,4.337990,6.540786,3.954901,2.424650,-2.133333,0.000000,1.051990
0.020000,4.361968,6.582444,4.002967,2.381984,-2.133333,-0.000000,1.044961
0.020000,4.385816,6.623191,4.050180,2.339317,-2.133333,0.000000,1.037488
0.020000,4.409540,6.663021,4.096540,2.296650,-2.133333,-0.000000,1.029593
0.020000,4.433143,6.701927,4.142046,2.253984,-2.133333,0.000000,1.021297
0.020000,4.456627,6.739906,4.186699,2.211317,-2.133333,0.000000,1.012621
0.020000,4.479991,6.776953,4.230499,2.168650,-2.133333,-0.000000,1.003587
0.020000,4.503233,6.813067,4.273445,2.125984,-2.133333,0.000000,0.994216
0.020000,4.526349,6.848244,4.315538,2.083317,-2.133333,-0.000000,0.984532
0.020000,4.549335,6.882484,4.356778,2.040650,-2.133333,0.000000,0.974557
0.020000,4.572183,6.915786,4.397164,1.997984,-2.133333,0.000000,0.964315
0.020000,4.594885,6.948151,4.436697,1.955317,-2.133333,-0.000000,0.953830
0.020000,4.617430,6.979580,4.475377,1.912650,-2.133333,-0.000000,0.943126
0.020000,4.639810,7.010075,4.513203,1.869984,-2.133333,0.000000,0.932230
0.020000,4.662010,7.039641,4.550176,1.827317,-2.133333,0.000000,0.921165
0.020000,4.684018,7.068281,4.586296,1.784650,-2.133333,0.000000,0.909959
0.020000,4.705820,7.096001,4.621562,1.741984,-2.133333,0.000000,0.898637
0.020000,4.727401,7.122806,4.655975,1.699317,-2.133333,-0.000000,0.887225
0.020000,4.748744,7.148704,4.689535,1.656650,-2.133333,0.000000,0.875751
0.020000,4.769833,7.173703,4.722241,1.613984,-2.133333,0.000000,0.864240
0.020000,4.790651,7.197811,4.754094,1.571317,-2.133333,-0.000000,0.852720
0.020000,4.811180,7.221039,4.785094,1.528650,-2.133333,0.000000,0.841216
0.020000,4.831402,7.243396,4.815240,1.485984,-2.133333,0.000000,0.829754
0.020000,4.851299,7.264895,4.844533,1.443317,-2.133333,0.000000,0.818360
0.020000,4.870852,7.285547,4.872973,1.400650,-2.133333,0.000000,0.807059
0.020000,4.890042,7.305364,4.900559,1.357984,-2.133333,-0.000000,0.795875
0.020000,4.908851,7.324361,4.927292,1.315317,-2.133333,0.000000,0.784831
0.020000,4.927260,7.342551,4.953172,1.272650,-2.133333,-0.000000,0.773951
0.020000,4.945250,7.359947,4.978198,1.229984,-2.133333,0.000000,0.763257
0.020000,4.962804,7.376566,5.002371,1.187317,-2.133333,-0.000000,0.752769
0.020000,4.979904,7.392421,5.025691,1.144650,-2.133333,0.000000,0.742507
0.020000,4.996533,7.407529,5.048157,1.101984,-2.133333,-0.000000,0.732491
0.020000,5.012672,7.421903,5.069770,1.059317,-2.133333,0.000000,0.722738
0.020000,5.028307,7.435561,5.090530,1.016650,-2.133333,0.000000,0.713264
0.020000,5.043420,7.448516,5.110436,0.973984,-2.133333,0.000000,0.704086
0.020000,5.057997,7.460786,5.129489,0.931317,-2.133333,0.000000,0.695219
0.020000,5.072022,7.472384,5.147689,0.888650,-2.133333,-0.000000,0.686674
0.020000,5.085482,7.483326,5.165035,0.845984,-2.133333,0.000000,0.678466
0.020000,5.098363,7.493626,5.181528,0.803317,-2.133333,-0.000000,0.670604
0.020000,5.110652,7.503300,5.197168,0.760650,-2.133333,0.000000,0.663101
0.020000,5.122337,7.512360,5.211954,0.717984,-2.133333,0.000000,0.655964
0.020000,5.133407,7.520821,5.225887,0.675317,-2.133333,0.000000,0.649202
0.020000,5.143851,7.528695,5.238967,0.632650,-2.133333,-0.000000,0.642824
0.020000,5.153659,7.535995,5.251193,0.589984,-2.133333,0.000000,0.636836
0.020000,5.162821,7.542732,5.262566,0.547317,-2.133333,-0.000000,0.631244
0.020000,5.171330,7.548918,5.273086,0.504650,-2.133333,0.000000,0.626053
0.020000,5.179176,7.554563,5.282752,0.461984,-2.133333,-0.000000,0.621268
0.020000,5.186354,7.559677,5.291565,0.419317,-2.133333,0.000000,0.616894
0.020000,5.192855,7.564269,5.299525,0.376650,-2.133333,0.000000,0.612934
0.020000,5.198675,7.568347,5.306631,0.333984,-2.133333,-0.000000,0.609391
0.020000,5.203808,7.571918,5.312884,0.291317,-2.133333,0.000000,0.606268
0.020000,5.208250,7.574989,5.318284,0.248650,-2.133333,0.000000,0.603567
0.020000,5.211996,7.577565,5.322830,0.205984,-2.133333,-0.000000,0.601290
0.020000,5.215043,7.579651,5.326523,0.163317,-2.133333,0.000000,0.599438
0.020000,5.217389,7.581252,5.329363,0.120650,-2.133333,-0.000000,0.598013
0.020000,5.219031,7.582369,5.331349,0.077984,-2.133333,0.000000,0.597016
0.020000,5.219968,7.583006,5.332482,0.035317,-2.133333,-0.000000,0.596447
0.020000,5.220318,7.583243,5.332905,0.006992,-1.416257,35.853819,0.596234
0.020000,5.220376,7.583283,5.332975,0.000000,-0.349590,53.333333,0.596199
0.020000,5.220376,7.583283,5.332975,0.000000,0.000000,17.479515,0.596199
