dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.602171,3.778930,0.000213,0.021333,1.066667,53.333333,6.281072
0.020000,1.602245,3.778930,0.000288,0.003724,-0.880461,-97.356377,6.281336
0.020000,1.602394,3.778930,0.000437,0.007452,0.186384,53.342233,6.281863
0.020000,1.602618,3.778930,0.000661,0.011187,0.186740,0.017794,6.282655
0.020000,1.604619,3.778930,0.002661,0.100037,4.442518,212.788893,0.000527
0.020000,1.609259,3.778936,0.007302,0.232024,6.599377,107.842984,0.001852
0.020000,1.614830,3.778950,0.012873,0.278573,2.327441,-213.596833,0.003446
0.020000,1.621331,3.778979,0.019374,0.325046,2.323644,-0.189809,0.005313
0.020000,1.628763,3.779026,0.026806,0.371609,2.328159,0.225721,0.007456
0.020000,1.637128,3.779099,0.035171,0.418233,2.331163,0.150221,0.009879
0.020000,1.646425,3.779203,0.044469,0.464886,2.332657,0.074677,0.012586
0.020000,1.656656,3.779347,0.054701,0.511599,2.335660,0.150169,0.015580
0.020000,1.667825,3.779540,0.065871,0.558538,2.346949,0.564460,0.018870
0.020000,1.679929,3.779790,0.077978,0.605322,2.339217,-0.386628,0.022458
0.020000,1.692972,3.780108,0.091025,0.652339,2.350855,0.581912,0.026352
0.020000,1.706955,3.780506,0.105014,0.699473,2.356677,0.291086,0.030560
0.020000,1.721880,3.780996,0.119947,0.746627,2.357722,0.052240,0.035087
0.020000,1.737747,3.781592,0.135825,0.793895,2.363366,0.282213,0.039942
0.020000,1.754559,3.782307,0.152652,0.841363,2.373410,0.502194,0.045133
0.020000,1.772317,3.783158,0.170431,0.888939,2.378828,0.270910,0.050671
0.020000,1.791021,3.784162,0.189161,0.936529,2.379468,0.031998,0.056563
0.020000,1.810674,3.785337,0.208850,0.984438,2.395487,0.800953,0.062821
0.020000,1.831278,3.786701,0.229499,1.032426,2.399376,0.194445,0.069456
0.020000,1.852831,3.788276,0.251110,1.080549,2.406126,0.337525,0.076478
0.020000,1.875336,3.790085,0.273686,1.128849,2.415045,0.445954,0.083900
0.020000,1.898791,3.792150,0.297232,1.177291,2.422078,0.351609,0.091735
0.020000,1.923201,3.794497,0.321755,1.226127,2.441794,0.985815,0.099996
0.020000,1.948559,3.797152,0.347252,1.274839,2.435630,-0.308209,0.108696
0.020000,1.974870,3.800145,0.373733,1.324054,2.460722,1.254615,0.117850
0.020000,2.002130,3.803505,0.401199,1.373293,2.461936,0.060692,0.127473
0.020000,2.030336,3.807265,0.429654,1.422768,2.473755,0.590942,0.137579
0.020000,2.059485,3.811458,0.459103,1.472439,2.483546,0.489585,0.148183
0.020000,2.089575,3.816121,0.489552,1.522485,2.502312,0.938272,0.159303
0.020000,2.120598,3.821290,0.521003,1.572520,2.501759,-0.027656,0.170951
0.020000,2.152550,3.827006,0.553463,1.622998,2.523899,1.107030,0.183146
0.020000,2.185422,3.833312,0.586934,1.673546,2.527396,0.174827,0.195902
0.020000,2.219204,3.840249,0.621420,1.724324,2.538920,0.576229,0.209233
0.020000,2.253883,3.847865,0.656926,1.775314,2.549499,0.528904,0.223154
0.020000,2.289449,3.856208,0.693458,1.826567,2.562654,0.657750,0.237679
0.020000,2.325883,3.865326,0.731015,1.877870,2.565110,0.122817,0.252818
0.020000,2.363167,3.875272,0.769602,1.929365,2.574752,0.482093,0.268583
0.020000,2.401279,3.886098,0.809223,1.981005,2.582024,0.363638,0.284981
