dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674740,4.391995,0.000213,0.021333,1.066667,53.333333,6.282832
0.020000,1.674727,4.391995,0.000227,0.000659,-1.033705,-105.018589,6.282879
0.020000,1.674701,4.391995,0.000253,0.001320,0.033032,53.336855,6.282972
0.020000,1.674661,4.391995,0.000293,0.001983,0.033173,0.007047,6.283112
0.020000,1.676696,4.391995,0.002327,0.101729,4.987308,247.706766,0.000115
0.020000,1.680896,4.391996,0.006527,0.210000,5.413540,21.311593,0.000350
0.020000,1.685936,4.391999,0.011567,0.252001,2.100042,-165.674924,0.000634
0.020000,1.691815,4.392003,0.017447,0.293972,2.098532,-0.075478,0.000966
0.020000,1.698534,4.392011,0.024165,0.335936,2.098192,-0.017010,0.001348
0.020000,1.706092,4.392023,0.031723,0.377886,2.097539,-0.032623,0.001781
0.020000,1.714488,4.392040,0.040120,0.419826,2.096979,-0.027997,0.002265
0.020000,1.723723,4.392063,0.049355,0.461763,2.096859,-0.006023,0.002801
0.020000,1.733796,4.392094,0.059428,0.503653,2.094470,-0.119456,0.003391
0.020000,1.744708,4.392135,0.070339,0.545561,2.095411,0.047054,0.004036
0.020000,1.756456,4.392187,0.082088,0.587424,2.093168,-0.112134,0.004738
0.020000,1.769041,4.392251,0.094673,0.629269,2.092258,-0.045502,0.005497
0.020000,1.782463,4.392330,0.108095,0.671093,2.091209,-0.052447,0.006316
0.020000,1.796720,4.392427,0.122353,0.712890,2.089817,-0.069630,0.007197
0.020000,1.811813,4.392542,0.137446,0.754652,2.088116,-0.085037,0.008141
0.020000,1.827741,4.392680,0.153374,0.796417,2.088225,0.005449,0.009150
0.020000,1.844502,4.392842,0.170136,0.838104,2.084369,-0.192785,0.010227
0.020000,1.862097,4.393032,0.187732,0.879800,2.084774,0.020243,0.011375
0.020000,1.880524,4.393253,0.206161,0.921437,2.081866,-0.145419,0.012594
0.020000,1.899783,4.393508,0.225422,0.963038,2.080076,-0.089498,0.013889
0.020000,1.919873,4.393801,0.245514,1.004601,2.078126,-0.097464,0.015262
0.020000,1.940793,4.394135,0.266436,1.046116,2.075770,-0.117844,0.016716
0.020000,1.962542,4.394516,0.288188,1.087611,2.074712,-0.052858,0.018254
0.020000,1.985118,4.394946,0.310769,1.129029,2.070901,-0.190582,0.019880
0.020000,2.008522,4.395432,0.334177,1.170418,2.069496,-0.070249,0.021596
0.020000,2.032750,4.395977,0.358412,1.211737,2.065908,-0.179380,0.023408
0.020000,2.057803,4.396587,0.383472,1.253009,2.063629,-0.113981,0.025318
