dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674641,4.109420,0.000213,0.021333,1.066667,53.333333,6.282832
0.020000,1.674641,4.109420,0.001067,0.064000,2.133333,53.333333,6.282879
0.020000,1.674641,4.109420,0.002773,0.106667,2.133333,0.000000,6.282972
0.020000,1.674641,4.109420,0.005333,0.149333,2.133333,0.000000,6.283112
0.020000,1.676728,4.109420,0.008747,0.192000,2.133333,-0.000000,0.000115
0.020000,1.680995,4.109421,0.013013,0.234667,2.133333,0.000000,0.000350
0.020000,1.686115,4.109424,0.018133,0.277333,2.133333,0.000000,0.000634
0.020000,1.692088,4.109428,0.024107,0.320000,2.133333,0.000000,0.000966
0.020000,1.698915,4.109436,0.030933,0.362667,2.133333,-0.000000,0.001348
0.020000,1.706595,4.109448,0.038613,0.405333,2.133333,0.000000,0.001781
0.020000,1.715128,4.109466,0.047147,0.448000,2.133333,0.000000,0.002265
0.020000,1.724515,4.109489,0.056533,0.490667,2.133333,-0.000000,0.002801
0.020000,1.734755,4.109521,0.066773,0.533333,2.133333,0.000000,0.003391
0.020000,1.745848,4.109562,0.077867,0.576000,2.133333,-0.000000,0.004036
0.020000,1.757795,4.109615,0.089813,0.618667,2.133333,0.000000,0.004738
0.020000,1.770594,4.109680,0.102613,0.661333,2.133333,-0.000000,0.005497
0.020000,1.784248,4.109761,0.116267,0.704000,2.133333,0.000000,0.006316
0.020000,1.798754,4.109859,0.130773,0.746667,2.133333,-0.000000,0.007197
0.020000,1.814113,4.109977,0.146133,0.789333,2.133333,0.000000,0.008141
0.020000,1.830326,4.110117,0.162347,0.832000,2.133333,-0.000000,0.009150
0.020000,1.847392,4.110282,0.179413,0.874667,2.133333,0.000000,0.010227
0.020000,1.865311,4.110476,0.197333,0.917333,2.133333,0.000000,0.011375
0.020000,1.884083,4.110701,0.216107,0.960000,2.133333,-0.000000,0.012594
0.020000,1.903708,4.110960,0.235733,1.002667,2.133333,0.000000,0.013889
0.020000,1.924186,4.111259,0.256213,1.045333,2.133333,-0.000000,0.015262
0.020000,1.945516,4.111600,0.277547,1.088000,2.133333,0.000000,0.016716
0.020000,1.967700,4.111988,0.299733,1.130667,2.133333,0.000000,0.018254
0.020000,1.990735,4.112427,0.322773,1.173333,2.133333,0.000000,0.019880
