dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674541,3.826845,0.000213,0.021333,1.066667,53.333333,6.282832
0.020000,1.674554,3.826845,0.000227,0.000659,-1.033705,-105.018589,6.282879
0.020000,1.674580,3.826845,0.000253,0.001320,0.033032,53.336855,6.282972
0.020000,1.674620,3.826845,0.000293,0.001983,0.033173,0.007047,6.283112
0.020000,1.676761,3.826845,0.002433,0.107032,5.252434,260.963032,0.000115
0.020000,1.681094,3.826846,0.006766,0.216650,5.480899,11.423255,0.000350
0.020000,1.686294,3.826849,0.011967,0.260014,2.168202,-165.634845,0.000634
0.020000,1.692361,3.826854,0.018034,0.303365,2.167556,-0.032311,0.000966
0.020000,1.699296,3.826862,0.024968,0.346731,2.168271,0.035796,0.001348
0.020000,1.707098,3.826874,0.032771,0.390107,2.168823,0.027563,0.001781
0.020000,1.715768,3.826891,0.041441,0.433500,2.169629,0.040325,0.002265
0.020000,1.725306,3.826916,0.050979,0.476921,2.171052,0.071139,0.002801
0.020000,1.735713,3.826948,0.061385,0.520327,2.170296,-0.037778,0.003391
0.020000,1.746989,3.826990,0.072661,0.563790,2.173149,0.142632,0.004036
0.020000,1.759133,3.827043,0.084806,0.607247,2.172884,-0.013256,0.004738
0.020000,1.772148,3.827109,0.097821,0.650731,2.174171,0.064347,0.005497
0.020000,1.786032,3.827191,0.111706,0.694241,2.175494,0.066156,0.006316
0.020000,1.800788,3.827291,0.126461,0.737773,2.176646,0.057597,0.007197
0.020000,1.816414,3.827411,0.142088,0.781327,2.177668,0.051104,0.008141
0.020000,1.832912,3.827554,0.158586,0.824942,2.180760,0.154572,0.009150
0.020000,1.850282,3.827722,0.175957,0.868541,2.179946,-0.040694,0.010227
0.020000,1.868525,3.827919,0.194202,0.912216,2.183754,0.190395,0.011375
0.020000,1.887642,3.828148,0.213320,0.955903,2.184343,0.029474,0.012594
0.020000,1.907633,3.828413,0.233312,0.999629,2.186314,0.098560,0.013889
0.020000,1.928498,3.828717,0.254180,1.043396,2.188352,0.101876,0.015262
0.020000,1.950240,3.829064,0.275924,1.087200,2.190207,0.092743,0.016716
0.020000,1.972858,3.829460,0.298546,1.131074,2.193664,0.172868,0.018254
0.020000,1.996353,3.829908,0.322045,1.174964,2.194519,0.042764,0.019880
0.020000,2.020726,3.830413,0.346423,1.218927,2.198151,0.181610,0.021596
0.020000,2.045978,3.830982,0.371682,1.262923,2.199798,0.082335,0.023408
0.020000,2.072110,3.831618,0.397822,1.306985,2.203107,0.165457,0.025318
0.020000,2.099123,3.832329,0.424844,1.351110,2.206259,0.157577,0.027331
0.020000,2.127017,3.833122,0.452750,1.395295,2.209233,0.148716,0.029451
0.020000,2.155795,3.834001,0.481540,1.439535,2.212010,0.138861,0.031684
0.020000,2.185456,3.834976,0.511218,1.483853,2.215876,0.193292,0.034033
0.020000,2.216002,3.836054,0.541782,1.528244,2.219553,0.183860,0.036503
0.020000,2.247433,3.837242,0.573237,1.572717,2.223646,0.204613,0.039102
0.020000,2.279752,3.838551,0.605582,1.617258,2.227068,0.171109,0.041833
0.020000,2.312959,3.839988,0.638820,1.661891,2.231657,0.229475,0.044704
0.020000,2.347055,3.841565,0.672952,1.706613,2.236085,0.221376,0.047720
0.020000,2.382040,3.843291,0.707980,1.751419,2.240327,0.212109,0.050888
0.020000,2.417918,3.845178,0.743908,1.796367,2.247392,0.353236,0.054216
0.020000,2.454688,3.847238,0.780735,1.841363,2.249809,0.120878,0.057711
0.020000,2.492352,3.849483,0.818465,1.886526,2.258121,0.415566,0.061381
0.020000,2.530910,3.851927,0.857101,1.931778,2.262589,0.223414,0.065234
0.020000,2.570363,3.854584,0.896644,1.977156,2.268896,0.315332,0.069280
0.020000,2.610714,3.857470,0.937097,2.022662,2.275342,0.322337,0.073527
0.020000,2.651962,3.860600,0.978464,2.068346,2.284181,0.441941,0.077986
0.020000,2.694108,3.863992,1.020747,2.114131,2.289239,0.252899,0.082667
0.020000,2.737154,3.867665,1.063949,2.160113,2.299094,0.492760,0.087582
0.020000,2.781100,3.871637,1.108074,2.206234,2.306081,0.349317,0.092742
0.020000,2.825945,3.875930,1.153125,2.252546,2.315588,0.475379,0.098160
0.020000,2.871692,3.880566,1.199106,2.299047,2.325041,0.472657,0.103849
0.020000,2.918339,3.885568,1.246020,2.345735,2.334416,0.468709,0.109824
0.020000,2.965888,3.890962,1.293874,2.392662,2.346342,0.596317,0.116099
0.020000,3.014336,3.896773,1.342669,2.439776,2.355705,0.468166,0.122690
0.020000,3.063684,3.903031,1.392413,2.487180,2.370180,0.723766,0.129615
0.020000,3.113931,3.909765,1.443109,2.534799,2.380943,0.538126,0.136892
0.020000,3.165074,3.917009,1.494762,2.582687,2.394402,0.672970,0.144538
0.020000,3.217113,3.924796,1.547381,2.630902,2.410794,0.819562,0.152576
0.020000,3.270043,3.933163,1.600968,2.679365,2.423139,0.617254,0.161025
0.020000,3.323862,3.942149,1.655532,2.728199,2.441687,0.927429,0.169910
0.020000,3.378565,3.951796,1.711079,2.777343,2.457191,0.775194,0.179254
0.020000,3.434146,3.962148,1.767616,2.826858,2.475744,0.927658,0.189083
0.020000,3.490599,3.973252,1.825151,2.876746,2.494409,0.933250,0.199424
0.020000,3.547917,3.985160,1.883692,2.927074,2.516427,1.100884,0.210305
0.020000,3.606089,3.997924,1.943248,2.977779,2.535208,0.939053,0.221758
0.020000,3.665104,4.011602,2.003827,3.028976,2.559890,1.234105,0.233813
0.020000,3.724949,4.026255,2.065440,3.080627,2.582548,1.132866,0.246505
0.020000,3.785608,4.041947,2.128096,3.132794,2.608333,1.289267,0.259868
0.020000,3.847061,4.058748,2.191804,3.185433,2.631968,1.181770,0.273939
0.020000,3.909288,4.076729,2.256577,3.238648,2.660709,1.437038,0.288755
0.020000,3.972262,4.095969,2.322425,3.292388,2.687006,1.314864,0.304356
0.020000,4.035954,4.116548,2.389359,3.346699,2.715586,1.428962,0.320781
0.020000,4.100329,4.138553,2.457391,3.401574,2.743736,1.407506,0.338072
0.020000,4.165130,4.161994,2.526301,3.445529,2.197722,-27.300695,0.356207
0.020000,4.229883,4.186781,2.595636,3.466760,1.061587,-56.806758,0.375092
0.020000,4.294330,4.212884,2.665169,3.476645,0.494234,-28.367629,0.394677
0.020000,4.358429,4.240346,2.734903,3.486673,0.501380,0.357280,0.414971
0.020000,4.422130,4.269208,2.804837,3.496735,0.503132,0.087604,0.435978
0.020000,4.485382,4.299512,2.874974,3.506807,0.503582,0.022516,0.457697
0.020000,4.548128,4.331294,2.945310,3.516824,0.500840,-0.137115,0.480127
0.020000,4.610308,4.364592,3.015844,3.526712,0.494440,-0.319986,0.503257
0.020000,4.671858,4.399435,3.086572,3.536393,0.484036,-0.520190,0.527072
0.020000,4.732710,4.435850,3.157488,3.545779,0.469317,-0.735950,0.551552
0.020000,4.792792,4.473859,3.228583,3.554780,0.450024,-0.964668,0.576669
0.020000,4.852030,4.513479,3.299849,3.563306,0.426288,-1.186806,0.602390
0.020000,4.910348,4.554717,3.371274,3.571242,0.396837,-1.472522,0.628673
0.020000,4.967667,4.597575,3.442844,3.578501,0.362921,-1.695803,0.655470
0.020000,5.023908,4.642047,3.514544,3.584988,0.324346,-1.928761,0.682727
0.020000,5.078993,4.688118,3.586356,3.590614,0.281314,-2.151616,0.710382
0.020000,5.132846,4.735767,3.658262,3.595290,0.233775,-2.376948,0.738368
0.020000,5.185390,4.784961,3.730241,3.598957,0.183388,-2.519352,0.766614
0.020000,5.236557,4.835661,3.802272,3.601560,0.130116,-2.663600,0.795045
0.020000,5.286278,4.887818,3.874333,3.603003,0.072175,-2.897038,0.823581
0.020000,5.334336,4.941198,3.946158,3.591256,-0.587336,-32.975548,0.852047
0.020000,5.380386,4.995355,4.017246,3.554441,-1.840767,-62.671549,0.880175
0.020000,5.424286,5.049998,4.087340,3.504677,-2.488213,-32.372298,0.907800
0.020000,5.466061,5.105014,4.156419,3.453956,-2.536059,-2.392305,0.934857
0.020000,5.505750,5.160292,4.224469,3.402514,-2.572067,-1.800396,0.961291
0.020000,5.543398,5.215724,4.291478,3.350413,-2.605070,-1.650145,0.987056
0.020000,5.579055,5.271210,4.357434,3.297792,-2.631069,-1.299977,1.012115
0.020000,5.612780,5.326653,4.422328,3.244712,-2.653968,-1.144916,1.036439
0.020000,5.644636,5.381963,4.486155,3.191384,-2.666410,-0.622123,1.060008
0.020000,5.674688,5.437057,4.548913,3.137863,-2.676072,-0.483066,1.082807
0.020000,5.703005,5.491858,4.610598,3.084248,-2.680718,-0.232312,1.104830
0.020000,5.729659,5.546294,4.671209,3.030554,-2.684702,-0.199217,1.126074
0.020000,5.754720,5.600303,4.730748,2.976981,-2.678659,0.302147,1.146546
0.020000,5.778260,5.653825,4.789219,2.923519,-2.673101,0.277893,1.166252
0.020000,5.800352,5.706809,4.846624,2.870256,-2.663146,0.497751,1.185206
0.020000,5.821064,5.759205,4.902965,2.817080,-2.658823,0.216184,1.203421
0.020000,5.840468,5.810974,4.958251,2.764290,-2.639466,0.967846,1.220916
0.020000,5.858628,5.862078,5.012486,2.711714,-2.628806,0.532965,1.237710
0.020000,5.875612,5.912482,5.065674,2.659434,-2.613982,0.741196,1.253823
0.020000,5.891482,5.962159,5.117825,2.607522,-2.595640,0.917111,1.269278
0.020000,5.906298,6.011080,5.168940,2.555768,-2.587665,0.398754,1.284096
0.020000,5.920120,6.059224,5.219029,2.504468,-2.564992,1.133680,1.298301
0.020000,5.933003,6.106572,5.268099,2.453463,-2.550256,0.736782,1.311914
0.020000,5.945001,6.153106,5.316155,2.402800,-2.533191,0.853232,1.324959
0.020000,5.956165,6.198809,5.363201,2.352332,-2.523391,0.489990,1.337457
0.020000,5.966543,6.243672,5.409248,2.302348,-2.499197,1.209727,1.349431
0.020000,5.976181,6.287678,5.454298,2.252488,-2.492985,0.310619,1.360900
0.020000,5.985123,6.330822,5.498358,2.203021,-2.473341,0.982199,1.371886
0.020000,5.993412,6.373093,5.541434,2.153800,-2.461055,0.614299,1.382409
0.020000,6.001087,6.414483,5.583531,2.104810,-2.449516,0.576921,1.392487
0.020000,6.008185,6.454991,5.624655,2.056236,-2.428706,1.040527,1.402139
0.020000,6.014741,6.494606,5.664809,2.007680,-2.427777,0.046440,1.411382
0.020000,6.020791,6.533326,5.703999,1.959513,-2.408375,0.970120,1.420234
0.020000,6.026364,6.571149,5.742230,1.911552,-2.398028,0.517333,1.428709
0.020000,6.031493,6.608071,5.779507,1.863818,-2.386726,0.565094,1.436824
0.020000,6.036204,6.644088,5.815831,1.816219,-2.379917,0.340437,1.444593
0.020000,6.040526,6.679200,5.851208,1.768847,-2.368594,0.566155,1.452029
0.020000,6.044484,6.713406,5.885642,1.721682,-2.358259,0.516774,1.459146
0.020000,6.048102,6.746704,5.919136,1.674719,-2.348164,0.504712,1.465956
0.020000,6.051404,6.779093,5.951693,1.627862,-2.342838,0.266322,1.472470
0.020000,6.054410,6.810573,5.983316,1.581143,-2.335978,0.342992,1.478700
0.020000,6.057141,6.841143,6.014008,1.534591,-2.327595,0.419138,1.484656
0.020000,6.059617,6.870805,6.043773,1.488237,-2.317708,0.494387,1.490349
0.020000,6.061857,6.899558,6.072613,1.442008,-2.311440,0.313374,1.495788
0.020000,6.063876,6.927401,6.100529,1.395820,-2.309373,0.103361,1.500981
0.020000,6.065692,6.954336,6.127525,1.349803,-2.300870,0.425137,1.505936
0.020000,6.067321,6.980364,6.153604,1.303929,-2.293695,0.358739,1.510663
0.020000,6.068777,7.005484,6.178766,1.258123,-2.290296,0.169972,1.515168
0.020000,6.070073,7.029697,6.203014,1.212411,-2.285582,0.235702,1.519458
0.020000,6.071223,7.053005,6.226351,1.166820,-2.279568,0.300694,1.523540
0.020000,6.072238,7.075410,6.248778,1.121375,-2.272273,0.364759,1.527421
0.020000,6.073132,7.096907,6.270294,1.075772,-2.280119,-0.392295,1.531105
0.020000,6.073914,7.117504,6.290905,1.030579,-2.259653,1.023309,1.534599
0.020000,6.074594,7.137195,6.310608,0.985154,-2.271278,-0.581275,1.537907
0.020000,6.075183,7.155985,6.329408,0.939980,-2.258700,0.628898,1.541035
0.020000,6.075689,7.173875,6.347305,0.894845,-2.256736,0.098188,1.543986
0.020000,6.076121,7.190865,6.364300,0.849750,-2.254760,0.098813,1.546766
0.020000,6.076487,7.206955,6.380394,0.804717,-2.251629,0.156578,1.549378
0.020000,6.076793,7.222147,6.395590,0.759770,-2.247354,0.213720,1.551827
0.020000,6.077048,7.236440,6.409885,0.714772,-2.249914,-0.128008,1.554114
0.020000,6.077257,7.249836,6.423283,0.669878,-2.244699,0.260758,1.556243
0.020000,6.077427,7.262336,6.435784,0.625058,-2.240995,0.185218,1.558219
0.020000,6.077562,7.273941,6.447389,0.580273,-2.239252,0.087137,1.560042
0.020000,6.077669,7.284648,6.458097,0.535402,-2.243522,-0.213495,1.561715
0.020000,6.077750,7.294462,6.467911,0.490695,-2.235385,0.406846,1.563242
0.020000,6.077811,7.303381,6.476831,0.445988,-2.235312,0.003657,1.564623
0.020000,6.077856,7.311407,6.484857,0.401305,-2.234176,0.056789,1.565861
0.020000,6.077887,7.318541,6.491990,0.356665,-2.231984,0.109613,1.566957
0.020000,6.077908,7.324780,6.498230,0.311986,-2.233978,-0.099685,1.567913
0.020000,6.077921,7.330126,6.503576,0.267302,-2.234182,-0.010200,1.568730
0.020000,6.077929,7.334583,6.508033,0.222819,-2.224138,0.502176,1.569410
0.020000,6.077933,7.338144,6.511594,0.178056,-2.238163,-0.701267,1.569952
0.020000,6.077935,7.340815,6.514265,0.133546,-2.225484,0.633988,1.570358
0.020000,6.077935,7.342595,6.516045,0.088998,-2.227425,-0.097082,1.570628
0.020000,6.077935,7.343484,6.516934,0.044459,-2.226956,0.023442,1.570763
0.020000,6.077935,7.343706,6.517156,0.011103,-1.667781,27.958785,1.570796
0.020000,6.077935,7.343706,6.517156,0.000000,-0.555157,55.631166,1.570796
