dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674818,4.391995,0.000213,0.021333,1.066667,53.333333,6.282557
0.020000,1.674781,4.391995,0.000250,0.001854,-0.973981,-102.032371,6.282689
0.020000,1.674707,4.391995,0.000325,0.003708,0.092692,53.333656,6.282951
0.020000,1.675632,4.391995,0.001250,0.046281,2.128678,101.799298,0.000159
0.020000,1.678897,4.391997,0.004515,0.163246,5.848252,185.978704,0.000684
0.020000,1.682979,4.392001,0.008596,0.204059,2.040639,-190.380659,0.001341
0.020000,1.687876,4.392009,0.013494,0.244870,2.040556,-0.004148,0.002129
0.020000,1.693589,4.392024,0.019207,0.285674,2.040195,-0.018080,0.003048
0.020000,1.700119,4.392047,0.025737,0.326474,2.040004,-0.009534,0.004100
0.020000,1.707464,4.392082,0.033082,0.367273,2.039929,-0.003755,0.005284
0.020000,1.715626,4.392130,0.041244,0.408073,2.040041,0.005600,0.006600
0.020000,1.724603,4.392196,0.050221,0.448870,2.039814,-0.011348,0.008048
0.020000,1.734395,4.392283,0.060014,0.489659,2.039472,-0.017095,0.009630
0.020000,1.745004,4.392394,0.070623,0.530441,2.039066,-0.020278,0.011344
0.020000,1.756427,4.392534,0.082047,0.571223,2.039127,0.003031,0.013192
0.020000,1.768666,4.392708,0.094287,0.612002,2.038954,-0.008655,0.015174
0.020000,1.781720,4.392919,0.107343,0.652776,2.038680,-0.013681,0.017289
0.020000,1.795588,4.393175,0.121214,0.693545,2.038461,-0.010953,0.019539
0.020000,1.810271,4.393479,0.135900,0.734302,2.037849,-0.030625,0.021924
0.020000,1.825768,4.393839,0.151401,0.775061,2.037968,0.005984,0.024444
0.020000,1.842079,4.394259,0.167717,0.815814,2.037648,-0.016020,0.027100
0.020000,1.859204,4.394747,0.184849,0.856562,2.037399,-0.012432,0.029891
0.020000,1.877141,4.395310,0.202795,0.897305,2.037133,-0.013307,0.032819
0.020000,1.895890,4.395954,0.221555,0.938036,2.036568,-0.028261,0.035883
0.020000,1.915452,4.396688,0.241131,0.978766,2.036507,-0.003067,0.039084
0.020000,1.935825,4.397518,0.261521,1.019494,2.036400,-0.005331,0.042423
0.020000,1.957009,4.398454,0.282725,1.060218,2.036154,-0.012296,0.045900
0.020000,1.979002,4.399505,0.304744,1.100930,2.035615,-0.026937,0.049514
0.020000,2.001805,4.400677,0.327576,1.141640,2.035499,-0.005799,0.053267
0.020000,2.025416,4.401982,0.351223,1.182344,2.035216,-0.014187,0.057159
0.020000,2.049834,4.403429,0.375684,1.223047,2.035166,-0.002490,0.061190
