dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674641,4.109420,0.000213,0.021333,1.066667,53.333333,6.282557
0.020000,1.674641,4.109420,0.001067,0.064000,2.133333,53.333333,6.282689
0.020000,1.674641,4.109420,0.002773,0.106667,2.133333,0.000000,6.282951
0.020000,1.675677,4.109420,0.005333,0.149333,2.133333,0.000000,0.000159
0.020000,1.679091,4.109422,0.008747,0.192000,2.133333,-0.000000,0.000684
0.020000,1.683357,4.109426,0.013013,0.234667,2.133333,0.000000,0.001341
0.020000,1.688477,4.109435,0.018133,0.277333,2.133333,0.000000,0.002129
0.020000,1.694451,4.109450,0.024107,0.320000,2.133333,0.000000,0.003048
0.020000,1.701277,4.109475,0.030933,0.362667,2.133333,-0.000000,0.004100
0.020000,1.708957,4.109511,0.038613,0.405333,2.133333,0.000000,0.005284
0.020000,1.717490,4.109561,0.047147,0.448000,2.133333,0.000000,0.006600
0.020000,1.726877,4.109630,0.056533,0.490667,2.133333,-0.000000,0.008048
0.020000,1.737117,4.109721,0.066773,0.533333,2.133333,0.000000,0.009630
0.020000,1.748209,4.109837,0.077867,0.576000,2.133333,-0.000000,0.011344
0.020000,1.760155,4.109984,0.089813,0.618667,2.133333,0.000000,0.013192
0.020000,1.772954,4.110165,0.102613,0.661333,2.133333,-0.000000,0.015174
0.020000,1.786605,4.110387,0.116267,0.704000,2.133333,0.000000,0.017289
0.020000,1.801109,4.110654,0.130773,0.746667,2.133333,-0.000000,0.019539
0.020000,1.816466,4.110972,0.146133,0.789333,2.133333,0.000000,0.021924
0.020000,1.832675,4.111348,0.162347,0.832000,2.133333,-0.000000,0.024444
0.020000,1.849736,4.111788,0.179413,0.874667,2.133333,0.000000,0.027100
0.020000,1.867649,4.112298,0.197333,0.917333,2.133333,0.000000,0.029891
0.020000,1.886413,4.112887,0.216107,0.960000,2.133333,-0.000000,0.032819
0.020000,1.906028,4.113561,0.235733,1.002667,2.133333,0.000000,0.035883
0.020000,1.926494,4.114328,0.256213,1.045333,2.133333,-0.000000,0.039084
0.020000,1.947809,4.115198,0.277547,1.088000,2.133333,0.000000,0.042423
0.020000,1.969974,4.116177,0.299733,1.130667,2.133333,0.000000,0.045900
0.020000,1.992988,4.117276,0.322773,1.173333,2.133333,0.000000,0.049514
0.020000,2.016850,4.118503,0.346667,1.216000,2.133333,0.000000,0.053267
0.020000,2.041559,4.119869,0.371413,1.258667,2.133333,-0.000000,0.057159
0.020000,2.067114,4.121383,0.397013,1.301333,2.133333,0.000000,0.061190
0.020000,2.093514,4.123056,0.423467,1.344000,2.133333,-0.000000,0.065360
0.020000,2.120759,4.124898,0.450773,1.386667,2.133333,0.000000,0.069670
0.020000,2.148846,4.126921,0.478933,1.429333,2.133333,0.000000,0.074120
0.020000,2.177775,4.129135,0.507947,1.472000,2.133333,0.000000,0.078710
0.020000,2.207543,4.131554,0.537813,1.514667,2.133333,-0.000000,0.083439
0.020000,2.238150,4.134189,0.568533,1.557333,2.133333,0.000000,0.088309
0.020000,2.269593,4.137052,0.600107,1.600000,2.133333,0.000000,0.093320
0.020000,2.301871,4.140157,0.632533,1.642667,2.133333,0.000000,0.098470
0.020000,2.334981,4.143516,0.665813,1.685333,2.133333,0.000000,0.103760
0.020000,2.368921,4.147144,0.699947,1.728000,2.133333,0.000000,0.109191
0.020000,2.403688,4.151053,0.734933,1.770667,2.133333,-0.000000,0.114761
0.020000,2.439281,4.155259,0.770773,1.813333,2.133333,0.000000,0.120470
0.020000,2.475695,4.159775,0.807467,1.856000,2.133333,-0.000000,0.126318
0.020000,2.512928,4.164617,0.845013,1.898667,2.133333,0.000000,0.132305
0.020000,2.550977,4.169799,0.883413,1.941333,2.133333,-0.000000,0.138430
0.020000,2.589837,4.175337,0.922667,1.984000,2.133333,-0.000000,0.144692
0.020000,2.629506,4.181247,0.962773,2.026667,2.133333,0.000000,0.151090
0.020000,2.669979,4.187545,1.003733,2.069333,2.133333,-0.000000,0.157623
0.020000,2.711252,4.194246,1.045547,2.112000,2.133333,0.000000,0.164291
0.020000,2.753320,4.201367,1.088213,2.154667,2.133333,0.000000,0.171093
0.020000,2.796178,4.208925,1.131733,2.197333,2.133333,-0.000000,0.178026
0.020000,2.839822,4.216938,1.176107,2.240000,2.133333,0.000000,0.185090
0.020000,2.884246,4.225421,1.221333,2.282667,2.133333,0.000000,0.192283
0.020000,2.929444,4.234392,1.267413,2.325333,2.133333,-0.000000,0.199603
0.020000,2.975411,4.243869,1.314347,2.368000,2.133333,0.000000,0.207048
0.020000,3.022139,4.253870,1.362133,2.410667,2.133333,0.000000,0.214617
0.020000,3.069623,4.264411,1.410773,2.453333,2.133333,0.000000,0.222307
0.020000,3.117855,4.275512,1.460267,2.496000,2.133333,0.000000,0.230116
0.020000,3.166829,4.287190,1.510613,2.538667,2.133333,-0.000000,0.238042
0.020000,3.216536,4.299463,1.561813,2.581333,2.133333,0.000000,0.246081
0.020000,3.266969,4.312349,1.613867,2.624000,2.133333,0.000000,0.254232
0.020000,3.318119,4.325867,1.666773,2.666667,2.133333,0.000000,0.262490
0.020000,3.369979,4.340034,1.720533,2.709333,2.133333,-0.000000,0.270854
0.020000,3.422538,4.354868,1.775147,2.752000,2.133333,0.000000,0.279319
0.020000,3.475789,4.370389,1.830613,2.794667,2.133333,-0.000000,0.287882
0.020000,3.529722,4.386613,1.886933,2.837333,2.133333,0.000000,0.296539
0.020000,3.584326,4.403559,1.944107,2.880000,2.133333,0.000000,0.305288
0.020000,3.639591,4.421244,2.002133,2.922667,2.133333,-0.000000,0.314123
0.020000,3.695508,4.439687,2.061013,2.965333,2.133333,0.000000,0.323040
0.020000,3.752066,4.458904,2.120747,3.008000,2.133333,-0.000000,0.332037
0.020000,3.809253,4.478913,2.181333,3.050667,2.133333,0.000000,0.341107
0.020000,3.867058,4.499731,2.242773,3.093333,2.133333,0.000000,0.350247
0.020000,3.925470,4.521375,2.305067,3.136000,2.133333,-0.000000,0.359452
0.020000,3.984477,4.543862,2.368213,3.178667,2.133333,0.000000,0.368717
0.020000,4.043869,4.567128,2.432000,3.200000,1.066667,-53.333333,0.378007
0.020000,4.103241,4.591024,2.496000,3.200000,0.000000,-53.333333,0.387255
0.020000,4.162389,4.615465,2.560000,3.200000,0.000000,0.000000,0.396429
0.020000,4.221313,4.640446,2.624000,3.200000,0.000000,0.000000,0.405527
0.020000,4.280007,4.665959,2.688000,3.200000,0.000000,0.000000,0.414547
0.020000,4.338470,4.691999,2.752000,3.200000,0.000000,0.000000,0.423488
0.020000,4.396699,4.718558,2.816000,3.200000,0.000000,0.000000,0.432347
0.020000,4.454691,4.745629,2.880000,3.200000,0.000000,0.000000,0.441124
0.020000,4.512445,4.773206,2.944000,3.200000,0.000000,0.000000,0.449817
0.020000,4.569958,4.801281,3.008000,3.200000,0.000000,0.000000,0.458425
0.020000,4.627228,4.829848,3.072000,3.200000,0.000000,0.000000,0.466947
0.020000,4.684255,4.858899,3.136000,3.200000,0.000000,0.000000,0.475382
0.020000,4.741035,4.888428,3.200000,3.200000,0.000000,0.000000,0.483729
0.020000,4.797568,4.918428,3.264000,3.200000,0.000000,0.000000,0.491988
0.020000,4.853853,4.948891,3.328000,3.200000,0.000000,0.000000,0.500157
0.020000,4.909889,4.979810,3.392000,3.200000,0.000000,0.000000,0.508237
0.020000,4.965674,5.011178,3.456000,3.200000,0.000000,0.000000,0.516226
0.020000,5.021209,5.042988,3.520000,3.200000,0.000000,0.000000,0.524124
0.020000,5.076492,5.075234,3.584000,3.200000,0.000000,0.000000,0.531931
0.020000,5.131523,5.107907,3.648000,3.200000,0.000000,0.000000,0.539647
0.020000,5.186302,5.141002,3.712000,3.200000,0.000000,0.000000,0.547271
0.020000,5.240828,5.174511,3.776000,3.200000,0.000000,0.000000,0.554804
0.020000,5.295102,5.208427,3.840000,3.200000,0.000000,0.000000,0.562245
0.020000,5.349124,5.242744,3.904000,3.200000,0.000000,0.000000,0.569595
0.020000,5.402893,5.277454,3.968000,3.200000,0.000000,0.000000,0.576854
0.020000,5.456411,5.312551,4.032000,3.200000,0.000000,0.000000,0.584021
0.020000,5.509678,5.348029,4.096000,3.200000,0.000000,0.000000,0.591098
0.020000,5.560298,5.382224,4.160000,3.200000,0.000000,0.000000,0.590486
0.020000,5.614694,5.415920,4.224000,3.200000,0.000000,0.000000,0.521521
0.020000,5.671057,5.446221,4.288000,3.200000,0.000000,0.000000,0.467109
0.020000,5.728832,5.473743,4.352000,3.200000,0.000000,0.000000,0.423600
0.020000,5.787641,5.498982,4.416000,3.200000,0.000000,0.000000,0.388399
0.020000,5.847226,5.522337,4.480000,3.200000,0.000000,0.000000,0.359658
0.020000,5.907400,5.544130,4.544000,3.200000,0.000000,0.000000,0.336049
0.020000,5.968028,5.564627,4.608000,3.200000,0.000000,0.000000,0.316602
0.020000,6.029009,5.584049,4.672000,3.200000,0.000000,0.000000,0.300601
0.020000,6.090266,5.602585,4.736000,3.200000,0.000000,0.000000,0.287515
0.020000,6.151737,5.620397,4.800000,3.200000,0.000000,0.000000,0.276943
