dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674463,3.826845,0.000213,0.021333,1.066667,53.333333,6.282557
0.020000,1.674500,3.826845,0.000250,0.001854,-0.973981,-102.032371,6.282689
0.020000,1.674574,3.826845,0.000325,0.003708,0.092692,53.333656,6.282951
0.020000,1.675723,3.826845,0.001473,0.057405,2.684870,129.608865,0.000159
0.020000,1.679284,3.826847,0.005034,0.178080,6.033764,167.444723,0.000684
0.020000,1.683736,3.826851,0.009486,0.222607,2.226357,-190.370345,0.001341
0.020000,1.689079,3.826860,0.014829,0.267137,2.226456,0.004947,0.002129
0.020000,1.695312,3.826877,0.021062,0.311662,2.226287,-0.008440,0.003048
0.020000,1.702436,3.826902,0.028186,0.356189,2.226340,0.002649,0.004100
0.020000,1.710450,3.826940,0.036201,0.400720,2.226554,0.010668,0.005284
0.020000,1.719355,3.826993,0.045106,0.445260,2.227004,0.022528,0.006600
0.020000,1.729151,3.827064,0.054902,0.489803,2.227117,0.005622,0.008048
0.020000,1.739838,3.827159,0.065589,0.534345,2.227134,0.000855,0.009630
0.020000,1.751415,3.827280,0.077166,0.578887,2.227110,-0.001202,0.011344
0.020000,1.763883,3.827433,0.089635,0.623440,2.227621,0.025559,0.013192
0.020000,1.777241,3.827623,0.102995,0.667998,2.227901,0.014027,0.015174
0.020000,1.791491,3.827854,0.117246,0.712560,2.228094,0.009646,0.017289
0.020000,1.806630,3.828133,0.132389,0.757127,2.228366,0.013605,0.019539
0.020000,1.822661,3.828465,0.148423,0.801692,2.228226,-0.007026,0.021924
0.020000,1.839582,3.828857,0.165348,0.846270,2.228899,0.033644,0.024444
0.020000,1.857393,3.829317,0.183165,0.890852,2.229102,0.010172,0.027100
0.020000,1.876094,3.829850,0.201874,0.935439,2.229392,0.014471,0.029891
0.020000,1.895685,3.830464,0.221475,0.980033,2.229666,0.013722,0.032819
0.020000,1.916165,3.831168,0.241967,1.024625,2.229614,-0.002596,0.035883
0.020000,1.937535,3.831969,0.263352,1.069227,2.230109,0.024738,0.039084
0.020000,1.959793,3.832877,0.285628,1.113838,2.230546,0.021875,0.042423
0.020000,1.982940,3.833900,0.308798,1.158455,2.230819,0.013648,0.045900
0.020000,2.006974,3.835047,0.332859,1.203070,2.230755,-0.003209,0.049514
0.020000,2.031895,3.836329,0.357813,1.247692,2.231131,0.018781,0.053267
0.020000,2.057702,3.837755,0.383659,1.292318,2.231296,0.008246,0.057159
0.020000,2.084394,3.839337,0.410398,1.336952,2.231684,0.019388,0.061190
0.020000,2.111970,3.841084,0.438030,1.381588,2.231797,0.005670,0.065360
0.020000,2.140430,3.843008,0.466554,1.426221,2.231671,-0.006292,0.069670
0.020000,2.169771,3.845121,0.495972,1.470871,2.232498,0.041359,0.074120
0.020000,2.199993,3.847435,0.526282,1.515512,2.232056,-0.022127,0.078710
0.020000,2.231094,3.849962,0.557485,1.560157,2.232244,0.009399,0.083439
0.020000,2.263071,3.852715,0.589581,1.604802,2.232248,0.000214,0.088309
0.020000,2.295925,3.855707,0.622570,1.649456,2.232686,0.021907,0.093320
0.020000,2.329651,3.858951,0.656452,1.694099,2.232155,-0.026566,0.098470
0.020000,2.364248,3.862461,0.691227,1.738745,2.232289,0.006721,0.103760
