dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000272,0.282575,0.000213,0.021333,1.066667,53.333333,6.282221
0.020000,0.000233,0.282575,0.000253,0.001974,-0.967955,-101.731065,6.282361
0.020000,0.000154,0.282575,0.000332,0.003950,0.098795,53.337480,6.282641
0.020000,0.000035,0.282575,0.000450,0.005929,0.098961,0.008298,6.283060
0.020000,0.002528,0.282576,0.002943,0.124654,5.936238,291.863867,0.000435
0.020000,0.006596,0.282579,0.007012,0.203402,3.937413,-99.941241,0.001137
0.020000,0.011478,0.282586,0.011893,0.244064,2.033086,-95.216387,0.001981
0.020000,0.017172,0.282600,0.017587,0.284722,2.032880,-0.010286,0.002968
0.020000,0.023679,0.282623,0.024094,0.325348,2.031331,-0.077458,0.004099
0.020000,0.030998,0.282658,0.031414,0.365968,2.030992,-0.016937,0.005377
0.020000,0.039129,0.282708,0.039544,0.406520,2.027600,-0.169609,0.006803
0.020000,0.048070,0.282775,0.048486,0.447085,2.028224,0.031204,0.008378
0.020000,0.057821,0.282866,0.058237,0.487575,2.024541,-0.184139,0.010104
0.020000,0.068383,0.282982,0.068800,0.528117,2.027098,0.127825,0.011985
0.020000,0.079753,0.283130,0.080171,0.568559,2.022068,-0.251499,0.014021
0.020000,0.091931,0.283314,0.092350,0.608963,2.020208,-0.092995,0.016217
0.020000,0.104917,0.283540,0.105338,0.649377,2.020703,0.024772,0.018575
0.020000,0.118708,0.283814,0.119131,0.689697,2.015994,-0.235476,0.021097
0.020000,0.133303,0.284141,0.133731,0.729971,2.013720,-0.113702,0.023788
0.020000,0.148702,0.284530,0.149135,0.770190,2.010945,-0.138740,0.026652
0.020000,0.164904,0.284986,0.165343,0.810404,2.010676,-0.013461,0.029691
0.020000,0.181906,0.285518,0.182353,0.850505,2.005091,-0.279227,0.032911
0.020000,0.199706,0.286135,0.200164,0.890556,2.002511,-0.129017,0.036315
0.020000,0.218304,0.286844,0.218775,0.930576,2.001018,-0.074615,0.039910
0.020000,0.237696,0.287655,0.238184,0.970444,1.993417,-0.380060,0.043699
0.020000,0.257882,0.288578,0.258391,1.010322,1.993895,0.023885,0.047688
0.020000,0.278857,0.289623,0.279392,1.050053,1.986554,-0.367040,0.051884
0.020000,0.300619,0.290801,0.301186,1.089721,1.983395,-0.157947,0.056291
0.020000,0.323166,0.292124,0.323772,1.129299,1.978881,-0.225724,0.060918
0.020000,0.346495,0.293603,0.347147,1.168759,1.972986,-0.294744,0.065771
0.020000,0.370601,0.295253,0.371310,1.208145,1.969310,-0.183802,0.070857
0.020000,0.395482,0.297085,0.396258,1.247382,1.961874,-0.371807,0.076184
0.020000,0.421132,0.299115,0.421989,1.286555,1.958625,-0.162425,0.081761
0.020000,0.447549,0.301357,0.448500,1.325555,1.950014,-0.430543,0.087596
0.020000,0.474725,0.303827,0.475789,1.364424,1.943450,-0.328221,0.093699
0.020000,0.502657,0.306541,0.503853,1.403194,1.938507,-0.247126,0.100079
0.020000,0.531339,0.309518,0.532688,1.441774,1.929004,-0.475187,0.106748
0.020000,0.560764,0.312774,0.562293,1.480226,1.922572,-0.321568,0.113716
0.020000,0.590925,0.316330,0.592662,1.518488,1.913111,-0.473061,0.120995
0.020000,0.621814,0.320204,0.623794,1.556589,1.905058,-0.402655,0.128597
0.020000,0.653424,0.324419,0.655684,1.594493,1.895168,-0.494512,0.136535
0.020000,0.685747,0.328996,0.688329,1.632229,1.886805,-0.418142,0.144823
0.020000,0.718770,0.333958,0.721723,1.669720,1.874573,-0.611608,0.153476
0.020000,0.752486,0.339329,0.755864,1.707053,1.866632,-0.397034,0.162509
0.020000,0.786882,0.345134,0.790746,1.744108,1.852779,-0.692640,0.171937
0.020000,0.821946,0.351400,0.826366,1.780974,1.843277,-0.475112,0.181778
0.020000,0.857664,0.358155,0.862717,1.817543,1.828435,-0.742092,0.192048
0.020000,0.894021,0.365426,0.899794,1.853885,1.817143,-0.564594,0.202767
0.020000,0.931003,0.373244,0.937593,1.889935,1.802497,-0.732297,0.213954
0.020000,0.968591,0.381640,0.976107,1.925709,1.788658,-0.691948,0.225628
0.020000,1.006766,0.390647,1.015331,1.961184,1.773752,-0.745343,0.237811
0.020000,1.045510,0.400298,1.055258,1.996386,1.760131,-0.681012,0.250523
0.020000,1.084799,0.410629,1.095883,2.031250,1.743169,-0.848138,0.263787
0.020000,1.124611,0.421677,1.137199,2.065787,1.726889,-0.813970,0.277626
0.020000,1.164919,0.433478,1.179199,2.100010,1.711138,-0.787561,0.292062
0.020000,1.205696,0.446072,1.221878,2.133906,1.694773,-0.818259,0.307120
0.020000,1.246914,0.459500,1.265227,2.167462,1.677844,-0.846418,0.322822
0.020000,1.288538,0.473802,1.309240,2.200675,1.660612,-0.861637,0.339192
0.020000,1.330537,0.489023,1.353912,2.233576,1.645073,-0.776910,0.356254
0.020000,1.372872,0.505205,1.399235,2.266148,1.628594,-0.823950,0.374030
0.020000,1.415506,0.522395,1.445203,2.298429,1.614035,-0.727974,0.392541
0.020000,1.458396,0.540636,1.491811,2.330404,1.598777,-0.762879,0.411808
0.020000,1.501499,0.559977,1.539055,2.362168,1.588205,-0.528614,0.431848
0.020000,1.544767,0.580464,1.586928,2.393663,1.574734,-0.673570,0.452677
0.020000,1.588152,0.602146,1.635428,2.425013,1.567477,-0.362822,0.474307
0.020000,1.631600,0.625069,1.684553,2.456241,1.561397,-0.304025,0.496747
0.020000,1.675058,0.649282,1.734301,2.487399,1.557939,-0.172894,0.520000
0.020000,1.718468,0.674833,1.784673,2.518600,1.560049,0.105494,0.544064
0.020000,1.761772,0.701770,1.835671,2.549903,1.565130,0.254066,0.568933
0.020000,1.804909,0.730138,1.887300,2.581419,1.575827,0.534859,0.594591
0.020000,1.847814,0.759983,1.939564,2.613227,1.590401,0.728679,0.621016
0.020000,1.890424,0.791349,1.992474,2.645485,1.612866,1.123272,0.648178
0.020000,1.932672,0.824279,2.046040,2.678288,1.640167,1.365028,0.676038
0.020000,1.974491,0.858813,2.100275,2.711768,1.673973,1.690301,0.704548
0.020000,2.015814,0.894989,2.155196,2.746043,1.713784,1.990565,0.733651
