dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000213,0.021333,1.066667,53.333333,6.282221
0.020000,0.000000,0.000000,0.001067,0.064000,2.133333,53.333333,6.282361
0.020000,0.000000,0.000000,0.002773,0.106667,2.133333,0.000000,6.282641
0.020000,0.000000,0.000000,0.005333,0.149333,2.133333,0.000000,6.283060
0.020000,0.002651,0.000001,0.008747,0.192000,2.133333,-0.000000,0.000435
0.020000,0.006918,0.000004,0.013013,0.234667,2.133333,0.000000,0.001137
0.020000,0.012037,0.000012,0.018133,0.277333,2.133333,0.000000,0.001981
0.020000,0.018011,0.000027,0.024107,0.320000,2.133333,0.000000,0.002968
0.020000,0.024837,0.000051,0.030933,0.362667,2.133333,-0.000000,0.004099
0.020000,0.032518,0.000087,0.038613,0.405333,2.133333,0.000000,0.005377
0.020000,0.041051,0.000139,0.047147,0.448000,2.133333,0.000000,0.006803
0.020000,0.050437,0.000210,0.056533,0.490667,2.133333,-0.000000,0.008378
0.020000,0.060676,0.000305,0.066773,0.533333,2.133333,0.000000,0.010104
0.020000,0.071769,0.000428,0.077867,0.576000,2.133333,-0.000000,0.011985
0.020000,0.083715,0.000583,0.089813,0.618667,2.133333,0.000000,0.014021
0.020000,0.096513,0.000776,0.102613,0.661333,2.133333,-0.000000,0.016217
0.020000,0.110165,0.001014,0.116267,0.704000,2.133333,0.000000,0.018575
0.020000,0.124669,0.001302,0.130773,0.746667,2.133333,-0.000000,0.021097
0.020000,0.140025,0.001646,0.146133,0.789333,2.133333,0.000000,0.023788
0.020000,0.156233,0.002055,0.162347,0.832000,2.133333,-0.000000,0.026652
0.020000,0.173293,0.002536,0.179413,0.874667,2.133333,0.000000,0.029691
0.020000,0.191204,0.003097,0.197333,0.917333,2.133333,0.000000,0.032911
0.020000,0.209966,0.003746,0.216107,0.960000,2.133333,-0.000000,0.036315
0.020000,0.229579,0.004494,0.235733,1.002667,2.133333,0.000000,0.039910
0.020000,0.250040,0.005350,0.256213,1.045333,2.133333,-0.000000,0.043699
0.020000,0.271352,0.006324,0.277547,1.088000,2.133333,0.000000,0.047688
0.020000,0.293511,0.007428,0.299733,1.130667,2.133333,0.000000,0.051884
0.020000,0.316517,0.008674,0.322773,1.173333,2.133333,0.000000,0.056291
0.020000,0.340370,0.010073,0.346667,1.216000,2.133333,0.000000,0.060918
0.020000,0.365066,0.011639,0.371413,1.258667,2.133333,-0.000000,0.065771
0.020000,0.390607,0.013387,0.397013,1.301333,2.133333,0.000000,0.070857
0.020000,0.416988,0.015330,0.423467,1.344000,2.133333,-0.000000,0.076184
0.020000,0.444210,0.017484,0.450773,1.386667,2.133333,0.000000,0.081761
0.020000,0.472269,0.019865,0.478933,1.429333,2.133333,0.000000,0.087596
0.020000,0.501163,0.022491,0.507947,1.472000,2.133333,0.000000,0.093699
0.020000,0.530890,0.025380,0.537813,1.514667,2.133333,-0.000000,0.100079
0.020000,0.561446,0.028551,0.568533,1.557333,2.133333,0.000000,0.106748
0.020000,0.592828,0.032024,0.600107,1.600000,2.133333,0.000000,0.113716
0.020000,0.625031,0.035821,0.632533,1.642667,2.133333,0.000000,0.120995
0.020000,0.658052,0.039963,0.665813,1.685333,2.133333,0.000000,0.128597
0.020000,0.691886,0.044474,0.699947,1.728000,2.133333,0.000000,0.136535
0.020000,0.726527,0.049379,0.734933,1.770667,2.133333,-0.000000,0.144823
0.020000,0.761969,0.054704,0.770773,1.813333,2.133333,0.000000,0.153476
0.020000,0.798205,0.060477,0.807467,1.856000,2.133333,-0.000000,0.162509
0.020000,0.835228,0.066726,0.845013,1.898667,2.133333,0.000000,0.171937
0.020000,0.873029,0.073481,0.883413,1.941333,2.133333,-0.000000,0.181778
0.020000,0.911599,0.080775,0.922667,1.984000,2.133333,-0.000000,0.192048
0.020000,0.950927,0.088640,0.962773,2.026667,2.133333,0.000000,0.202767
0.020000,0.991001,0.097112,1.003733,2.069333,2.133333,-0.000000,0.213954
0.020000,1.031808,0.106227,1.045547,2.112000,2.133333,0.000000,0.225628
0.020000,1.073334,0.116025,1.088213,2.154667,2.133333,0.000000,0.237811
0.020000,1.115563,0.126545,1.131733,2.197333,2.133333,-0.000000,0.250523
0.020000,1.158478,0.137829,1.176107,2.240000,2.133333,0.000000,0.263787
0.020000,1.202057,0.149922,1.221333,2.282667,2.133333,0.000000,0.277626
0.020000,1.246280,0.162869,1.267413,2.325333,2.133333,-0.000000,0.292062
0.020000,1.291123,0.176719,1.314347,2.368000,2.133333,0.000000,0.307120
0.020000,1.336559,0.191521,1.362133,2.410667,2.133333,0.000000,0.322822
0.020000,1.382558,0.207327,1.410773,2.453333,2.133333,0.000000,0.339192
0.020000,1.429089,0.224191,1.460267,2.496000,2.133333,0.000000,0.356254
0.020000,1.476117,0.242167,1.510613,2.538667,2.133333,-0.000000,0.374030
0.020000,1.523602,0.261312,1.561813,2.581333,2.133333,0.000000,0.392541
0.020000,1.571502,0.281685,1.613867,2.624000,2.133333,0.000000,0.411808
0.020000,1.619771,0.303344,1.666773,2.666667,2.133333,0.000000,0.431848
0.020000,1.668358,0.326350,1.720533,2.709333,2.133333,-0.000000,0.452677
0.020000,1.717210,0.350764,1.775147,2.752000,2.133333,0.000000,0.474307
0.020000,1.766266,0.376647,1.830613,2.794667,2.133333,-0.000000,0.496747
0.020000,1.815464,0.404058,1.886933,2.837333,2.133333,0.000000,0.520000
0.020000,1.864734,0.433059,1.944107,2.880000,2.133333,0.000000,0.544064
0.020000,1.914005,0.463707,2.002133,2.922667,2.133333,-0.000000,0.568933
0.020000,1.963199,0.496059,2.061013,2.965333,2.133333,0.000000,0.594591
0.020000,2.012234,0.530168,2.120747,3.008000,2.133333,-0.000000,0.621016
0.020000,2.061024,0.566084,2.181333,3.050667,2.133333,0.000000,0.648178
