dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000272,-0.282575,0.000213,0.021333,1.066667,53.333333,6.282221
0.020000,-0.000233,-0.282575,0.000253,0.001974,-0.967955,-101.731065,6.282361
0.020000,-0.000154,-0.282575,0.000332,0.003950,0.098795,53.337480,6.282641
0.020000,-0.000035,-0.282575,0.000450,0.005929,0.098961,0.008298,6.283060
0.020000,0.002774,-0.282574,0.003260,0.140487,6.727902,331.447049,0.000435
0.020000,0.007239,-0.282571,0.007725,0.223225,4.136880,-129.551106,0.001137
0.020000,0.012597,-0.282563,0.013083,0.267907,2.234108,-95.138593,0.001981
0.020000,0.018849,-0.282547,0.019335,0.312617,2.235471,0.068170,0.002968
0.020000,0.025996,-0.282522,0.026482,0.357329,2.235636,0.008233,0.004099
0.020000,0.034037,-0.282484,0.034523,0.402078,2.237411,0.088770,0.005377
0.020000,0.042973,-0.282429,0.043459,0.446800,2.236119,-0.064619,0.006803
0.020000,0.052805,-0.282355,0.053291,0.491591,2.239534,0.170758,0.008378
0.020000,0.063531,-0.282256,0.064018,0.536361,2.238517,-0.050880,0.010104
0.020000,0.075156,-0.282127,0.075643,0.581254,2.244674,0.307872,0.011985
0.020000,0.087677,-0.281964,0.088166,0.626111,2.242806,-0.093422,0.014021
0.020000,0.101096,-0.281761,0.101586,0.671006,2.244755,0.097452,0.016217
0.020000,0.115413,-0.281512,0.115906,0.715998,2.249645,0.244502,0.018575
0.020000,0.130630,-0.281211,0.131125,0.760982,2.249154,-0.024554,0.021097
0.020000,0.146746,-0.280849,0.147246,0.806016,2.251715,0.128059,0.023788
0.020000,0.163763,-0.280420,0.164268,0.851098,2.254107,0.119634,0.026652
0.020000,0.181682,-0.279915,0.182193,0.896291,2.259673,0.278256,0.029691
0.020000,0.200502,-0.279325,0.201023,0.941487,2.259780,0.005347,0.032911
0.020000,0.220225,-0.278643,0.220758,0.986760,2.263643,0.193193,0.036315
0.020000,0.240853,-0.277856,0.241401,1.032143,2.269174,0.276551,0.039910
0.020000,0.262385,-0.276955,0.262951,1.077512,2.268407,-0.038378,0.043699
0.020000,0.284822,-0.275930,0.285413,1.123054,2.277107,0.435002,0.047688
0.020000,0.308166,-0.274767,0.308785,1.168607,2.277649,0.027121,0.051884
0.020000,0.332416,-0.273454,0.333070,1.214274,2.283389,0.287002,0.056291
0.020000,0.357573,-0.271978,0.358271,1.260039,2.288203,0.240672,0.060918
0.020000,0.383638,-0.270325,0.384389,1.305880,2.292083,0.194011,0.065771
0.020000,0.410612,-0.268479,0.411426,1.351862,2.299082,0.349946,0.070857
0.020000,0.438495,-0.266426,0.439384,1.397913,2.302547,0.173269,0.076184
0.020000,0.467288,-0.264147,0.468267,1.444141,2.311411,0.443183,0.081761
0.020000,0.496990,-0.261626,0.498076,1.490441,2.315003,0.179614,0.087596
0.020000,0.527601,-0.258844,0.528813,1.536874,2.321665,0.333083,0.093699
0.020000,0.559123,-0.255781,0.560483,1.583494,2.330978,0.465657,0.100079
0.020000,0.591553,-0.252415,0.593087,1.630214,2.336006,0.251417,0.106748
0.020000,0.624892,-0.248726,0.626630,1.677122,2.345401,0.469737,0.113716
0.020000,0.659138,-0.244688,0.661113,1.724168,2.352308,0.345332,0.120995
0.020000,0.694291,-0.240279,0.696541,1.771404,2.361791,0.474179,0.128597
0.020000,0.730348,-0.235471,0.732917,1.818808,2.370210,0.420953,0.136535
0.020000,0.767308,-0.230238,0.770246,1.866437,2.381438,0.561383,0.144823
0.020000,0.805167,-0.224549,0.808531,1.914224,2.389346,0.395422,0.153476
0.020000,0.843924,-0.218375,0.847776,1.962290,2.403313,0.698349,0.162509
0.020000,0.883574,-0.211683,0.887987,2.010524,2.411667,0.417691,0.171937
0.020000,0.924113,-0.204438,0.929168,2.059048,2.426227,0.727992,0.181778
0.020000,0.965534,-0.196605,0.971323,2.107765,2.435840,0.480643,0.192048
0.020000,1.007832,-0.188146,1.014459,2.156781,2.450785,0.747272,0.202767
0.020000,1.050999,-0.179020,1.058580,2.206042,2.463063,0.613877,0.213954
0.020000,1.095025,-0.169185,1.103691,2.255591,2.477479,0.720804,0.225628
0.020000,1.139902,-0.158597,1.149800,2.305428,2.491812,0.716644,0.237811
0.020000,1.185617,-0.147209,1.196912,2.355603,2.508768,0.847818,0.250523
0.020000,1.232156,-0.134972,1.245033,2.406059,2.522801,0.701624,0.263787
0.020000,1.279503,-0.121833,1.294170,2.456829,2.538510,0.785463,0.277626
0.020000,1.327641,-0.107739,1.344329,2.507941,2.555564,0.852677,0.292062
0.020000,1.376549,-0.092634,1.395516,2.559388,2.572389,0.841291,0.307120
0.020000,1.426204,-0.076457,1.447740,2.611164,2.588761,0.818584,0.322822
0.020000,1.476578,-0.059147,1.501005,2.663256,2.604636,0.793734,0.339192
0.020000,1.527642,-0.040641,1.555319,2.715697,2.622020,0.869204,0.356254
0.020000,1.579361,-0.020872,1.610687,2.768441,2.637225,0.760266,0.374030
0.020000,1.631698,0.000230,1.667118,2.821504,2.653136,0.795533,0.392541
0.020000,1.684607,0.022733,1.724614,2.874821,2.665857,0.636034,0.411808
0.020000,1.738043,0.046711,1.783183,2.928446,2.681227,0.768531,0.431848
0.020000,1.791950,0.072236,1.842827,2.982225,2.688973,0.387287,0.452677
0.020000,1.846268,0.099383,1.903552,3.036213,2.699383,0.520498,0.474307
0.020000,1.900933,0.128224,1.965358,3.090315,2.705125,0.287086,0.496747
0.020000,1.955869,0.158834,2.028247,3.144451,2.706808,0.084174,0.520000
0.020000,2.011000,0.191284,2.092219,3.198590,2.706938,0.006478,0.544064
0.020000,2.066238,0.225644,2.157271,3.252610,2.701004,-0.296678,0.568933
0.020000,2.121489,0.261980,2.223400,3.306433,2.691155,-0.492435,0.594591
0.020000,2.176653,0.300353,2.290598,3.359914,2.674053,-0.855117,0.621016
0.020000,2.231625,0.340820,2.358858,3.412992,2.653895,-1.007908,0.648178
0.020000,2.286291,0.383429,2.428168,3.465513,2.626038,-1.392817,0.676038
0.020000,2.340533,0.428223,2.498515,3.517357,2.592212,-1.691339,0.704548
